	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	428	557	442	288	279
101	611	560	443	283	278
102	754	562	270	284	276
103	561	563	821	287	322
104	587	548	259	274	323
105	435	532	247	270	289
106	149	531	10	272	275
107	39	526	17	260	280
108	627	490	23	266	326
109	494	996	26	336	281
110	952	495	28	341	311
111	951	497	33	334	290
112	667	501	40	332	291
113	945	503	88	265	292
114	944	504	96	342	293
115	291	506	109	337	295
116	499	507	141	344	296
117	941	509	146	338	297
118	628	510	152	345	298
119	144	515	155	268	299
120	664	520	157	269	288
121	931	521	161	326	303
122	724	524	174	259	305
123	505	486	176	324	306
124	487	423	178	323	284
125	671	422	186	267	309
126	623	421	191	519	282
127	621	317	194	598	327
128	335	319	201	353	324
129	996	322	203	567	328
130	6	324	206	143	274
131	802	326	239	233	351
132	265	330	240	962	352
133	803	316	254	945	270
134	344	331	473	271	353
135	986	333	450	983	354
136	985	334	498	969	348
137	162	340	811	948	356
138	981	341	602	43	360
139	682	343	608	2	361
140	702	344	611	12	362
141	160	332	619	986	364
142	21	315	621	263	365
143	784	313	636	729	366
144	975	311	647	35	359
145	781	284	650	958	347
146	481	285	656	451	350
147	815	286	660	736	346
148	970	287	808	501	329
149	53	290	666	455	273
150	321	294	672	733	330
151	926	300	689	964	331
152	924	301	700	247	332
153	690	302	708	723	333
154	636	303	717	220	335
155	762	304	735	606	334
156	389	305	738	938	272
157	637	307	805	321	338
158	95	309	758	117	271
159	853	310	759	634	341
160	546	346	770	864	337
161	757	347	778	329	751
162	394	348	601	127	752
163	548	349	599	804	968
164	219	396	589	575	489
165	564	397	588	314	965
166	858	399	483	132	505
167	106	402	490	366	481
168	378	403	497	591	993
169	751	406	812	614	985
170	557	409	511	354	989
171	216	412	514	611	963
172	562	413	516	156	616
173	639	414	519	830	755
174	896	415	520	823	853
175	131	416	524	331	632
176	134	417	525	104	635
177	55	418	527	783	349
178	830	420	779	782	117
179	420	393	549	51	651
180	419	279	552	52	890
181	418	390	559	752	581
182	918	383	565	60	898
183	917	351	569	521	801
184	294	352	573	522	671
185	728	354	575	754	962
186	580	355	576	67	419
187	519	359	577	289	421
188	365	361	579	529	552
189	731	362	582	669	312
190	411	363	583	161	933
191	410	368	585	208	549
192	137	375	551	907	938
193	904	377	792	767	942
194	903	378	906	538	770
195	298	380	182	201	944
196	230	381	481	655	946
197	735	382	429	778	535
198	860	384	751	516	564
199	572	998	954	706	602
200	928	582	942	496	57
201	901	580	446	925	58
202	863	579	940	956	1
203	862	578	379	939	716
204	895	577	397	996	659
205	916	576	934	995	979
206	887	575	452	922	920
207	76	574	427	880	961
208	942	573	398	985	967
209	12	572	931	876	955
210	46	570	930	977	954
211	974	568	425	944	22
212	977	566	928	992	226
213	96	564	399	971	674
214	934	534	974	936	462
215	978	536	925	968	223
216	877	539	924	934	31
217	70	540	458	966	970
218	73	541	920	989	471
219	912	542	420	886	16
220	710	455	998	892	973
221	856	545	658	0	513
222	551	547	879	872	514
223	314	551	622	396	668
224	313	553	728	406	689
225	573	993	287	409	664
226	576	556	200	411	453
227	585	561	748	425	925
228	295	546	752	431	924
229	547	454	293	494	923
230	293	453	757	504	12
231	602	452	190	509	251
232	609	308	590	514	939
233	286	296	312	527	547
234	614	295	167	534	826
235	619	293	567	536	182
236	635	291	564	547	402
237	638	288	560	551	718
238	600	282	628	382	381
239	642	280	221	376	128
240	328	278	710	361	746
241	537	277	707	355	382
242	424	276	669	5	747
243	442	274	675	6	591
244	413	273	246	13	789
245	412	271	681	27	815
246	451	269	245	34	136
247	390	264	244	50	398
248	477	263	685	65	749
249	333	234	793	558	596
250	484	235	644	72	810
251	502	236	641	135	395
252	355	239	272	185	807
253	353	240	233	187	753
254	516	241	639	209	627
255	525	312	638	294	758
256	530	242	275	304	369
257	338	244	630	306	389
258	492	246	692	73	796
259	859	247	557	874	761
260	645	248	795	559	184
261	649	255	796	596	793
262	775	260	512	779	833
263	778	243	344	787	119
264	780	230	502	792	69
265	782	320	501	795	439
266	159	328	500	801	75
267	792	451	499	802	77
268	154	450	859	807	548
269	759	448	860	775	205
270	796	447	862	811	435
271	142	445	869	829	723
272	136	444	871	834	424
273	129	443	350	854	563
274	849	441	873	855	860
275	850	438	485	857	565
276	851	435	356	860	566
277	103	434	848	870	416
278	151	431	881	813	851
279	646	430	843	588	850
280	752	427	117	773	849
281	748	419	148	762	316
282	651	407	804	603	163
283	663	388	546	604	617
284	241	335	810	612	844
285	237	336	541	613	843
286	685	339	823	615	109
287	687	353	824	629	410
288	234	356	842	639	618
289	749	357	134	771	619
290	708	327	128	640	790
291	210	358	528	646	614
292	715	367	832	652	950
293	727	370	833	726	588
294	729	373	335	735	186
295	740	379	336	755	839
296	742	386	121	756	519
297	746	387	531	643	106
298	429	366	411	999	399
299	493	995	867	404	442
300	44	189	320	920	405
301	297	187	319	552	984
302	8	186	32	959	988
303	993	184	34	757	886
304	902	180	316	750	532
305	13	179	314	748	879
306	857	178	41	745	409
307	388	177	313	395	882
308	268	176	392	903	84
309	679	175	310	666	37
310	509	173	308	250	73
311	669	171	307	512	940
312	716	170	305	691	496
313	534	169	304	570	936
314	641	981	394	919	952
315	722	166	301	915	482
316	385	165	300	952	479
317	408	164	37	851	19
318	563	982	897	980	443
319	43	160	890	902	915
320	930	159	948	863	972
321	538	156	922	890	914
322	579	155	989	961	49
323	47	193	8	960	974
324	284	977	911	955	18
325	922	194	918	987	17
326	571	217	18	912	428
327	921	978	25	1	427
328	272	980	927	826	497
329	278	233	932	200	981
330	559	228	962	213	528
331	913	227	42	218	669
332	568	226	935	225	571
333	40	224	941	242	867
334	150	223	953	311	97
335	299	222	68	194	765
336	992	221	406	312	171
337	409	220	740	320	743
338	990	197	884	352	736
339	987	932	292	367	265
340	379	209	595	369	622
341	415	215	594	383	623
342	431	198	302	385	626
343	976	199	558	317	725
344	532	213	318	386	631
345	434	212	539	178	633
346	367	211	321	162	469
347	469	210	523	10	775
348	336	216	522	16	720
349	489	203	521	20	636
350	508	208	517	31	204
351	518	205	515	57	206
352	520	204	505	74	708
353	581	944	491	176	705
354	444	934	331	100	649
355	524	958	349	106	217
356	595	933	459	139	687
357	593	940	455	141	682
358	197	627	364	146	679
359	840	911	449	152	678
360	712	609	448	158	677
361	105	599	372	103	231
362	714	596	430	390	719
363	833	591	426	405	780
364	721	488	408	417	605
365	190	321	400	622	597
366	844	270	616	635	98
367	743	643	276	664	100
368	756	268	629	679	555
369	170	163	642	681	558
370	819	134	877	685	559
371	767	104	94	590	848
372	768	39	872	704	847
373	816	31	863	711	846
374	771	22	858	722	394
375	158	8	106	734	561
376	823	168	853	753	838
377	583	918	851	805	121
378	846	745	844	816	834
379	700	855	831	710	574
380	807	910	828	836	370
381	261	909	822	571	825
382	72	892	139	540	132
383	77	887	84	420	594
384	260	877	814	421	593
385	629	867	166	434	152
386	880	859	777	437	822
387	879	856	769	441	590
388	705	758	760	467	373
389	228	992	744	469	806
390	659	843	726	488	586
391	668	838	715	491	812
392	676	837	695	499	816
393	686	836	693	507	589
394	688	832	234	525	998
395	204	827	661	530	694
396	698	826	649	533	937
397	855	852	261	568	745
398	658	588	158	476	756
399	999	823	999	630	418
400	311	512	380	997	407
401	315	145	378	234	406
402	360	508	286	248	403
403	352	505	377	227	401
404	351	502	374	226	397
405	350	500	373	237	393
406	347	499	365	236	392
407	357	494	363	223	262
408	345	493	362	252	260
409	343	585	361	229	319
410	358	492	360	254	229
411	337	586	359	222	250
412	334	589	376	238	253
413	332	633	283	253	239
414	327	632	329	231	233
415	325	629	997	214	225
416	324	625	255	217	246
417	323	619	232	761	255
418	319	618	257	740	237
419	317	617	252	169	228
420	288	615	241	841	221
421	287	613	229	182	232
422	371	612	263	758	230
423	249	608	251	910	238
424	380	607	264	627	243
425	236	604	265	904	257
426	376	603	266	371	248
427	242	602	249	77	412
428	231	597	224	673	415
429	244	594	238	676	652
430	229	593	280	230	907
431	245	590	242	893	699
432	375	587	243	191	902
433	250	489	282	232	404
434	251	511	253	466	991
435	374	484	222	66	650
436	253	460	277	561	893
437	377	459	943	926	697
438	254	487	949	210	423
439	267	440	646	9	157
440	285	437	643	424	38
441	279	436	958	403	454
442	277	428	640	433	983
443	276	464	368	399	982
444	274	401	31	439	675
445	269	369	436	442	976
446	373	297	231	393	971
447	235	192	432	392	960
448	263	190	682	943	39
449	262	153	992	626	224
450	258	150	414	447	227
451	226	148	665	933	440
452	256	398	212	668	947
453	255	465	983	479	686
454	982	457	11	927	436
455	393	475	977	375	691
456	911	476	385	381	502
457	427	466	975	490	951
458	15	480	15	871	425
459	401	474	16	714	643
460	414	473	970	282	400
461	920	471	967	790	247
462	24	479	965	545	562
463	957	482	24	717	567
464	929	470	453	718	759
465	939	483	136	777	579
466	448	468	626	774	760
467	906	467	132	550	149
468	225	13	285	574	767
469	900	138	562	765	587
470	653	968	124	151	592
471	227	966	815	554	785
472	633	154	785	746	784
473	689	984	140	273	156
474	631	17	825	731	781
475	625	630	271	572	776
476	699	961	326	297	607
477	618	149	327	535	67
478	246	716	101	251	830
479	607	623	328	122	244
480	252	614	841	868	645
481	769	569	262	235	196
482	550	857	163	593	512
483	905	54	338	861	769
484	138	533	913	95	87
485	120	914	185	853	630
486	306	743	901	495	608
487	818	744	894	848	379
488	513	818	892	348	871
489	511	47	889	414	526
490	510	673	50	506	858
491	500	926	742	839	102
492	842	693	755	835	722
493	861	757	69	112	534
494	876	939	609	817	93
495	342	432	864	645	500
496	346	405	484	300	917
497	898	661	765	810	841
498	795	858	747	99	220
499	309	634	248	650	975
500	64	7	218	36	88
501	63	9	381	384	90
502	62	14	387	387	91
503	61	18	388	391	51
504	59	19	391	32	183
505	54	20	396	30	167
506	66	23	19	29	997
507	173	26	403	28	269
508	143	27	14	211	452
509	307	32	407	408	313
510	292	33	358	413	314
511	296	34	412	416	451
512	301	35	416	23	315
513	303	36	417	426	317
514	304	41	418	19	318
515	177	64	419	15	320
516	308	61	9	429	368
517	310	60	421	11	372
518	354	59	422	430	374
519	363	57	424	7	266
520	364	53	433	443	188
521	366	120	5	24	376
522	368	52	4	370	385
523	369	49	413	372	386
524	370	48	357	360	388
525	387	45	20	47	450
526	392	44	355	256	449
527	452	43	219	258	408
528	449	42	1	277	411
529	447	51	45	278	447
530	446	718	2	281	438
