	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	854	293	62	156	904
101	645	156	400	669	853
102	740	638	183	288	512
103	853	356	680	550	786
104	731	358	725	973	873
105	451	484	856	317	812
106	165	328	740	938	647
107	346	633	412	265	689
108	217	743	165	922	862
109	805	664	179	434	428
110	714	127	984	203	588
111	893	382	592	816	130
112	550	32	201	124	519
113	952	796	796	491	230
114	884	596	864	638	161
115	734	280	333	112	481
116	33	553	976	764	497
117	980	102	214	594	631
118	987	313	840	402	150
119	918	60	674	151	765
120	609	359	579	346	83
121	920	511	242	161	556
122	397	440	23	992	901
123	207	420	929	646	775
124	53	890	568	266	752
125	573	993	611	421	288
126	61	444	872	43	613
127	619	718	879	810	591
128	261	639	777	673	633
129	540	220	45	98	558
130	862	343	577	443	327
131	678	888	69	390	909
132	708	856	526	933	188
133	722	176	492	190	593
134	627	948	586	574	354
135	343	189	351	723	177
136	491	802	488	802	126
137	526	2	633	705	938
138	701	492	828	512	319
139	633	914	468	507	276
140	187	859	952	45	815
141	44	129	825	618	151
142	787	72	76	214	951
143	39	466	473	471	133
144	293	242	764	525	630
145	781	334	974	200	567
146	662	823	516	413	351
147	975	153	363	829	742
148	493	783	613	595	435
149	945	311	925	108	102
150	614	234	15	621	416
151	121	240	528	416	418
152	508	330	163	504	195
153	411	414	783	904	57
154	578	843	272	60	90
155	115	139	104	334	231
156	193	593	935	263	720
157	118	788	629	694	456
158	113	210	294	571	680
159	109	471	747	543	745
160	754	341	26	268	366
161	226	304	330	540	64
162	916	383	203	201	383
163	291	193	964	455	451
164	733	766	970	3	764
165	648	4	659	935	113
166	518	964	63	439	415
167	568	694	53	233	596
168	365	86	43	610	732
169	877	187	391	734	835
170	551	613	998	347	890
171	911	421	797	199	392
172	292	962	44	9	624
173	130	774	150	578	983
174	465	482	364	603	504
175	396	671	983	311	316
176	55	562	767	778	650
177	617	513	17	473	838
178	867	781	630	727	155
179	965	932	345	143	882
180	333	750	51	756	257
181	481	384	421	906	654
182	197	645	169	132	534
183	863	852	446	80	436
184	229	138	505	423	262
185	22	23	244	508	394
186	306	535	178	65	379
187	653	837	87	206	467
188	296	630	869	306	915
189	78	590	761	635	528
190	3	576	394	273	376
191	558	284	128	341	933
192	384	45	681	893	579
193	730	315	862	868	832
194	728	661	786	983	270
195	727	867	215	804	991
196	114	287	640	766	813
197	667	805	997	634	266
198	820	147	758	274	166
199	119	699	194	575	142
200	49	475	859	735	658
201	976	619	784	548	211
202	195	627	357	383	537
203	607	745	218	225	338
204	466	57	356	534	462
205	354	524	728	532	769
206	262	43	197	875	322
207	509	255	153	459	622
208	875	244	927	408	75
209	161	148	883	516	939
210	204	309	595	301	714
211	250	635	170	492	673
212	855	3	155	6	244
213	230	581	411	944	464
214	64	88	182	218	424
215	472	99	158	801	656
216	430	930	619	901	564
217	810	64	461	28	305
218	499	855	512	468	831
219	327	263	521	683	943
220	342	269	499	256	350
221	198	352	257	952	645
222	716	499	841	430	54
223	775	789	563	731	531
224	777	582	328	387	619
225	410	587	9	182	369
226	652	386	141	615	381
227	297	709	136	565	248
228	244	474	81	342	208
229	495	940	202	235	318
230	637	84	365	729	780
231	717	375	979	207	703
232	309	526	649	358	676
233	782	768	781	849	686
234	492	348	692	176	522
235	537	773	359	270	856
236	541	551	142	404	814
237	770	301	31	211	269
238	835	89	110	685	461
239	649	665	48	489	717
240	363	178	240	74	616
241	500	655	731	558	356
242	742	78	105	102	199
243	219	803	312	851	60
244	136	995	497	407	560
245	804	422	757	560	13
246	6	319	434	511	727
247	52	154	239	990	848
248	154	520	430	376	962
249	141	5	508	657	431
250	699	415	589	606	289
251	76	680	41	488	902
252	583	51	549	187	253
253	432	120	644	658	954
254	290	268	975	590	409
255	286	497	283	63	889
256	642	73	759	369	713
257	954	902	905	783	827
258	423	654	811	269	311
259	860	368	550	977	871
260	944	307	965	852	239
261	203	373	426	314	412
262	26	61	19	380	67
263	334	65	698	316	474
264	182	876	30	818	834
265	837	495	572	260	884
266	839	95	397	859	725
267	943	838	602	435	361
268	711	724	554	672	501
269	435	588	1	165	303
270	144	18	971	51	895
271	818	310	575	298	337
272	768	406	932	146	100
273	689	539	282	10	313
274	129	351	187	406	427
275	446	276	58	854	163
276	523	632	527	864	716
277	914	320	718	811	56
278	680	821	567	586	108
279	429	657	617	775	228
280	469	688	119	431	404
281	559	75	216	596	584
282	414	869	785	375	886
283	651	871	280	56	972
284	10	950	360	713	636
285	9	885	100	411	10
286	861	521	419	302	990
287	545	695	934	890	527
288	887	907	967	284	785
289	13	443	546	304	85
290	979	725	190	630	226
291	996	720	195	767	390
292	825	692	252	23	246
293	449	271	638	299	138
294	625	264	778	16	72
295	705	723	901	589	28
296	808	464	8	332	260
297	277	427	941	7	19
298	272	931	233	117	480
299	303	818	368	549	449
300	729	737	251	749	162
301	813	744	867	888	149
302	278	105	835	248	503
303	631	822	344	573	959
304	72	984	996	758	410
305	484	924	313	926	826
306	960	591	323	627	936
307	900	455	96	591	152
308	431	958	293	611	97
309	263	401	235	797	803
310	709	834	418	702	988
311	737	26	931	653	946
312	335	363	11	931	12
313	252	820	962	957	961
314	970	362	453	951	601
315	792	733	248	174	37
316	977	101	404	103	851
317	639	336	479	808	382
318	561	954	966	782	896
319	685	339	456	551	280
320	702	942	878	11	180
321	817	22	654	88	157
322	480	926	399	773	293
323	478	944	817	371	194
324	961	192	0	153	592
325	676	209	111	449	571
326	664	877	254	809	502
327	844	696	425	559	929
328	337	775	277	536	839
329	929	612	265	772	24
330	571	493	24	608	360
331	644	300	610	281	50
332	311	104	116	676	36
333	992	583	477	784	744
334	220	806	735	157	661
335	489	772	441	485	388
336	921	572	603	338	91
337	338	177	689	259	801
338	721	409	519	827	348
339	241	295	107	903	691
340	181	978	271	960	17
341	380	748	463	104	33
342	790	297	310	722	264
343	548	432	245	936	578
344	769	957	65	283	77
345	385	340	396	771	925
346	125	308	597	141	306
347	467	819	29	639	965
348	152	534	858	27	637
349	532	683	139	986	617
350	584	656	795	97	626
351	369	128	991	834	847
352	246	483	609	40	329
353	767	155	20	247	603
354	30	503	650	429	171
355	251	933	738	15	334
356	879	501	607	934	114
357	700	12	833	721	782
358	942	615	712	948	201
359	89	486	498	678	271
360	265	203	565	72	618
361	392	990	166	213	697
362	87	164	836	451	423
363	751	891	422	841	955
364	789	508	174	92	507
365	656	640	558	709	489
366	368	953	923	462	181
367	253	130	981	588	794
368	530	913	373	555	796
369	587	765	871	424	403
370	752	417	184	144	547
371	453	291	219	874	627
372	370	986	914	382	84
373	891	321	729	272	120
374	766	873	899	231	312
375	696	908	947	509	683
376	419	949	810	458	524
377	894	882	685	355	132
378	556	305	886	193	101
379	930	892	350	718	687
380	417	585	620	297	998
381	747	831	963	196	331
382	63	504	222	671	811
383	242	418	995	29	908
384	12	673	314	331	419
385	759	824	590	47	159
386	858	740	702	528	664
387	444	584	342	950	58
388	924	973	50	194	255
389	615	141	517	372	221
390	857	570	906	757	479
391	473	402	520	701	997
392	124	465	121	253	674
393	401	354	34	426	137
394	314	118	349	886	397
395	269	698	285	535	476
396	905	479	726	843	320
397	923	142	771	584	353
398	140	165	665	921	314
399	168	797	289	352	893
400	973	515	814	384	574
401	367	208	848	158	609
402	582	135	710	907	721
403	287	599	249	918	272
404	324	117	449	892	944
405	874	126	101	360	251
406	295	452	436	506	698
407	580	947	624	167	861
408	660	813	938	999	849
409	998	66	276	209	514
410	279	431	388	961	93
411	866	413	968	791	209
412	646	92	695	866	374
413	610	326	88	237	724
414	231	847	80	910	566
415	160	41	91	392	538
416	612	807	601	223	274
417	546	59	437	95	699
418	796	163	919	958	844
419	695	197	117	836	935
420	148	457	753	845	652
421	255	677	246	236	25
422	214	992	469	692	153
423	276	286	501	91	662
424	347	946	478	349	136
425	800	738	977	69	69
426	658	312	686	855	174
427	299	742	298	882	709
428	749	112	999	450	117
429	70	557	569	628	597
430	519	369	703	894	0
431	409	886	598	529	268
432	487	222	707	277	395
433	104	31	377	691	204
434	901	512	832	514	469
435	621	787	677	962	989
436	422	761	874	997	663
437	17	355	623	531	793
438	336	49	200	592	749
439	941	594	291	880	986
440	671	826	206	367	124
441	684	393	684	828	278
442	553	998	657	229	109
443	325	169	127	966	635
444	105	184	524	99	127
445	249	428	559	128	352
446	352	982	66	667	684
447	638	510	953	720	569
448	851	20	525	876	728
449	576	667	196	198	362
450	260	159	67	561	80
451	328	916	829	730	62
452	464	842	704	289	370
453	304	815	887	460	960
454	390	416	348	337	183
455	218	848	653	842	937
456	513	239	541	865	224
457	404	758	151	2	14
458	40	454	943	62	610
459	964	68	560	979	250
460	284	47	539	258	282
461	502	887	942	356	494
462	483	607	523	391	121
463	408	55	669	50	332
464	366	241	379	477	167
465	744	19	948	991	589
466	355	904	661	278	706
467	807	704	263	329	947
468	43	555	186	78	160
469	823	716	911	232	981
470	25	227	459	290	979
471	832	282	266	754	980
472	859	17	455	872	949
473	822	531	56	90	206
474	54	180	822	159	950
475	228	563	475	410	582
476	96	331	253	441	29
477	189	566	406	932	295
478	732	145	875	166	694
479	77	763	300	123	858
480	544	173	427	189	292
481	167	679	693	839	210
482	842	816	690	539	421
483	688	38	171	601	18
484	170	76	837	178	611
485	418	470	639	740	482
486	706	273	530	501	913
487	415	980	442	344	516
488	268	317	389	414	883
489	981	233	307	947	389
490	572	168	591	30	924
491	922	623	760	181	373
492	915	625	989	133	447
493	809	575	464	322	942
494	256	347	552	294	154
495	375	198	850	995	940
496	235	985	881	830	963
497	138	629	398	614	39
498	377	435	157	145	505
499	227	190	955	5	641
500	598	335	424	795	790
501	101	223	755	409	106
502	690	900	606	939	548
503	691	608	491	205	553
504	438	9	697	12	604
505	185	494	708	496	1
506	846	922	3	137	73
507	599	955	205	86	326
508	931	450	224	354	284
509	92	509	16	593	365
510	618	690	770	726	273
511	122	396	812	366	878
512	379	715	800	105	865
513	632	586	769	790	772
514	666	989	487	814	555
515	579	548	38	365	247
516	357	771	175	24	450
517	427	910	2	527	907
518	654	438	815	786	31
519	785	388	84	920	751
520	949	52	824	254	35
521	668	98	537	552	799
522	387	296	808	889	279
523	919	70	109	469	402
524	34	618	857	915	196
525	629	899	376	428	346
526	137	44	496	787	398
527	317	777	407	813	463
528	143	123	752	445	985
529	389	302	161	444	755
530	524	448	972	898	758
