	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	666	93	397	511	544
101	986	393	442	618	599
102	435	983	998	429	560
103	731	761	845	635	428
104	442	909	146	704	912
105	656	65	758	939	338
106	94	540	817	615	498
107	757	757	421	948	613
108	939	428	135	992	846
109	268	417	916	385	724
110	729	568	825	536	703
111	582	141	930	706	593
112	40	413	753	189	753
113	960	344	638	450	402
114	714	587	399	980	615
115	771	293	981	146	936
116	408	407	987	459	518
117	350	970	448	814	984
118	551	954	952	979	716
119	840	931	853	626	975
120	930	555	602	529	409
121	929	562	299	441	571
122	627	688	517	637	587
123	12	421	387	135	514
124	21	821	345	22	951
125	495	884	922	629	756
126	413	159	408	997	979
127	709	450	929	553	962
128	424	579	924	750	431
129	993	399	141	424	998
130	934	995	630	277	503
131	740	234	989	36	609
132	739	709	163	653	858
133	733	557	962	767	980
134	664	774	629	534	969
135	557	574	812	834	804
136	722	957	867	778	752
137	638	526	391	657	952
138	24	514	355	945	19
139	338	985	420	306	505
140	823	75	923	775	579
141	396	996	529	915	968
142	311	823	971	369	803
143	669	435	276	406	943
144	645	926	481	398	559
145	712	704	972	560	389
146	355	499	427	754	622
147	151	932	883	634	985
148	687	845	777	410	970
149	780	993	626	955	440
150	659	998	666	845	398
151	129	554	642	495	619
152	860	369	979	409	959
153	951	754	619	664	908
154	401	858	890	807	589
155	671	949	31	622	537
156	439	972	639	956	751
157	732	715	860	499	941
158	283	735	224	40	526
159	419	724	949	447	972
160	956	989	752	969	657
161	417	8	335	571	755
162	967	32	270	853	636
163	952	904	631	568	496
164	639	270	757	966	534
165	445	149	286	812	814
166	293	346	388	748	424
167	853	117	416	983	601
168	760	432	728	932	955
169	944	922	761	971	423
170	363	427	934	935	535
171	610	437	432	889	564
172	559	980	412	943	481
173	276	418	858	554	759
174	972	405	633	162	403
175	431	657	418	927	924
176	979	505	424	606	162
177	254	22	996	898	16
178	923	981	935	403	923
179	423	495	272	823	512
180	432	512	966	996	926
181	420	585	941	437	986
182	958	551	748	355	555
183	987	663	948	977	973
184	775	388	759	926	549
185	629	942	425	727	632
186	427	383	755	346	495
187	980	2	552	755	404
188	224	944	293	431	944
189	807	396	598	944	585
190	357	507	940	417	456
191	996	423	417	551	967
192	134	502	731	630	664
193	631	986	933	984	950
194	346	760	763	922	645
195	570	445	643	272	419
196	364	807	704	967	971
197	954	966	644	774	663
198	388	355	419	416	933
199	286	311	956	423	565
200	896	153	194	762	480
201	696	678	640	804	960
202	828	303	25	297	274
203	598	775	21	790	547
204	438	912	685	805	513
205	37	312	2	312	954
206	678	668	389	525	776
207	505	968	778	430	13
208	484	443	576	741	825
209	804	638	958	734	390
210	922	444	212	961	375
211	263	831	821	593	159
212	526	464	970	752	87
213	746	556	350	67	35
214	35	857	5	321	519
215	727	358	589	395	436
216	767	797	894	443	831
217	621	869	235	611	606
218	615	127	992	965	925
219	244	614	967	557	415
220	759	769	943	947	790
221	499	696	440	117	24
222	542	493	182	514	297
223	728	87	429	359	552
224	753	415	558	684	120
225	390	20	784	349	421
226	325	9	710	726	909
227	748	766	490	446	845
228	701	92	841	425	322
229	447	790	977	701	896
230	491	946	982	73	904
231	973	263	770	987	324
232	79	403	404	402	656
233	699	759	995	986	853
234	609	26	976	960	961
235	663	101	762	766	611
236	152	390	43	16	761
237	978	397	11	231	732
238	622	416	280	230	630
239	595	386	9	764	425
240	975	235	151	331	658
241	715	992	492	413	206
242	525	447	776	616	293
243	942	486	942	256	400
244	444	726	889	598	624
245	998	758	606	225	949
246	554	353	610	43	405
247	976	643	931	408	833
248	790	324	622	270	614
249	744	977	364	0	947
250	981	701	697	517	29
251	9	43	186	828	408
252	454	883	357	627	393
253	784	357	689	38	416
254	965	129	502	910	237
255	235	296	106	190	637
256	547	973	843	235	407
257	568	743	965	476	329
258	571	508	703	841	435
259	452	771	197	392	722
260	982	615	663	813	706
261	756	603	814	481	489
262	415	431	546	405	132
263	915	749	551	893	659
264	306	651	411	645	807
265	770	956	715	592	136
266	855	398	406	158	58
267	299	274	526	780	349
268	256	629	764	816	997
269	825	653	823	964	993
270	633	328	855	703	829
271	943	209	407	993	161
272	619	910	760	761	427
273	197	763	964	925	889
274	451	716	955	937	816
275	618	576	0	679	633
276	261	49	846	890	418
277	846	699	190	396	364
278	502	633	514	386	699
279	642	419	557	589	451
280	412	436	403	952	450
281	22	513	647	968	296
282	369	637	983	749	598
283	910	639	747	338	117
284	752	349	808	959	710
285	903	816	158	950	988
286	961	190	450	268	775
287	436	846	261	978	679
288	774	483	171	904	915
289	553	888	957	442	715
290	858	414	568	779	25
291	754	964	505	855	574
292	779	744	963	420	171
293	448	593	414	439	129
294	726	950	436	411	747
295	926	321	413	933	383
296	602	186	908	957	760
297	749	517	605	894	270
298	977	132	779	995	691
299	636	73	321	435	346
300	66	898	781	771	937
301	778	362	16	494	974
302	234	650	827	159	272
303	585	352	328	843	497
304	394	808	152	133	631
305	182	695	984	90	946
306	220	685	840	643	678
307	658	673	162	709	655
308	453	982	570	77	334
309	912	742	765	24	682
310	297	27	161	737	668
311	17	546	927	958	717
312	10	295	659	912	399
313	160	482	744	290	464
314	931	7	717	668	989
315	653	213	740	428	769
316	411	945	460	160	457
317	156	42	24	603	515
318	600	307	378	782	10
319	242	602	850	466	743
320	800	4	906	203	650
321	510	297	833	2	462
322	672	984	582	938	225
323	970	241	608	317	566
324	384	39	117	638	700
325	614	561	660	509	331
326	654	843	499	533	507
327	685	902	356	951	767
328	26	718	796	610	388
329	466	367	398	74	38
330	389	692	819	404	898
331	576	634	735	777	444
332	830	702	609	508	965
333	48	553	686	575	500
334	724	221	449	535	73
335	833	291	844	740	982
336	33	609	385	902	607
337	644	660	554	477	22
338	684	768	165	678	608
339	202	938	519	681	990
340	587	762	221	689	156
341	295	642	742	263	326
342	751	655	464	156	709
343	660	284	531	539	687
344	397	500	477	588	359
345	324	497	611	650	662
346	335	14	508	507	152
347	734	334	15	600	902
348	649	934	336	152	643
349	61	619	577	614	626
350	566	575	585	384	443
351	927	925	38	765	92
352	974	509	445	817	42
353	473	773	595	999	26
354	162	590	524	994	347
355	509	536	515	931	98
356	313	679	434	96	20
357	480	384	241	540	812
358	225	406	947	286	981
359	170	36	828	391	279
360	200	242	20	753	940
361	844	930	44	985	406
362	628	740	559	444	475
363	583	539	650	962	610
364	393	630	968	803	306
365	58	166	699	407	651
366	898	988	682	559	860
367	990	834	497	934	101
368	985	940	869	234	356
369	25	38	771	100	976
370	686	645	766	324	369
371	992	961	58	531	290
372	82	924	681	35	200
373	768	978	541	722	67
374	379	939	14	390	888
375	540	476	562	426	194
376	158	524	620	888	221
377	625	962	209	92	603
378	700	541	482	574	730
379	77	745	974	973	350
380	483	440	463	80	707
381	904	136	17	989	447
382	593	268	500	565	12
383	92	777	905	621	160
384	620	937	26	929	736
385	409	618	456	334	942
386	606	566	624	182	810
387	781	691	954	640	869
388	716	224	400	375	647
389	418	531	37	414	401
390	769	387	636	490	938
391	999	401	804	857	697
392	829	409	769	361	106
393	637	664	925	209	94
394	513	855	628	830	224
395	964	510	50	283	397
396	997	420	829	383	268
397	957	412	884	547	744
398	144	933	338	666	556
399	73	402	975	329	841
400	6	947	282	469	502
401	296	273	87	27	353
402	185	588	792	793	789
403	670	331	729	300	452
404	272	479	512	936	901
405	717	953	242	512	163
406	404	3	283	810	539
407	735	102	300	537	56
408	104	635	133	252	85
409	50	713	470	50	352
410	237	171	590	118	273
411	414	455	144	302	567
412	565	662	95	250	689
413	63	503	621	839	6
414	365	118	8	161	801
415	599	448	483	811	745
416	1	580	452	104	410
417	555	71	820	558	37
418	803	438	565	258	893
419	15	123	96	475	821
420	462	378	870	166	441
421	298	652	219	9	765
422	323	675	592	723	166
423	481	690	53	19	264
424	691	85	680	784	257
425	304	765	871	144	57
426	70	608	782	34	953
427	738	31	82	745	886
428	808	480	909	47	584
429	901	871	396	260	186
430	213	133	379	470	102
431	796	683	325	628	438
432	141	347	767	206	140
433	991	379	932	106	733
434	449	454	563	646	0
435	251	83	4	570	948
436	334	121	426	462	36
437	689	19	305	802	674
438	219	799	329	226	379
439	949	680	518	991	463
440	743	542	831	449	840
441	113	280	991	901	592
442	105	5	446	670	411
443	524	170	132	128	939
444	368	466	641	151	386
445	284	908	539	183	991
446	662	163	588	123	843
447	303	796	653	356	412
448	352	990	437	672	797
449	556	801	723	756	328
450	742	286	32	393	477
451	161	671	810	870	935
452	544	197	696	757	718
453	777	781	291	797	758
454	737	470	65	601	963
455	562	17	549	829	284
456	592	627	166	662	983
457	378	120	430	303	575
458	494	194	503	675	806
459	702	434	718	773	472
460	434	577	275	702	4
461	159	475	863	608	449
462	192	184	453	69	394
463	651	471	331	758	17
464	508	723	599	655	196
465	648	135	285	660	295
466	43	707	19	57	312
467	762	525	33	70	164
468	607	279	793	421	531
469	937	96	657	818	793
470	541	457	544	378	395
471	206	70	69	127	184
472	470	806	312	544	303
473	430	422	307	729	553
474	347	535	613	42	266
475	464	564	100	165	562
476	766	35	136	717	770
477	469	737	805	445	313
478	446	94	751	97	600
479	471	827	80	860	337
480	279	6	443	12	749
481	429	131	29	694	442
482	321	783	938	595	31
483	358	599	67	95	439
484	130	160	999	387	362
485	291	189	575	352	830
486	387	12	726	963	471
487	230	589	433	185	780
488	679	728	603	990	768
489	367	805	567	685	723
490	189	69	394	336	209
491	231	640	34	242	469
492	96	322	857	129	14
493	806	533	525	700	127
494	97	890	459	639	151
495	46	748	203	284	844
496	385	490	94	46	605
497	410	492	656	347	83
498	924	582	234	299	784
499	611	451	997	311	675
500	333	236	218	254	93
501	371	867	169	30	729
502	90	88	738	479	558
503	911	57	330	809	820
504	880	366	259	196	799
505	307	430	702	63	155
506	68	288	674	353	782
507	157	820	62	202	482
508	572	227	815	200	220
509	327	572	134	549	201
510	680	583	343	298	231
511	523	467	789	903	80
512	899	382	170	572	800
513	913	212	706	1	233
514	695	506	907	521	250
515	226	114	79	360	69
516	294	128	84	518	880
517	706	260	1	98	276
518	668	607	422	371	278
519	30	301	527	899	742
520	250	903	167	919	550
521	579	41	649	62	226
522	353	617	54	237	670
523	906	785	809	792	591
524	121	176	271	71	228
525	580	319	51	473	121
526	210	647	184	552	292
527	787	359	928	808	128
528	258	246	362	730	454
529	116	815	521	15	88
530	793	145	465	273	890
