	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	644	468	860	514	352
101	556	526	264	473	155
102	229	962	387	533	597
103	95	234	414	3	751
104	625	905	4	950	560
105	439	542	212	733	826
106	219	882	610	303	556
107	669	384	787	90	218
108	910	464	537	906	975
109	260	944	889	46	438
110	767	574	831	853	269
111	990	698	464	248	393
112	717	226	185	256	47
113	477	420	762	492	83
114	706	816	905	629	270
115	412	8	957	649	398
116	435	910	79	176	257
117	693	647	663	124	194
118	602	79	823	288	890
119	227	273	572	889	229
120	170	44	582	324	20
121	562	890	583	731	80
122	780	831	575	700	98
123	276	155	155	220	664
124	917	534	703	552	320
125	734	517	928	177	584
126	506	716	586	160	442
127	277	859	91	854	896
128	138	86	280	667	25
129	726	287	100	952	532
130	410	222	307	183	425
131	754	388	641	645	221
132	805	898	240	756	709
133	738	22	165	134	829
134	542	604	497	693	415
135	99	761	877	829	214
136	534	704	69	571	138
137	860	103	152	528	820
138	55	674	0	670	444
139	457	339	832	326	186
140	546	138	219	73	108
141	819	995	789	284	618
142	420	961	151	71	668
143	715	209	527	655	223
144	394	912	894	164	953
145	438	354	31	159	575
146	509	886	106	304	862
147	274	459	305	5	266
148	853	208	934	882	409
149	21	54	550	899	878
150	699	916	216	31	892
151	804	134	368	531	725
152	374	145	505	630	522
153	489	65	878	777	159
154	978	685	935	138	970
155	685	664	693	880	412
156	431	94	182	737	781
157	735	45	172	837	205
158	537	802	712	977	271
159	523	178	681	736	136
160	920	902	700	334	253
161	518	117	706	471	337
162	610	230	455	774	22
163	525	903	131	555	314
164	263	383	209	765	274
165	665	651	947	282	699
166	547	720	499	7	674
167	502	32	389	421	869
168	759	194	699	901	825
169	220	282	239	430	806
170	778	635	763	118	582
171	255	688	28	468	133
172	299	634	302	588	920
173	544	643	779	971	810
174	702	813	525	904	710
175	423	402	214	903	871
176	120	683	798	804	397
177	620	846	32	611	791
178	262	88	891	537	109
179	927	421	436	902	45
180	756	521	137	758	850
181	993	415	381	439	858
182	451	514	765	522	645
183	810	49	530	429	804
184	409	977	245	964	461
185	47	723	519	910	770
186	296	401	328	714	776
187	246	406	785	892	794
188	859	398	796	549	946
189	653	678	742	861	843
190	278	618	481	451	801
191	332	639	874	298	449
192	961	535	286	423	102
193	66	47	350	574	341
194	695	120	963	554	951
195	342	361	333	772	163
196	254	348	293	521	160
197	87	775	879	875	722
198	206	48	723	529	670
199	167	248	875	622	97
200	1	930	242	141	157
201	660	617	747	222	635
202	185	460	338	613	199
203	569	319	361	125	41
204	969	268	41	381	800
205	922	293	427	62	901
206	242	233	362	530	364
207	996	642	491	367	631
208	965	128	854	489	156
209	649	102	413	598	418
210	743	19	554	543	12
211	747	70	441	106	454
212	380	799	931	888	891
213	854	99	710	190	360
214	504	193	229	584	29
215	830	924	105	740	746
216	656	169	602	259	451
217	663	609	786	253	39
218	284	59	882	413	198
219	448	101	715	662	893
220	526	926	987	236	714
221	857	379	224	730	116
222	430	679	913	105	448
223	721	964	259	167	815
224	37	494	897	922	552
225	559	156	867	991	392
226	540	798	26	139	117
227	850	131	757	485	482
228	495	980	319	286	247
229	245	297	8	560	526
230	825	742	255	331	72
231	43	204	299	182	338
232	204	189	244	86	607
233	770	310	814	96	686
234	419	85	203	287	14
235	508	57	107	273	528
236	70	718	983	987	180
237	234	486	883	488	56
238	676	436	911	396	558
239	25	750	827	852	976
240	975	393	183	813	441
241	913	343	96	185	713
242	472	914	424	961	563
243	417	362	330	997	844
244	822	473	468	211	601
245	63	20	64	371	680
246	943	937	170	945	730
247	847	895	862	360	374
248	465	557	777	692	152
249	269	877	995	281	489
250	494	159	109	272	527
251	942	60	760	217	789
252	851	597	942	750	799
253	823	608	858	100	775
254	893	198	870	766	747
255	201	380	343	472	657
256	32	52	929	706	335
257	216	596	923	746	578
258	524	572	863	621	684
259	491	738	821	835	961
260	583	87	924	996	566
261	513	577	422	307	176
262	48	241	892	509	316
263	806	940	982	434	942
264	611	17	348	810	50
265	628	566	769	206	347
266	226	114	238	450	379
267	924	822	704	851	623
268	6	4	205	863	260
269	432	786	658	871	164
270	789	448	759	476	589
271	997	148	531	359	759
272	328	465	126	666	915
273	26	387	984	925	898
274	981	227	731	834	587
275	740	215	873	894	149
276	833	702	991	202	36
277	664	315	514	479	718
278	824	416	206	671	809
279	937	986	263	52	403
280	338	725	619	59	565
281	902	815	247	915	861
282	807	455	430	990	188
283	113	434	887	578	793
284	528	239	805	634	6
285	8	502	376	45	501
286	748	931	163	230	370
287	954	330	667	23	137
288	818	760	835	133	400
289	891	89	140	705	983
290	272	675	844	155	937
291	121	149	565	370	786
292	140	487	886	878	295
293	408	92	192	808	38
294	606	803	139	104	85
295	473	787	601	652	145
296	771	676	365	817	306
297	427	3	437	717	985
298	842	437	345	353	936
299	291	135	292	461	90
300	492	591	557	361	764
301	351	612	425	727	579
302	958	623	953	601	169
303	666	737	940	679	938
304	366	173	275	445	457
305	930	842	616	999	251
306	64	520	127	460	544
307	139	524	34	572	238
308	708	129	523	384	870
309	301	805	692	199	705
310	149	697	246	545	599
311	581	783	964	519	990
312	639	797	104	722	16
313	687	96	158	593	879
314	511	976	270	170	590
315	297	854	40	797	62
316	928	672	176	146	965
317	964	772	197	504	807
318	571	139	956	839	732
319	566	244	321	29	386
320	632	368	621	80	521
321	217	357	316	547	404
322	267	176	526	805	77
323	76	745	758	678	963
324	568	989	200	779	838
325	235	945	300	312	832
326	256	280	453	209	431
327	861	192	501	149	919
328	762	210	656	640	496
329	293	263	175	398	469
330	532	638	276	247	652
331	136	141	357	917	744
332	828	876	809	811	228
333	945	501	16	195	973
334	884	759	254	112	124
335	365	483	27	12	208
336	452	632	14	30	610
337	746	126	933	433	106
338	376	744	726	995	924
339	173	625	503	843	967
340	134	153	552	205	297
341	724	482	187	317	921
342	24	826	516	314	288
343	991	220	478	24	790
344	343	582	251	2	500
345	94	396	952	753	555
346	584	754	99	13	226
347	678	165	644	754	782
348	46	353	822	127	561
349	98	637	638	573	17
350	926	296	443	301	679
351	125	74	643	646	571
352	516	305	496	956	368
353	609	771	546	10	689
354	921	2	837	36	265
355	237	71	404	827	211
356	918	663	508	207	35
357	462	35	318	332	69
358	481	938	672	929	968
359	323	640	211	870	884
360	111	917	233	88	939
361	809	340	355	407	606
362	551	884	195	229	237
363	40	12	836	864	676
364	561	888	689	0	860
365	732	740	719	691	372
366	371	113	626	91	319
367	62	409	135	516	724
368	977	633	416	508	166
369	418	356	996	198	365
370	688	118	43	475	329
371	808	758	838	778	427
372	223	855	981	933	49
373	760	397	927	836	93
374	118	163	56	410	439
375	92	968	620	107	848
376	672	166	738	414	813
377	493	390	261	506	284
378	844	673	442	951	481
379	207	781	161	69	950
380	141	493	44	967	715
381	710	763	68	672	57
382	635	430	649	978	349
383	367	808	396	793	903
384	352	23	864	800	181
385	967	551	654	958	603
386	970	170	289	720	728
387	334	121	597	347	888
388	627	474	249	596	656
389	712	972	675	426	683
390	347	13	304	830	831
391	878	142	37	42	550
392	373	692	463	944	885
393	368	568	179	404	410
394	137	879	153	709	772
395	731	300	992	676	822
396	354	76	908	938	531
397	654	500	2	926	191
398	303	133	970	277	408
399	974	423	377	60	40
400	150	847	128	550	912
401	862	947	482	393	524
402	393	127	573	719	913
403	358	554	690	181	549
404	580	73	54	841	264
405	866	748	792	297	94
406	304	801	19	927	330
407	916	302	788	752	720
408	195	788	659	491	231
409	50	561	848	28	643
410	250	359	335	387	984
411	903	313	609	494	539
412	35	827	358	435	476
413	730	75	3	383	908
414	292	599	577	157	847
415	840	856	81	965	280
416	103	836	958	469	821
417	787	630	624	862	463
418	503	662	661	845	935
419	898	344	116	551	650
420	449	657	825	507	651
421	873	358	650	757	997
422	384	832	76	16	60
423	225	476	595	604	239
424	598	407	341	409	687
425	447	548	85	685	416
426	346	489	967	920	373
427	89	144	325	251	594
428	905	693	282	22	388
429	923	539	320	20	385
430	979	957	815	898	567
431	306	247	585	767	669
432	210	370	612	874	547
433	865	83	485	616	162
434	258	839	87	391	92
435	59	645	603	449	472
436	820	428	851	905	873
437	779	958	388	600	845
438	555	646	51	729	313
439	333	78	778	137	534
440	12	109	794	775	351
441	592	857	810	223	974
442	81	177	266	153	591
443	579	921	907	70	491
444	934	982	761	994	113
445	527	992	186	346	519
446	200	671	433	103	981
447	61	132	342	937	273
448	976	274	817	38	101
449	691	352	403	250	834
450	652	467	783	311	183
451	716	5	702	795	830
452	434	84	167	98	428
453	116	950	15	76	926
454	96	418	605	406	627
455	298	454	66	417	28
456	622	506	607	467	407
457	115	515	360	386	564
458	600	765	121	943	126
459	77	108	298	764	505
460	307	179	968	200	972
461	817	375	391	608	281
462	72	615	639	345	736
463	631	569	385	791	608
464	499	347	589	860	248
465	80	867	590	592	761
466	68	332	819	577	54
467	314	27	143	735	328
468	519	72	682	308	389
469	573	654	271	681	13
470	377	690	411	74	654
471	815	499	101	638	876
472	73	236	938	628	745
473	53	978	18	495	723
474	241	399	826	553	4
475	214	26	579	653	290
476	642	168	869	590	574
477	505	873	629	842	765
478	230	212	570	963	161
479	671	708	840	721	497
480	294	184	490	780	641
481	106	42	285	635	369
482	385	512	850	214	276
483	142	998	930	402	121
484	107	607	729	366	661
485	686	308	115	713	659
486	193	95	174	684	406
487	768	369	647	969	217
488	101	271	356	156	979
489	268	819	465	957	883
490	22	949	166	701	289
491	565	150	764	231	405
492	684	38	630	372	609
493	445	312	378	792	382
494	619	766	136	968	611
495	549	440	470	428	637
496	728	541	919	660	944
497	467	589	617	72	796
498	659	726	841	773	600
499	159	603	500	838	923
500	231	171	680	51	803
501	570	785	752	557	140
502	131	733	235	196	512
503	548	843	477	615	697
504	310	33	811	741	401
505	251	240	67	527	755
506	453	154	943	877	498
507	863	837	221	694	630
508	572	735	310	179	986
509	485	130	784	603	865
510	78	53	685	786	87
511	130	885	560	675	359
512	915	904	473	989	303
513	951	584	492	128	224
514	52	593	445	274	993
515	952	316	449	356	154
516	213	331	669	726	184
517	105	834	419	306	488
518	999	909	502	425	19
519	623	996	808	234	816
520	757	694	646	329	494
521	444	246	207	886	120
522	33	61	301	1	749
523	396	581	287	984	311
524	900	431	132	568	296
525	749	913	373	151	175
526	224	450	843	260	458
527	636	899	833	855	196
528	355	471	397	501	225
529	585	656	753	962	925
530	629	590	544	462	440
