	kfold1	kfold2	kfold3	kfold4	kfold5
0	2	0	46	14	5
1	4	15	49	25	7
2	7	21	57	39	8
3	11	29	59	48	11
4	16	37	61	58	21
5	23	46	71	75	30
6	27	56	74	82	44
7	28	100	75	83	52
8	36	110	77	93	53
9	60	111	78	110	55
10	67	115	86	111	65
11	74	116	90	114	70
12	83	119	97	126	71
13	85	143	103	140	82
14	93	146	108	148	89
15	135	172	112	163	107
16	147	181	118	172	110
17	164	219	122	175	112
18	174	245	130	180	115
19	188	249	147	186	122
20	196	250	154	188	131
21	212	256	168	197	146
22	215	257	180	239	147
23	221	258	188	240	158
24	222	259	189	241	172
25	232	261	204	249	173
26	238	275	225	262	178
27	240	292	228	264	179
28	243	318	237	275	185
29	257	325	256	285	193
30	259	337	267	295	202
31	266	342	279	296	215
32	273	345	281	305	216
33	280	350	306	310	219
34	281	374	309	325	236
35	318	389	315	339	245
36	322	391	367	363	252
37	329	400	371	364	254
38	330	410	383	377	258
39	340	426	384	394	261
40	362	429	395	400	267
41	372	456	401	432	283
42	382	461	415	440	300
43	386	463	438	456	302
44	391	478	439	457	339
45	395	485	462	474	340
46	402	523	466	480	343
47	405	529	476	484	357
48	425	543	507	486	371
49	433	552	510	493	422
50	455	571	535	497	426
51	459	600	536	513	433
52	460	620	538	515	437
53	463	621	542	520	478
54	468	624	545	542	483
55	474	626	556	566	486
56	482	641	574	576	493
57	486	644	580	581	509
58	490	659	596	587	510
59	496	666	625	605	530
60	517	670	632	620	540
61	522	686	634	624	541
62	529	687	648	625	543
63	536	703	655	631	546
64	567	711	673	636	583
65	577	719	683	644	595
66	597	734	688	647	628
67	601	736	694	648	634
68	605	751	701	651	640
69	616	755	705	661	642
70	681	756	713	665	648
71	692	764	714	674	688
72	697	770	716	677	690
73	704	776	720	687	711
74	736	779	724	695	712
75	741	792	730	712	731
76	750	795	732	732	734
77	763	812	737	739	739
78	773	814	739	743	741
79	791	825	745	747	754
80	798	828	746	768	763
81	799	841	750	776	773
82	801	849	780	794	774
83	831	861	791	798	778
84	834	870	802	821	783
85	869	875	806	824	788
86	889	880	818	833	817
87	897	893	830	840	864
88	908	896	852	844	866
89	909	897	866	847	874
90	932	935	868	883	881
91	936	936	888	885	894
92	940	941	910	896	900
93	946	951	915	897	906
94	950	960	945	900	916
95	959	963	946	911	927
96	966	969	959	923	928
97	988	971	978	928	930
98	994	975	988	953	994
99	995	987	994	974	999
100	502	387	707	965	376
101	311	881	860	843	833
102	202	680	264	176	108
103	825	957	387	434	626
104	204	688	414	514	950
105	920	704	4	473	352
106	617	204	212	533	155
107	160	545	610	3	597
108	258	715	787	950	751
109	644	443	537	733	560
110	556	925	889	303	826
111	229	672	831	90	556
112	95	468	464	906	218
113	625	526	185	46	975
114	439	962	762	853	438
115	219	234	905	248	269
116	669	905	957	256	393
117	910	542	79	492	47
118	260	882	663	629	83
119	767	384	823	649	270
120	977	464	572	996	398
121	717	944	582	124	257
122	477	574	583	288	194
123	706	698	575	889	890
124	412	226	155	324	229
125	435	420	703	731	20
126	693	816	928	700	80
127	602	8	586	220	98
128	227	910	91	552	664
129	170	647	280	177	320
130	562	79	100	160	584
131	780	273	307	854	442
132	276	44	641	667	896
133	917	890	240	952	25
134	734	831	165	183	532
135	506	155	497	645	425
136	277	534	877	756	221
137	138	517	69	134	709
138	726	716	152	693	829
139	410	859	0	829	415
140	754	86	832	571	214
141	805	287	219	528	138
142	738	222	789	670	820
143	542	388	151	326	444
144	99	898	527	73	186
145	534	22	894	284	993
146	860	604	31	71	618
147	55	761	106	655	668
148	457	990	305	164	223
149	546	103	933	159	948
150	819	674	550	304	575
151	420	339	216	5	862
152	715	138	368	882	266
153	394	946	505	899	409
154	438	945	878	31	878
155	509	209	934	531	892
156	274	912	693	630	725
157	853	354	182	777	522
158	21	886	172	138	159
159	699	459	712	880	963
160	804	208	681	737	412
161	374	54	700	837	781
162	489	134	706	968	205
163	967	145	455	736	271
164	685	65	131	334	136
165	431	685	209	471	253
166	735	664	943	774	337
167	537	94	499	555	22
168	523	45	389	765	314
169	911	802	699	282	274
170	518	178	239	7	699
171	610	117	763	421	674
172	525	230	28	901	869
173	263	383	302	430	825
174	665	651	779	118	806
175	547	720	525	468	582
176	999	32	214	588	133
177	759	194	798	966	913
178	220	282	32	929	810
179	778	635	890	898	710
180	255	992	436	804	871
181	299	634	137	611	397
182	544	643	381	537	791
183	702	813	765	895	109
184	423	402	530	758	45
185	120	683	245	439	850
186	620	846	519	522	858
187	262	88	328	429	645
188	952	421	785	960	804
189	756	521	796	904	461
190	980	415	742	714	770
191	451	514	481	887	776
192	810	49	873	549	794
193	409	934	286	861	940
194	47	723	350	451	843
195	296	401	962	298	801
196	246	406	333	423	449
197	859	398	293	574	102
198	653	678	923	554	341
199	278	618	723	772	946
200	724	978	265	74	657
201	705	6	940	222	815
202	964	972	998	35	251
203	921	639	229	314	198
204	638	319	29	431	601
205	807	546	20	146	405
206	242	630	176	158	761
207	272	891	901	787	237
208	659	744	242	783	347
209	996	14	748	466	390
210	823	660	338	969	201
211	342	902	361	155	206
212	226	938	41	205	94
213	149	233	427	596	220
214	609	386	362	106	142
215	1	922	491	530	156
216	986	613	855	65	633
217	182	454	413	141	195
218	566	315	554	997	41
219	969	260	441	612	796
220	922	288	931	125	895
221	241	227	715	381	360
222	972	637	996	62	630
223	648	125	105	529	154
224	740	99	602	367	411
225	744	19	788	490	12
226	378	68	881	983	452
227	851	797	717	540	888
228	500	96	975	980	354
229	829	189	224	886	29
230	654	917	911	190	743
231	662	165	259	578	448
232	283	603	892	734	39
233	446	55	869	259	191
234	520	98	26	253	889
235	856	921	758	413	708
236	428	370	319	658	114
237	714	675	8	236	446
238	37	937	255	727	812
239	557	490	299	105	549
240	532	150	244	167	389
241	849	796	815	919	116
242	493	128	203	962	480
243	244	950	107	139	243
244	982	294	972	487	521
245	43	740	882	286	72
246	203	198	909	559	333
247	768	184	828	331	605
248	417	307	183	182	683
249	504	83	96	86	14
250	68	53	424	96	526
251	231	713	330	287	175
252	672	482	468	273	56
253	25	431	64	958	553
254	951	749	170	489	953
255	470	381	863	396	439
256	414	336	778	851	707
257	818	356	981	811	561
258	63	467	109	185	840
259	993	20	761	933	599
260	846	907	929	973	678
261	462	554	859	211	727
262	268	873	871	371	370
263	492	153	343	918	151
264	919	57	916	360	482
265	850	593	925	689	524
266	820	602	864	281	784
267	891	192	822	272	793
268	198	373	954	217	768
269	32	48	422	748	744
270	214	591	971	100	656
271	519	568	348	762	332
272	485	737	770	475	571
273	581	84	238	704	682
274	510	573	704	741	937
275	48	239	205	618	564
276	802	911	658	830	171
277	607	17	760	971	312
278	627	562	531	307	917
279	225	112	126	511	50
280	904	820	974	435	335
281	6	4	735	808	374
282	429	783	886	206	619
283	787	444	977	455	250
284	973	142	514	849	161
285	328	455	206	477	587
286	26	379	263	359	755
287	960	223	619	662	886
288	737	212	247	878	867
289	511	349	215	702	600
290	494	850	949	399	475
291	595	149	119	536	852
292	614	203	829	390	306
293	926	824	403	102	69
294	553	555	190	233	17
295	565	324	629	323	581
296	408	827	820	27	481
297	862	495	76	28	373
298	867	900	342	948	410
299	727	474	906	306	209
300	712	397	292	308	305
301	931	428	50	143	317
302	422	132	800	666	166
303	140	766	667	266	550
304	165	932	184	802	491
305	622	933	434	19	512
306	167	848	907	801	706
307	389	159	63	444	273
308	816	525	283	757	210
309	148	954	958	290	364
310	76	981	15	595	169
311	633	60	622	703	772
312	200	984	84	260	705
313	52	532	804	459	381
314	568	787	275	859	765
315	106	500	80	300	627
316	670	947	603	294	61
317	365	375	850	406	585
318	757	895	232	872	313
319	78	344	56	507	962
320	288	854	277	447	379
321	64	724	854	673	33
322	579	588	127	640	609
323	582	409	459	84	217
324	114	877	10	508	574
325	753	300	356	921	813
326	377	655	557	671	696
327	896	667	429	443	790
328	635	807	930	349	119
329	125	73	983	135	494
330	13	290	612	592	157
331	415	136	134	754	372
332	94	47	38	104	244
333	313	120	523	370	769
334	690	587	689	729	580
335	612	599	251	610	952
336	480	614	115	681	941
337	918	728	162	460	458
338	345	166	276	934	248
339	666	834	43	476	548
340	360	509	179	589	232
341	62	510	200	387	876
342	130	123	326	201	715
343	708	790	617	557	603
344	295	695	321	534	942
345	141	774	526	722	13
346	578	788	755	601	883
347	641	92	202	174	591
348	687	966	308	800	60
349	499	845	453	149	809
350	293	668	501	516	736
351	965	768	654	838	386
352	561	131	178	30	531
353	632	241	285	951	403
354	207	361	360	558	75
355	261	352	805	809	912
356	72	169	16	679	841
357	563	742	262	779	834
358	228	916	30	320	435
359	252	276	14	213	500
360	855	180	857	151	471
361	766	197	725	650	659
362	290	247	503	405	749
363	524	632	552	251	225
364	997	995	192	813	923
365	824	493	516	198	120
366	880	757	478	113	196
367	358	475	254	12	614
368	444	625	875	32	97
369	749	989	110	445	915
370	370	738	643	932	295
371	161	615	819	842	284
372	124	141	636	208	799
373	728	473	443	329	503
374	22	815	642	321	562
375	914	215	496	23	965
376	335	578	546	2	789
377	89	382	407	753	565
378	580	748	508	13	16
379	678	156	323	936	689
380	44	347	992	128	578
381	928	629	221	590	366
382	118	291	241	999	697
383	503	942	358	653	264
384	604	301	197	874	204
385	865	993	685	10	35
386	234	2	718	40	64
387	861	70	623	209	919
388	449	661	141	342	882
389	469	36	418	848	610
390	319	858	862	89	231
391	961	633	45	414	684
392	809	888	938	231	369
393	541	333	853	0	997
394	39	818	62	694	729
395	554	12	616	92	152
396	739	822	731	525	983
397	367	733	270	519	327
398	61	108	442	200	428
399	902	403	163	494	40
400	599	51	964	717	296
401	593	416	208	877	24
402	129	26	827	643	290
403	249	286	914	603	615
404	191	699	757	793	939
405	840	390	511	469	180
406	193	269	979	799	351
407	98	213	437	181	423
408	464	355	919	797	406
409	473	75	624	210	319
410	606	348	199	608	18
411	189	918	394	127	272
412	710	380	922	278	873
413	323	879	782	676	836
414	139	470	812	425	552
415	346	297	195	792	382
416	195	885	53	203	498
417	352	970	991	720	838
418	873	240	644	316	469
419	304	735	793	978	443
420	49	5	560	550	723
421	623	118	941	935	238
422	943	448	883	870	720
423	419	707	633	778	893
424	453	263	187	254	42
425	380	441	656	967	188
426	86	255	942	890	298
427	884	579	708	169	128
428	34	799	19	726	79
429	945	303	856	353	951
430	585	577	741	91	28
431	611	483	908	573	356
432	987	673	848	409	929
433	145	773	870	745	590
434	866	450	965	187	479
435	390	168	331	857	474
436	355	821	121	312	722
437	584	113	34	775	925
438	874	531	51	517	117
439	307	72	174	34	132
440	197	721	809	403	539
441	50	771	473	518	567
442	254	280	142	458	268
443	35	760	487	395	90
444	746	539	579	161	334
445	301	343	692	894	742
446	844	302	58	499	228
447	104	798	953	871	663
448	793	74	21	862	907
449	498	582	792	575	559
450	448	836	661	538	495
451	877	803	846	780	865
452	376	607	349	16	282
453	235	646	613	628	839
454	600	328	374	426	969
455	447	640	2	713	671
456	350	341	588	944	673
457	96	914	94	24	921
458	901	451	631	22	54
459	899	378	666	790	961
460	308	520	132	646	716
461	217	465	833	407	427
462	269	126	657	481	385
463	66	671	87	626	608
464	833	507	599	755	401
465	785	856	359	133	400
466	551	224	101	991	589
467	337	977	843	226	691
468	10	78	339	156	563
469	992	608	301	68	150
470	87	413	335	927	88
471	583	609	590	361	935
472	526	976	621	103	318
473	210	102	492	866	547
474	70	148	104	43	988
475	898	806	606	252	898
476	701	869	397	337	604
477	668	884	54	97	502
478	731	654	781	72	93
479	430	940	291	424	538
480	119	244	808	437	903
481	979	335	764	498	276
482	306	445	196	402	92
483	637	3	446	947	174
484	116	81	363	786	968
485	916	842	412	202	847
486	80	399	702	635	651
487	309	438	887	358	943
488	77	486	17	812	984
489	645	501	607	616	588
490	491	727	82	606	123
491	930	101	609	764	516
492	73	154	377	336	974
493	958	358	136	707	288
494	513	590	316	70	756
495	572	548	844	672	623
496	371	331	398	664	255
497	79	763	647	521	49
498	54	317	396	577	331
499	250	988	592	682	402
500	418	377	234	332	986
501	478	572	549	761	879
502	122	775	1	404	26
503	842	958	541	652	513
504	427	471	562	56	759
505	105	327	649	907	162
506	353	968	999	591	980
507	495	393	372	512	477
508	671	42	23	196	970
509	177	665	485	915	324
510	142	422	449	903	504
511	743	653	598	852	6
512	558	216	135	66	602
513	680	61	640	166	880
514	942	515	638	771	764
515	3	584	148	622	901
516	975	839	585	411	658
517	245	434	695	553	594
518	58	709	470	184	329
519	775	597	95	179	315
520	279	505	477	995	586
521	33	581	191	841	592
522	978	876	111	730	606
523	751	594	483	784	830
524	466	95	289	171	163
525	187	677	445	223	596
526	682	313	461	52	989
527	237	506	710	594	183
528	570	492	840	214	464
529	134	785	524	675	534
530	548	419	357	782	126
