	kfold1	kfold2	kfold3	kfold4	kfold5
0	3	1	95	49	10
1	6	28	101	79	14
2	13	43	119	93	17
3	24	55	122	107	22
4	33	71	125	148	44
5	46	94	143	160	59
6	56	117	147	163	105
7	60	210	148	180	107
8	75	230	154	218	114
9	121	233	156	220	134
10	135	241	175	227	139
11	148	244	182	244	141
12	169	252	183	245	161
13	171	299	195	269	175
14	187	305	206	287	204
15	261	353	216	322	213
16	290	374	229	346	216
17	325	431	242	350	222
18	337	481	252	363	236
19	354	491	265	376	261
20	373	492	303	382	283
21	400	497	318	402	285
22	406	500	340	488	310
23	423	503	366	491	340
24	424	505	386	494	341
25	448	510	389	506	355
26	461	535	424	530	356
27	463	572	465	533	373
28	472	629	467	559	407
29	507	640	481	578	431
30	513	672	523	597	433
31	528	681	545	598	443
32	539	686	560	623	478
33	554	698	566	632	496
34	557	748	613	661	508
35	627	784	620	682	509
36	637	787	635	728	512
37	652	800	735	731	524
38	654	816	739	790	528
39	676	850	765	802	540
40	714	856	766	871	578
41	741	914	788	885	609
42	765	925	803	912	612
43	771	927	804	914	680
44	784	928	832	915	681
45	792	955	876	948	719
46	803	971	880	962	743
47	808	1050	928	966	844
48	848	1060	937	971	853
49	866	1086	952	989	862
50	907	1100	1010	998	872
51	913	1143	1016	1026	952
52	917	1212	1076	1031	967
53	922	1243	1078	1044	968
54	935	1246	1083	1091	981
55	952	1252	1089	1141	1013
56	963	1259	1095	1162	1016
57	973	1284	1109	1170	1048
58	980	1292	1146	1177	1071
59	995	1318	1158	1214	1078
60	1032	1336	1190	1247	1080
61	1040	1344	1249	1253	1085
62	1059	1380	1265	1255	1155
63	1067	1384	1271	1269	1186
64	1139	1417	1298	1275	1187
65	1158	1427	1309	1288	1253
66	1188	1439	1339	1295	1264
67	1199	1469	1354	1297	1276
68	1207	1474	1369	1304	1281
69	1226	1502	1381	1322	1289
70	1227	1506	1401	1329	1376
71	1360	1507	1410	1355	1381
72	1379	1530	1427	1362	1420
73	1388	1542	1429	1383	1466
74	1400	1557	1436	1395	1481
75	1470	1562	1444	1426	1483
76	1481	1586	1447	1466	1511
77	1501	1590	1460	1481	1528
78	1526	1622	1465	1486	1544
79	1543	1625	1469	1493	1558
80	1578	1649	1476	1539	1569
81	1579	1660	1489	1554	1578
82	1595	1679	1491	1585	1637
83	1598	1696	1498	1592	1729
84	1602	1720	1558	1643	1738
85	1659	1736	1583	1647	1765
86	1665	1743	1606	1663	1792
87	1731	1752	1615	1682	1794
88	1773	1780	1636	1691	1799
89	1787	1784	1667	1696	1812
90	1811	1788	1709	1766	1843
91	1818	1838	1741	1769	1856
92	1873	1864	1746	1793	1858
93	1895	1867	1789	1794	1863
94	1900	1880	1822	1795	1883
95	1919	1934	1865	1802	1910
96	1952	1945	1935	1858	1958
97	1960	1951	1957	1867	1959
98	1981	1970	1991	1942	1977
99	1986	1992	1997	1955	1981
100	1567	715	510	164	1088
101	1562	264	512	240	1082
102	1520	1650	1375	235	1079
103	1517	712	496	226	595
104	1509	269	1077	217	1069
105	1506	1641	394	216	1056
106	1502	1280	388	215	806
107	1497	1662	251	194	818
108	1496	707	254	181	826
109	1492	706	257	169	827
110	1485	1073	732	238	1024
111	1484	1074	264	774	1018
112	1480	1633	269	778	1014
113	1414	283	725	792	792
114	1479	1629	1678	1455	188
115	1473	1079	272	1411	1322
116	1468	288	724	1409	567
117	1466	1082	1123	1399	1657
118	1465	292	723	1390	293
119	1460	1071	1129	1389	1653
120	1452	294	1666	1350	296
121	1451	258	285	1345	1646
122	1445	716	1659	1460	1626
123	1443	206	1140	1316	317
124	1440	209	298	1299	1621
125	1435	212	1648	1286	321
126	1432	741	249	1282	326
127	1431	739	248	1278	1614
128	1422	1034	738	1277	337
129	1477	1035	240	1268	345
130	1263	1702	202	1261	1590
131	1260	221	762	1241	358
132	1256	1036	761	1303	360
133	1031	1664	1744	1240	362
134	1024	224	1085	1469	281
135	1017	1039	759	1473	1574
136	999	228	212	1746	273
137	993	1691	757	1740	1687
138	988	234	1096	1721	1763
139	983	237	1647	1690	1762
140	969	245	1726	1660	1761
