	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	144	131	293	135	131
31	145	130	380	134	130
32	131	129	353	133	129
33	129	128	146	132	135
34	128	127	246	131	128
35	125	126	248	130	181
36	146	125	251	129	78
37	124	132	256	334	395
38	141	35	262	338	192
39	142	258	263	353	204
40	224	334	128	350	391
41	215	336	86	349	134
42	226	392	119	30	13
43	214	393	381	261	393
44	100	353	398	270	239
45	140	142	134	137	143
46	139	141	133	128	142
47	138	120	132	127	123
48	137	140	131	125	141
49	136	137	136	124	139
50	135	136	130	123	138
51	134	135	294	122	137
52	133	134	245	139	133
53	132	124	247	380	132
54	123	123	138	383	127
55	122	122	6	386	126
56	121	138	308	391	125
57	119	66	309	395	140
58	398	338	5	396	339
59	367	49	305	398	345
60	155	144	137	117	144
61	154	145	135	145	145
62	153	398	129	143	148
63	90	146	127	142	117
64	152	271	150	141	147
65	150	22	147	140	146
66	149	33	149	138	337
67	148	352	249	121	322
68	147	54	284	120	334
69	120	387	43	144	386
70	118	46	13	12	332
71	117	391	140	258	327
72	116	397	334	20	324
73	151	47	391	298	335
74	396	377	397	244	333
75	164	116	144	154	152
76	163	150	143	114	151
77	162	148	118	153	150
78	161	147	142	151	112
79	160	143	141	150	149
80	159	121	139	149	122
81	158	119	126	148	120
82	157	118	125	147	119
83	156	149	124	146	118
84	115	396	122	118	116
85	114	189	121	152	115
86	113	308	338	397	114
87	112	281	311	40	124
88	170	350	383	18	399
89	395	253	155	3	376
90	173	156	157	164	162
91	172	155	156	163	161
92	171	111	154	162	160
93	169	154	113	111	159
94	178	152	153	161	167
95	168	151	151	159	158
96	166	117	148	158	156
97	165	115	145	157	155
98	111	114	120	156	154
99	109	113	117	155	153
100	108	153	116	115	113
101	107	395	152	113	111
102	106	193	396	160	110
103	167	266	388	394	157
104	394	385	327	295	398
105	184	167	168	171	169
106	182	166	167	170	168
107	181	165	166	168	166
108	180	164	164	169	165
109	179	162	163	166	103
110	177	161	162	165	164
111	176	160	161	112	109
112	175	159	160	110	108
113	174	158	159	109	107
114	105	157	158	167	106
115	104	112	115	393	105
116	103	110	112	33	163
117	101	109	111	344	397
118	393	171	108	257	330
119	258	389	352	342	344
120	192	176	177	179	182
121	191	175	176	178	180
122	189	174	175	177	179
123	188	173	174	176	178
124	95	172	173	103	177
125	187	102	180	175	99
126	186	170	172	173	176
127	185	168	170	172	174
128	102	108	169	108	172
129	99	107	110	106	170
130	98	106	107	105	104
131	97	105	106	174	102
132	391	104	105	392	101
133	234	169	171	252	175
134	360	235	395	54	396
135	91	99	182	99	189
136	92	100	181	100	188
137	94	103	97	101	187
138	96	177	179	102	186
139	193	178	104	104	92
140	195	179	103	180	185
141	196	180	102	181	183
142	197	181	101	182	100
143	198	182	100	183	98
144	199	183	99	184	97
145	200	184	178	185	96
146	201	185	394	186	94
147	202	96	379	187	184
148	88	274	389	390	394
149	390	386	392	250	306
150	84	94	96	93	198
151	85	95	98	94	197
152	86	97	183	95	196
153	87	186	184	96	195
154	89	187	185	97	88
155	203	188	186	188	392
156	204	190	188	190	93
157	205	192	189	191	91
158	206	194	190	193	90
159	207	195	191	194	89
160	209	92	192	195	190
161	210	254	193	196	340
162	211	359	94	197	320
163	83	356	393	92	356
164	389	76	385	389	328
165	77	384	89	87	82
166	79	89	91	89	84
167	81	90	92	90	85
168	82	91	93	91	87
169	212	93	95	198	193
170	213	196	194	200	199
171	216	197	195	201	200
172	217	198	196	202	201
173	218	199	197	203	202
174	219	200	198	204	203
175	220	201	199	207	205
176	221	202	200	208	206
177	222	203	201	209	207
178	78	88	90	88	83
179	388	204	390	387	390
180	59	82	83	81	76
181	72	84	85	83	77
182	74	85	87	84	79
183	75	86	88	85	81
184	76	87	203	86	208
185	223	205	204	210	209
186	225	206	205	211	210
187	227	207	206	212	211
188	228	208	207	213	212
189	229	209	208	214	213
190	230	210	209	215	74
191	231	83	84	82	389
192	232	383	387	385	326
193	73	40	254	305	323
194	387	305	350	336	387
195	67	77	78	76	68
196	244	221	79	225	223
197	68	78	80	77	69
198	70	80	81	79	72
199	71	81	82	80	73
200	233	212	210	216	75
201	235	213	211	217	214
202	236	214	212	218	215
203	237	215	213	219	217
204	239	216	215	220	218
205	241	217	216	221	219
206	242	218	219	222	220
207	69	219	386	223	221
208	386	79	349	78	71
209	308	382	357	384	388
210	61	71	71	69	62
211	62	229	72	71	63
212	252	72	384	234	64
213	63	75	74	72	65
214	65	220	75	74	66
215	66	222	76	75	222
216	243	223	218	224	224
217	245	224	220	226	225
218	246	225	221	227	226
219	247	226	223	228	227
220	248	227	224	229	228
221	249	73	225	230	229
222	250	381	226	231	232
223	64	342	227	73	385
224	385	2	260	382	362
225	55	64	65	63	55
226	56	65	66	65	57
227	58	67	56	66	58
228	384	238	67	243	242
229	251	68	69	67	59
230	253	70	70	68	61
231	254	228	73	233	230
232	256	230	228	236	233
233	257	231	229	237	234
234	259	232	230	238	235
235	260	233	231	239	236
236	261	234	232	240	238
237	262	236	68	241	240
238	255	69	336	381	60
239	46	380	382	314	384
240	50	59	59	57	50
241	51	60	60	58	51
242	270	61	61	59	52
243	54	62	62	60	53
244	53	63	242	260	54
245	263	237	64	61	241
246	264	239	234	242	243
247	265	241	235	245	244
248	266	242	236	246	245
249	267	243	237	247	246
250	268	244	238	251	247
251	60	245	239	254	248
252	383	247	240	255	249
253	48	379	233	62	382
254	47	252	378	379	383
