	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	100	126	394	396	335
31	61	301	335	350	333
32	346	236	153	379	185
33	196	243	65	397	116
34	355	320	385	380	385
35	295	220	340	344	272
36	170	334	384	382	170
37	395	156	389	341	325
38	398	244	177	338	328
39	104	54	391	385	320
40	396	351	382	335	342
41	191	277	351	394	390
42	59	290	255	352	395
43	169	130	18	398	101
44	388	193	94	349	339
45	13	61	325	6	362
46	308	257	349	197	375
47	334	386	247	18	365
48	86	362	128	296	392
49	12	305	388	347	391
50	206	160	133	308	396
51	79	346	244	290	364
52	219	184	249	292	374
53	165	304	253	305	266
54	70	64	8	299	287
55	224	325	80	297	4
56	137	379	21	391	376
57	367	230	254	307	338
58	276	295	88	295	397
59	360	352	252	294	363
60	43	231	89	212	359
61	34	274	188	257	300
62	330	80	148	209	351
63	161	284	354	188	343
64	331	384	206	348	264
65	46	309	143	80	357
66	309	40	294	118	386
67	215	336	272	111	354
68	294	307	110	165	276
69	50	302	297	185	345
70	250	223	376	104	253
71	311	198	342	196	399
72	386	194	305	53	347
73	389	132	336	278	356
74	214	3	43	156	292
75	47	171	357	395	382
76	377	253	275	339	388
77	281	291	99	261	337
78	65	365	100	337	151
79	112	140	350	342	324
80	226	204	381	244	322
81	29	345	308	340	383
82	185	385	299	387	332
83	148	350	379	336	327
84	87	303	353	247	55
85	152	157	303	172	398
86	163	47	293	260	321
87	193	151	346	300	334
88	322	30	301	271	387
89	316	392	137	301	323
90	77	125	311	140	92
91	363	391	120	276	100
92	391	22	136	234	279
93	17	353	0	155	111
94	133	65	45	93	366
95	91	142	337	66	140
96	381	397	140	255	10
97	182	13	126	207	249
98	33	343	155	194	90
99	173	49	149	298	53
100	44	252	339	30	99
101	277	27	108	365	269
102	1	87	150	92	377
103	5	395	51	190	16
104	11	261	47	220	27
105	337	210	352	177	340
106	167	52	307	245	220
107	358	280	386	351	290
108	159	254	138	134	159
109	261	93	181	252	286
110	102	123	304	120	246
111	25	216	334	49	22
112	307	344	395	390	256
113	19	296	338	87	261
114	49	73	284	239	318
115	157	258	392	384	234
116	89	25	125	227	208
117	24	331	139	331	179
118	68	299	17	258	123
119	248	381	291	84	137
120	54	264	256	217	190
121	270	271	248	353	23
122	304	371	251	1	30
123	272	228	246	314	244
124	314	166	263	86	355
125	247	57	262	334	271
126	9	137	151	152	162
127	184	45	257	100	353
128	96	76	33	141	265
129	129	389	390	311	18
130	269	69	189	393	336
131	255	15	97	150	344
132	274	196	362	289	207
133	283	367	116	381	250
134	280	335	67	386	289
135	339	246	258	17	350
136	62	256	190	159	89
137	16	263	173	128	367
138	2	251	264	117	109
139	266	262	245	20	120
140	124	116	393	204	308
141	344	28	179	318	303
142	384	374	319	67	331
143	284	398	93	21	133
144	258	294	160	171	241
145	220	342	296	291	154
146	253	124	28	228	373
147	375	238	313	304	94
148	364	221	169	218	291
149	369	318	363	309	160
150	383	154	22	193	394
151	72	99	66	323	245
152	382	369	378	129	8
153	301	187	102	191	135
154	40	360	192	280	176
155	8	186	331	106	239
156	55	181	397	97	74
157	117	9	70	201	370
158	372	183	270	284	380
159	287	162	326	99	192
160	176	173	344	389	193
161	351	192	167	9	381
162	252	176	226	47	368
163	41	313	156	198	43
164	244	327	49	267	317
165	352	359	101	14	1
166	268	356	152	82	25
167	106	111	111	151	349
168	325	96	225	96	310
169	279	265	290	3	248
170	15	8	280	28	209
171	58	281	40	242	389
172	289	212	166	2	14
173	30	129	124	170	93
174	39	91	38	74	348
175	228	199	345	75	11
176	335	66	220	48	263
177	53	4	360	0	270
178	210	308	300	162	15
179	345	5	387	180	172
180	97	189	142	306	273
181	99	155	68	237	6
182	83	10	359	65	222
183	140	322	380	169	138
184	257	226	228	68	104
185	385	7	204	327	369
186	394	90	309	272	5
187	349	70	370	285	33
188	288	396	332	54	217
189	128	51	81	208	230
190	218	237	318	303	119
191	164	229	112	133	65
192	380	26	327	160	76
193	82	43	210	173	226
194	69	324	302	36	63
195	119	224	371	251	203
196	21	370	398	262	282
197	48	109	271	263	37
198	292	316	266	246	48
199	23	170	172	256	326
200	85	206	54	148	242
201	302	159	261	270	316
202	305	33	230	176	129
203	63	338	132	321	214
204	22	75	71	216	329
205	160	34	74	202	258
206	267	110	184	85	38
207	108	169	199	315	148
208	171	311	212	362	341
209	216	247	117	163	262
210	320	382	209	367	361
211	327	337	366	226	204
212	186	104	146	8	44
213	155	39	82	137	103
214	88	255	211	58	164
215	177	225	185	94	378
216	350	245	96	124	212
217	200	67	196	32	301
218	36	259	64	147	278
219	181	114	103	50	393
220	303	128	183	102	211
221	123	177	9	222	201
222	211	83	104	149	156
223	299	267	92	143	150
224	195	378	75	378	298
225	217	20	324	138	88
226	92	218	323	11	306
227	362	92	162	142	97
228	149	55	292	132	112
229	230	95	279	23	219
230	67	127	176	363	46
231	207	17	86	221	9
232	116	36	273	33	132
233	229	56	135	135	166
234	60	219	84	332	47
235	109	323	129	366	352
236	172	147	171	211	117
237	243	138	396	213	146
238	328	270	367	236	147
239	154	108	10	76	131
240	264	68	1	157	157
241	174	273	260	5	143
242	187	97	141	109	184
243	122	317	15	52	69
244	371	361	180	122	199
245	101	326	69	275	202
246	31	332	276	273	36
247	162	333	239	372	294
248	199	112	55	38	114
249	365	200	52	55	57
250	76	1	341	95	251
251	342	266	170	101	130
252	166	131	119	203	66
253	0	161	168	103	128
254	192	242	193	25	293
