	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	65	164	160	99	226
31	134	69	164	164	164
32	7	263	133	233	296
33	42	105	328	329	9
34	267	204	233	137	298
35	266	144	105	268	108
36	138	369	205	303	112
37	78	306	174	144	305
38	113	81	209	369	82
39	339	84	82	82	115
40	147	214	21	115	179
41	214	153	246	49	153
42	88	186	375	56	58
43	153	347	56	57	91
44	251	287	91	186	254
45	132	128	64	159	32
46	36	129	290	382	262
47	169	6	68	106	7
48	362	200	292	138	168
49	235	138	358	236	104
50	364	106	198	378	204
51	82	109	169	209	332
52	343	175	14	242	206
53	380	271	83	371	13
54	185	370	147	275	211
55	218	216	117	278	249
56	92	249	311	314	219
57	125	187	314	251	220
58	382	92	157	158	285
59	286	254	286	63	63
60	225	195	354	320	352
61	195	228	99	354	97
62	388	90	66	162	225
63	323	70	102	133	162
64	294	169	40	104	280
65	326	265	137	169	42
66	105	142	266	330	11
67	10	15	271	298	12
68	300	176	283	366	78
69	13	53	211	174	61
70	114	118	23	211	148
71	85	154	154	344	84
72	216	284	347	380	125
73	89	317	124	61	152
74	154	286	221	318	93
75	193	385	260	96	160
76	291	258	389	321	130
77	229	100	262	258	100
78	41	389	263	69	324
79	398	261	296	390	328
80	367	137	297	294	138
81	272	330	170	74	43
82	273	10	299	300	364
83	337	365	141	396	395
84	179	366	47	270	207
85	276	397	277	80	273
86	277	340	120	276	180
87	280	308	249	245	345
88	283	188	28	30	381
89	255	350	255	351	190
90	96	280	256	290	96
91	163	353	0	132	8
92	356	67	312	325	361
93	261	356	70	262	362
94	359	262	42	263	75
95	136	391	364	73	367
96	43	359	239	299	337
97	108	76	335	267	370
98	177	246	379	269	81
99	369	310	248	114	181
100	244	312	345	274	341
101	375	58	251	52	22
102	152	251	125	246	120
103	313	120	350	25	382
104	252	94	223	123	383
105	161	352	69	256	192
106	98	121	390	386	384
107	166	327	231	291	386
108	102	328	250	71	387
109	327	14	236	201	389
110	236	335	336	394	391
111	109	242	338	297	393
112	334	149	148	301	201
113	79	182	212	304	394
114	176	279	344	17	169
115	219	150	57	179	244
116	274	57	346	340	213
117	123	158	380	88	374
118	222	311	184	27	284
119	191	62	351	381	318
120	288	224	192	257	0
121	289	165	193	100	1
122	2	360	194	4	33
123	227	332	67	5	228
124	258	17	196	200	357
125	386	114	97	75	133
126	330	273	162	28	229
127	331	148	139	207	139
128	172	209	397	277	15
129	365	309	18	374	276
130	270	215	252	376	87
131	16	85	181	347	185
132	119	377	121	220	123
133	58	152	60	94	252
134	60	93	159	383	159
135	352	96	1	313	322
136	34	194	2	393	197
137	319	66	100	331	270
138	186	4	229	203	143
139	137	5	230	397	335
140	139	104	293	398	366
141	140	203	136	171	339
142	241	367	360	272	212
143	212	177	235	146	342
144	309	210	111	86	151
145	248	54	304	184	376
146	90	184	243	217	377
147	157	59	94	379	378
148	184	29	156	284	349
149	223	127	254	157	375
150	226	289	65	289	320
151	196	226	291	194	388
152	292	227	228	324	292
153	100	65	5	389	261
154	295	230	227	6	359
155	104	295	326	326	300
156	328	8	362	8	109
157	40	299	171	261	176
158	203	44	10	170	368
159	45	333	365	395	114
160	46	303	210	295	52
161	49	16	307	307	373
162	53	272	244	84	246
163	342	91	374	244	253
164	91	223	54	125	31
165	290	33	3	292	66
166	228	2	325	165	291
167	200	387	261	296	195
168	73	206	391	142	390
169	250	238	394	335	329
170	173	110	140	336	10
171	115	145	396	337	363
172	86	178	398	338	333
173	215	337	177	210	334
174	344	371	337	308	303
175	377	51	308	341	336
176	346	372	342	118	18
177	315	245	22	315	307
178	188	87	152	155	55
179	94	218	349	350	30
180	0	193	385	352	65
181	159	131	225	353	321
182	322	260	6	34	323
183	324	99	395	134	325
184	325	38	332	281	326
185	390	7	12	40	327
186	351	199	43	9	392
187	389	170	146	345	330
188	175	395	20	327	331
189	124	362	341	172	396
190	81	301	309	204	397
191	20	49	180	334	398
192	340	86	59	148	306
193	316	219	381	149	150
194	287	319	383	89	380
195	33	64	129	135	288
196	133	386	357	41	354
197	37	264	294	363	355
198	391	396	201	237	268
199	394	174	138	78	140
200	142	111	76	239	45
201	303	336	367	113	340
202	50	338	176	311	343
203	181	343	49	342	344
204	150	344	242	279	250
205	311	346	276	185	347
206	253	155	55	26	348
207	187	380	150	60	222
208	317	157	247	349	350
209	158	351	188	223	351
210	256	323	33	97	256
211	129	36	387	255	102
212	262	102	388	260	200
213	263	72	392	3	264
214	358	73	206	196	74
215	38	42	238	44	365
216	199	75	92	47	302
217	48	364	371	273	174
218	210	234	372	53	241
219	220	13	284	150	117
220	180	143	151	247	217
221	182	181	218	250	186
222	246	375	316	252	251
223	279	313	93	254	28
224	29	220	127	191	255
225	224	192	96	288	289
226	162	89	386	67	163
227	355	162	4	323	69
228	72	384	36	230	6
229	201	68	101	103	5
230	170	196	103	76	203
231	171	294	264	141	236
232	111	334	75	51	77
233	211	82	11	180	274
234	275	342	13	182	85
235	371	24	80	215	57
236	22	345	275	346	59
237	372	27	116	219	124
238	345	124	51	156	189
239	61	63	88	190	94
240	320	290	257	0	161
241	192	354	382	129	4
242	384	198	7	36	356
243	70	231	71	167	68
244	71	40	234	139	134
245	8	297	108	140	105
246	395	202	366	13	233
247	12	235	79	367	269
248	206	140	208	372	240
249	370	43	273	373	272
250	116	212	119	213	245
251	245	378	122	117	247
252	217	379	348	152	312
253	284	156	61	188	218
254	383	189	62	285	379
