	kfold1	kfold2	kfold3	kfold4	kfold5
0	6	0	19	10	3
1	14	11	24	15	20
2	26	18	29	22	26
3	52	41	30	43	41
4	57	48	31	45	56
5	80	74	35	64	67
6	93	98	37	70	70
7	110	101	44	98	80
8	126	133	46	107	86
9	127	139	48	116	95
10	130	163	63	119	121
11	143	191	77	126	136
12	183	211	109	136	171
13	190	240	114	189	173
14	194	248	123	192	191
15	208	250	165	199	194
16	238	275	187	205	216
17	240	276	202	206	231
18	271	283	214	232	237
19	278	288	217	235	257
20	293	293	222	248	259
21	318	300	259	249	283
22	332	339	274	253	309
23	333	349	282	259	313
24	353	358	289	266	315
25	374	373	295	293	346
26	378	376	298	328	358
27	379	388	321	358	360
28	392	390	322	360	371
29	397	394	333	388	372
30	71	342	105	240	312
31	309	244	149	246	36
32	72	32	159	67	235
33	346	100	2	47	357
34	227	17	86	111	129
35	59	334	235	336	53
36	92	313	300	125	222
37	239	62	207	279	282
38	205	375	342	267	206
39	82	397	316	86	308
40	33	201	179	213	205
41	231	197	75	68	78
42	162	270	383	60	369
43	77	323	287	323	160
44	250	34	346	254	97
45	216	223	269	50	361
46	20	302	379	54	271
47	316	314	89	273	318
48	354	379	357	272	307
49	174	79	349	386	274
50	53	132	273	164	14
51	171	368	380	330	43
52	314	309	204	53	190
53	296	209	94	75	48
54	196	154	319	352	184
55	335	382	81	208	5
56	170	107	11	378	268
57	203	86	8	36	260
58	75	94	376	183	340
59	244	398	64	21	88
60	40	212	158	390	168
61	138	131	244	146	324
62	158	3	97	294	125
63	48	178	325	221	44
64	37	106	310	349	135
65	15	50	345	211	7
66	200	236	299	225	187
67	260	367	197	263	25
68	247	366	58	226	57
69	292	137	170	379	93
70	29	383	39	23	197
71	74	53	117	90	102
72	73	116	254	393	60
73	133	221	50	188	304
74	369	238	164	35	242
75	274	140	59	152	265
76	209	292	370	55	303
77	297	234	336	281	118
78	294	337	104	218	390
79	65	389	377	320	64
80	123	219	246	346	328
81	103	75	208	316	320
82	105	55	313	298	332
83	45	264	101	384	165
84	241	33	182	230	161
85	249	360	391	389	239
86	299	386	99	91	388
87	101	126	27	387	221
88	349	378	327	106	341
89	163	268	396	301	10
90	151	192	55	39	50
91	367	183	237	185	350
92	83	384	279	41	349
93	97	303	183	121	203
94	211	156	33	261	100
95	324	67	186	69	278
96	58	295	72	361	123
97	177	370	36	83	133
98	270	104	190	122	202
99	212	231	107	123	314
100	91	273	167	319	186
101	90	299	177	207	316
102	358	205	284	372	336
103	54	45	338	155	208
104	317	290	210	129	337
105	283	280	95	17	151
106	251	195	175	138	232
107	108	265	367	12	158
108	169	21	304	80	247
109	343	294	84	286	382
110	269	145	74	217	61
111	23	129	54	103	76
112	66	194	213	345	0
113	122	155	365	181	249
114	281	286	138	158	393
115	68	241	267	34	323
116	199	29	184	227	252
117	145	206	155	247	150
118	229	237	0	354	305
119	337	267	6	268	381
120	383	125	251	214	140
121	49	28	265	24	105
122	237	23	206	113	335
123	144	278	249	353	391
124	348	5	34	59	339
125	287	189	199	274	227
126	173	319	238	76	329
127	356	81	211	373	365
128	78	138	226	385	157
129	0	344	3	193	141
130	148	110	53	87	345
131	120	2	17	97	193
132	87	9	174	32	325
133	67	338	87	85	42
134	254	247	352	257	347
135	361	326	293	163	289
136	114	88	146	72	152
137	366	246	248	224	394
138	189	269	69	245	243
139	56	175	160	238	327
140	289	12	25	374	277
141	19	317	386	131	255
142	9	187	375	344	134
143	152	90	60	280	40
144	338	127	320	201	55
145	63	19	90	229	39
146	215	26	311	148	344
147	112	13	130	313	254
148	298	232	80	234	147
149	266	59	134	18	75
150	275	118	221	166	366
151	223	258	276	175	8
152	372	176	16	171	245
153	228	254	266	210	236
154	305	308	65	331	46
155	350	259	41	130	375
156	25	359	382	5	146
157	393	68	306	168	299
158	272	14	139	99	65
159	286	95	328	383	47
160	351	6	302	156	34
161	121	73	40	182	288
162	43	369	21	112	379
163	176	51	314	29	296
164	319	61	220	176	230
165	140	124	392	92	15
166	245	387	157	161	290
167	201	92	263	16	386
168	364	203	286	291	281
169	188	77	258	243	363
170	13	136	200	339	107
171	99	142	268	348	71
172	387	239	233	110	399
173	225	284	330	108	262
174	55	228	227	377	367
175	168	215	124	100	38
176	291	80	91	282	122
177	280	193	395	292	28
178	86	251	1	236	272
179	94	263	20	359	167
180	277	214	240	8	27
181	150	271	229	160	54
182	115	200	397	137	117
183	345	217	142	371	362
184	38	159	294	11	201
185	180	202	354	154	87
186	263	83	14	341	166
187	284	331	368	222	114
188	262	362	195	271	98
189	359	54	209	310	103
190	381	279	245	134	182
191	213	39	362	172	52
192	371	210	61	84	244
193	326	207	166	14	225
194	342	325	228	275	293
195	44	49	85	269	374
196	256	235	133	179	246
197	30	392	308	159	189
198	390	170	369	392	19
199	265	213	201	364	66
200	236	316	5	242	72
201	116	114	371	30	226
202	34	179	129	302	174
203	331	119	219	150	359
204	328	380	355	367	156
205	304	63	291	124	310
206	157	103	301	289	104
207	39	291	373	197	37
208	32	324	332	42	351
209	370	204	215	252	287
210	42	356	156	151	85
211	61	65	198	278	384
212	232	30	42	133	220
213	149	393	56	65	179
214	195	182	307	307	279
215	184	24	171	132	321
216	339	174	88	57	294
217	62	185	283	198	300
218	206	377	180	396	91
219	214	111	344	305	110
220	235	245	318	297	83
221	146	1	10	141	142
222	76	365	356	219	17
223	85	289	9	114	269
224	395	218	120	324	284
225	352	71	277	351	68
226	344	121	359	366	396
227	125	311	388	180	45
228	137	336	49	350	264
229	2	56	292	3	144
230	330	141	326	228	306
231	179	249	360	368	82
232	46	164	225	0	59
233	141	82	361	382	30
234	129	172	103	334	373
235	224	257	366	340	9
236	391	40	394	306	295
237	384	151	351	46	204
238	134	117	67	237	233
239	166	345	131	317	302
240	285	69	193	38	212
241	340	78	161	79	209
242	329	321	162	167	84
243	220	70	260	27	183
244	154	198	113	187	119
245	109	152	378	73	155
246	315	15	32	178	175
247	325	371	173	255	49
248	363	20	108	184	383
249	210	364	363	140	228
250	21	122	110	264	94
251	380	162	168	376	356
252	207	87	343	287	334
253	4	262	312	71	139
254	320	135	216	96	148
