	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	38	12	3
1	3	12	40	20	5
2	5	17	47	31	6
3	9	22	49	38	8
4	13	29	50	44	17
5	18	37	59	59	24
6	22	46	60	64	35
7	23	82	61	65	41
8	29	90	63	73	42
9	47	91	64	87	44
10	53	95	71	88	52
11	58	96	74	91	55
12	66	99	79	99	56
13	67	119	83	110	64
14	73	122	88	116	70
15	104	141	92	129	82
16	115	149	96	138	85
17	129	173	99	140	86
18	135	193	105	145	89
19	142	197	120	151	95
20	149	198	126	153	104
21	160	200	136	162	113
22	163	201	147	196	114
23	169	202	154	197	124
24	170	203	155	198	135
25	180	205	168	202	136
26	185	214	184	212	141
27	186	228	185	214	142
28	189	250	192	225	148
29	201	256	210	232	152
30	203	267	219	239	160
31	209	271	226	240	172
32	214	274	228	249	173
33	220	279	246	253	176
34	221	298	249	264	190
35	252	311	254	273	196
36	255	313	294	291	202
37	261	319	296	292	204
38	262	327	306	302	207
39	270	340	307	316	209
40	286	343	315	321	214
41	296	365	321	346	229
42	305	369	331	352	242
43	308	370	350	364	243
44	313	382	351	365	273
45	317	388	370	379	274
46	321	419	374	384	276
47	323	423	381	386	287
48	339	434	404	388	298
49	346	440	406	395	338
50	363	455	428	399	342
51	366	481	429	410	346
52	367	495	431	412	349
53	369	496	434	417	382
54	374	498	437	436	387
55	380	500	444	455	388
56	385	512	459	464	392
57	389	515	464	467	406
58	392	527	476	470	407
59	398	534	500	485	421
60	413	537	506	496	430
61	417	551	508	499	431
62	424	552	519	500	432
63	428	566	524	506	434
64	455	571	537	509	462
65	463	576	544	515	474
66	476	587	548	518	503
67	480	589	553	519	508
68	483	600	560	522	512
69	492	602	564	529	514
70	542	603	570	532	518
71	552	611	571	541	550
72	556	616	573	544	552
73	562	622	577	552	567
74	587	624	579	558	568
75	592	633	584	570	586
76	600	635	586	586	589
77	610	648	588	592	592
78	617	650	590	595	593
79	632	660	595	598	604
80	637	663	596	615	611
81	638	671	599	621	619
82	640	678	623	635	620
83	664	687	633	638	623
84	667	694	642	657	627
85	694	698	645	659	631
86	707	702	654	665	654
87	713	714	666	672	690
88	723	716	684	676	692
89	724	717	696	678	699
90	746	746	698	706	704
91	748	747	715	707	716
92	751	752	729	717	720
93	757	761	733	718	725
94	759	768	756	721	733
95	766	771	757	730	742
96	771	775	768	739	743
97	789	777	783	743	745
98	794	780	790	762	796
99	795	791	794	780	799
100	622	326	24	95	475
101	297	322	709	791	781
102	216	670	95	37	671
103	51	479	671	318	642
104	557	11	646	42	28
105	181	191	454	299	363
106	375	351	740	424	15
107	315	715	792	370	355
108	590	788	253	781	318
109	187	710	761	557	389
110	154	786	581	414	377
111	0	53	758	330	762
112	44	544	749	601	584
113	70	42	716	219	232
114	10	546	106	41	88
115	45	130	409	578	350
116	71	465	320	775	411
117	364	324	762	713	120
118	573	583	328	756	163
119	560	246	73	74	493
120	267	769	774	593	368
121	268	391	287	793	436
122	331	269	474	768	107
123	779	104	41	411	253
124	404	707	618	415	643
125	21	362	656	43	118
126	533	726	66	451	239
127	329	232	408	81	366
128	758	524	179	700	262
129	493	277	160	487	286
130	55	467	473	563	334
131	776	772	20	349	442
132	535	509	449	772	110
133	449	473	51	476	317
134	338	506	349	160	146
135	532	406	272	406	256
136	670	302	576	774	63
137	328	194	12	782	228
138	791	535	298	538	154
139	118	363	736	263	352
140	225	394	368	191	112
141	192	741	266	279	562
142	742	359	297	400	540
143	437	266	539	189	295
144	219	75	591	165	792
145	545	145	118	446	47
146	519	538	152	276	495
147	621	180	151	68	687
148	400	794	352	778	767
149	506	725	112	493	477
150	646	399	630	628	320
151	445	320	782	169	472
152	599	56	256	489	244
153	498	217	109	732	425
154	386	299	319	216	117
155	512	645	144	372	94
156	574	346	55	643	798
157	676	128	255	531	268
158	690	140	121	166	770
159	250	264	229	490	328
160	499	54	119	556	91
161	769	338	353	17	506
162	561	731	486	786	695
163	136	643	274	339	689
164	654	224	400	422	678
165	448	704	510	445	684
166	731	254	189	71	679
167	249	525	534	118	696
168	655	4	603	472	197
169	523	155	209	634	140
170	57	291	773	687	87
171	514	529	722	521	422
172	442	213	52	256	72
173	735	384	561	697	37
174	332	590	124	561	452
175	453	190	396	137	675
176	233	1	779	13	428
177	4	732	471	670	701
178	767	456	708	477	585
179	470	335	644	32	208
180	686	349	509	5	638
181	631	615	776	710	182
182	368	743	697	260	51
183	405	651	498	27	321
184	513	475	578	649	155
185	597	763	433	241	461
186	155	154	485	568	285
187	307	421	285	70	369
188	792	398	186	614	686
189	594	463	122	425	380
190	30	427	766	63	731
191	772	436	354	596	423
192	500	505	461	300	259
193	764	292	356	559	519
194	306	177	261	287	158
195	673	306	771	176	261
196	276	744	235	545	657
197	43	3	54	564	531
198	344	476	604	121	437
199	370	767	344	350	246
200	16	58	610	320	772
201	81	770	329	585	524
202	780	123	258	345	555
203	336	339	558	456	0
204	645	36	4	7	225
205	482	759	643	50	483
206	237	147	34	46	263
207	284	625	737	103	429
208	174	52	741	26	577
209	497	342	686	269	354
210	147	521	738	622	791
211	708	8	206	653	578
212	143	418	393	226	330
213	14	372	647	389	297
214	391	561	753	645	609
215	475	689	102	356	575
216	439	344	689	530	751
217	466	559	631	327	571
218	486	34	620	474	732
219	605	477	417	72	499
220	6	528	39	590	12
221	425	690	538	33	211
222	699	503	688	798	181
223	371	693	104	770	587
224	511	679	706	228	65
225	244	680	635	569	559
226	715	697	225	376	175
227	224	686	480	437	391
228	755	695	670	1	361
229	563	92	223	114	481
230	565	196	732	206	81
231	82	332	279	383	290
232	309	20	212	722	646
233	333	143	264	764	628
234	659	733	667	511	400
235	569	756	529	480	755
236	440	636	301	423	23
237	657	63	526	650	708
238	373	367	397	10	365
239	102	737	784	618	26
240	529	692	704	469	738
241	675	355	388	498	367
242	625	570	177	187	397
243	734	666	639	338	343
244	25	748	602	418	145
245	222	356	504	783	185
246	559	742	28	353	449
247	682	523	30	158	784
248	527	758	659	646	569
249	243	755	48	102	740
250	785	734	739	377	545
251	302	735	472	135	703
252	593	563	552	734	327
253	651	27	755	705	771
254	173	585	460	185	470
255	787	708	22	733	768
256	158	247	243	100	492
257	495	578	636	4	20
258	144	2	299	375	463
259	231	245	137	211	233
260	642	117	668	738	426
261	661	404	87	754	685
262	341	389	375	483	395
263	359	458	81	49	345
264	671	236	251	288	167
265	674	102	516	106	277
266	447	218	165	392	570
267	32	401	615	235	200
268	238	565	360	84	535
269	131	334	657	183	445
270	658	392	690	616	360
271	40	783	91	459	520
272	521	554	499	55	719
273	457	677	694	242	30
274	781	85	685	380	734
275	256	347	679	77	191
276	703	374	678	731	357
277	248	19	517	238	14
278	649	280	531	186	106
279	537	612	559	362	497
280	390	691	795	308	572
281	580	550	653	398	639
282	199	45	357	494	76
283	738	719	759	576	84
284	24	86	478	163	647
285	76	158	734	491	341
286	179	412	622	223	353
287	635	543	181	504	500
288	528	174	32	686	629
289	285	674	0	51	666
290	65	773	453	405	484
291	98	285	452	259	144
292	722	474	78	749	617
293	303	545	785	15	655
294	217	323	491	170	267
295	566	151	677	759	525
296	619	519	778	296	509
297	741	69	36	642	371
298	362	380	390	120	682
299	41	787	702	540	201
300	577	81	691	67	53
301	774	688	80	83	564
302	351	229	791	396	61
303	777	49	683	737	565
304	579	784	493	270	143
305	112	396	744	207	759
306	278	260	488	286	105
307	236	431	221	243	677
308	790	760	705	626	16
309	277	176	649	551	614
310	384	16	770	735	375
311	168	700	257	360	737
312	614	620	273	524	542
313	196	9	227	534	670
314	564	655	747	195	556
315	232	485	244	224	778
316	330	676	234	24	676
317	184	333	215	685	248
318	653	555	183	438	150
319	241	146	380	608	782
320	347	424	238	701	186
321	419	457	487	9	664
322	783	684	530	105	547
323	609	253	442	744	189
324	62	647	674	143	80
325	650	165	127	355	735
326	629	221	582	760	237
327	376	604	345	766	529
328	177	649	511	30	157
329	334	161	75	674	579
330	242	409	721	702	672
331	141	658	188	78	381
332	507	627	37	648	730
333	683	720	77	508	57
334	678	105	9	671	217
335	88	669	661	715	116
336	90	25	503	703	707
337	696	646	142	799	289
338	691	208	16	157	613
339	688	572	369	712	359
340	677	48	366	227	348
341	299	283	594	741	337
342	729	118	128	784	795
343	138	433	15	698	455
344	606	706	140	80	560
345	273	55	282	154	557
346	153	352	412	371	573
347	604	712	427	141	29
348	558	275	799	761	752
349	430	478	760	199	420
350	616	442	132	454	31
351	431	513	710	111	4
352	571	581	114	326	68
353	293	560	27	378	77
354	473	641	326	150	739
355	641	441	332	431	688
356	245	199	469	131	546
357	796	310	764	284	59
358	702	685	568	513	19
359	539	454	522	146	128
360	139	296	743	161	78
361	652	489	342	404	457
362	567	610	167	481	221
363	272	162	567	156	1
364	611	736	232	69	705
365	79	785	436	307	651
366	264	729	169	236	632
367	568	244	25	473	427
368	765	664	624	679	40
369	705	13	385	689	561
370	749	514	69	684	119
371	628	638	58	677	97
372	550	39	359	683	396
373	59	531	103	693	67
374	601	575	699	90	533
375	406	492	56	193	515
376	146	77	141	795	278
377	39	135	13	776	440
378	656	711	340	401	69
379	461	631	156	11	753
380	183	387	502	366	199
381	17	210	231	130	698
382	701	797	787	419	245
383	549	74	421	692	697
384	504	739	193	587	466
385	92	286	420	148	774
386	685	65	161	246	644
387	712	613	19	771	713
388	379	466	21	413	554
389	208	109	330	182	649
390	730	156	214	357	58
391	750	87	93	432	786
392	162	166	178	719	121
393	96	390	101	708	478
394	438	630	557	402	790
395	80	361	687	289	747
396	706	556	554	444	780
397	226	699	46	746	626
398	68	426	542	222	73
399	595	781	65	334	469
400	459	181	97	584	414
401	105	115	175	117	680
402	295	97	358	358	413
403	27	661	293	572	38
404	477	76	288	752	236
405	60	160	334	433	264
406	294	609	693	282	595
407	736	754	176	234	326
408	416	795	607	104	180
409	335	62	143	629	582
410	524	553	171	23	322
411	159	507	546	278	45
412	698	407	265	542	659
413	434	216	367	261	489
414	695	231	411	58	456
415	607	192	305	699	558
416	204	284	628	329	727
417	161	164	569	580	331
418	356	422	650	188	777
419	282	172	681	178	178
420	469	464	525	203	750
421	733	125	426	450	668
422	210	304	197	704	563
423	630	642	651	577	32
424	12	429	308	21	169
425	377	799	796	640	133
426	582	443	742	317	748
427	352	410	676	271	305
428	719	182	589	28	433
429	202	303	780	466	702
430	603	614	574	403	797
431	591	120	387	40	658
432	598	47	730	655	280
433	773	222	125	606	648
434	172	88	384	159	663
435	668	472	467	630	721
436	647	703	191	112	640
437	462	653	309	172	161
438	103	106	458	344	763
439	415	167	418	555	769
440	662	28	213	526	299
441	775	237	172	457	62
442	618	71	187	796	435
443	288	331	116	633	610
444	754	718	336	420	487
445	747	61	443	461	93
446	788	667	611	434	333
447	778	730	430	617	329
448	205	728	438	167	206
449	740	705	252	562	399
450	534	240	713	275	476
451	768	288	462	794	302
452	709	80	260	280	139
453	753	668	422	155	417
454	54	639	318	429	612
455	125	103	327	757	598
456	739	753	665	290	409
457	280	101	199	788	138
458	349	796	641	543	757
459	732	183	629	574	164
460	7	447	222	604	526
461	287	293	203	602	223
462	19	70	395	19	594
463	547	542	180	267	296
464	123	435	322	460	683
465	50	175	139	478	635
466	510	740	797	98	83
467	554	584	465	751	650
468	710	599	495	304	300
469	784	484	281	152	548
470	33	510	518	229	177
471	672	682	439	636	103
472	372	579	267	748	231
473	648	573	278	301	636
474	451	295	204	773	403
475	2	178	625	611	618
476	665	601	703	723	227
477	639	582	541	303	736
478	101	294	612	725	521
479	458	169	131	144	479
480	150	127	5	62	779
481	643	727	18	553	444
482	575	243	11	750	624
483	517	385	735	325	460
484	692	567	514	435	252
485	570	444	146	252	316
486	644	789	217	108	536
487	530	713	289	262	13
488	721	594	446	664	633
489	34	644	153	443	255
490	429	790	198	682	79
491	116	654	157	201	451
492	615	709	700	190	168
493	799	309	164	539	630
494	770	547	89	122	549
495	502	301	236	97	2
496	717	21	196	696	269
497	697	189	724	306	324
498	292	577	572	56	760
499	325	215	85	305	539
500	509	336	224	119	441
501	355	562	158	740	667
502	761	261	613	66	793
503	716	779	364	632	724
