	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	206	61	775	409	190
101	522	427	686	531	870
102	512	422	660	434	386
103	484	265	762	716	156
104	552	284	624	748	521
105	595	137	909	997	171
106	176	88	483	375	618
107	505	580	544	783	420
108	158	650	343	981	128
109	496	530	196	703	137
110	246	305	368	724	338
111	622	534	584	760	316
112	461	529	268	238	755
113	637	419	493	632	715
114	439	439	757	530	1
115	836	219	504	784	302
116	395	308	131	215	712
117	124	42	808	35	0
118	91	475	807	846	968
119	97	189	658	991	369
120	338	436	734	780	25
121	193	216	367	226	989
122	114	567	875	307	289
123	722	25	63	354	262
124	136	195	933	425	530
125	864	153	534	674	512
126	567	67	926	449	951
127	610	719	673	877	500
128	173	311	178	726	61
129	387	961	661	601	215
130	870	213	730	162	411
131	874	431	137	930	552
132	195	234	151	966	290
133	656	359	778	880	28
134	109	595	641	819	425
135	342	91	36	391	939
136	309	268	224	984	821
137	431	192	593	624	439
138	440	55	791	478	82
139	331	158	280	316	203
140	574	490	642	244	546
141	401	482	865	870	463
142	22	506	779	46	427
143	38	670	930	524	345
144	16	694	247	740	122
145	4	171	365	826	639
146	398	434	681	650	125
147	435	62	726	482	703
148	837	435	638	333	634
149	383	536	796	591	740
150	847	487	955	828	496
151	307	472	672	605	770
152	204	401	92	801	178
153	443	968	959	725	625
154	154	494	598	86	395
155	244	622	242	621	4
156	214	190	301	865	517
157	411	302	316	852	333
158	394	19	856	257	705
159	540	950	920	474	63
160	275	407	372	921	809
161	406	739	614	217	615
162	186	324	553	201	443
163	232	161	668	487	431
164	284	136	536	203	814
165	153	406	792	34	374
166	113	262	797	615	375
167	525	410	630	982	826
168	55	677	249	625	103
169	482	481	420	481	360
170	125	275	543	155	451
171	81	499	674	128	983
172	817	398	323	611	296
173	884	101	360	82	505
174	549	605	754	810	461
175	467	291	165	19	429
176	101	853	785	968	693
177	31	681	318	770	213
178	300	106	946	514	622
179	103	229	42	50	436
180	639	29	176	951	857
181	325	206	349	926	307
182	223	777	684	777	10
183	227	56	788	948	961
184	609	505	118	672	836
185	558	270	769	456	480
186	455	295	560	452	877
187	569	440	198	297	187
188	216	102	559	969	337
189	75	569	229	994	32
190	311	358	90	915	724
191	159	607	398	8	150
192	427	90	310	670	364
193	859	72	653	821	275
194	880	470	689	342	42
195	625	150	494	944	423
196	659	128	65	744	789
197	174	217	458	823	257
198	322	356	555	510	176
199	415	497	827	739	138
200	988	277	161	212	315
201	760	619	577	772	524
202	974	303	244	761	151
203	737	178	136	229	344
204	647	584	737	717	457
205	748	230	974	256	40
206	165	151	558	973	641
207	768	350	386	121	853
208	271	865	348	945	327
209	725	278	476	765	595
210	801	582	214	594	738
211	716	227	205	30	665
212	703	182	396	911	657
213	316	662	589	597	36
214	821	579	240	381	653
215	780	458	430	508	673
216	903	92	448	908	186
217	677	547	91	903	636
218	354	155	339	563	393
219	779	388	373	42	465
220	724	552	699	598	86
221	660	27	332	630	50
222	714	659	999	397	935
223	984	466	407	39	662
224	654	322	852	208	310
225	442	614	498	936	525
226	930	508	358	241	321
227	655	433	114	781	192
228	969	200	475	198	16
229	636	629	877	599	237
230	539	511	574	515	954
231	767	384	24	885	845
232	685	608	610	62	536
233	617	665	771	166	785
234	845	467	171	114	282
235	986	307	522	782	506
236	368	341	951	830	400
237	785	202	595	602	340
238	745	255	128	235	382
239	966	488	944	41	674
240	985	253	410	606	182
241	524	437	183	959	545
242	852	288	158	638	326
243	839	252	273	479	479
244	980	199	932	504	527
245	60	669	768	349	557
246	385	140	35	53	485
247	238	310	314	681	278
248	593	144	988	410	583
249	983	159	474	657	446
250	681	379	385	697	472
251	746	179	168	987	914
252	918	141	327	60	319
253	975	733	842	92	865
254	720	533	462	175	160
255	776	226	990	788	535
256	318	972	429	419	120
257	339	408	452	415	121
258	163	651	415	673	26
259	777	59	620	253	170
260	635	60	370	756	499
261	560	414	625	556	466
262	251	880	794	785	501
263	641	176	846	640	513
264	915	133	328	562	373
265	579	583	657	759	484
266	665	449	234	710	305
267	551	166	677	878	124
268	620	877	31	287	663
269	816	315	341	993	498
270	910	606	702	179	448
271	794	347	213	206	211
272	924	57	803	804	854
273	730	50	750	905	46
274	304	97	680	441	930
275	64	545	670	902	227
276	589	337	747	463	549
277	147	598	777	706	449
278	118	87	169	14	390
279	511	100	250	513	629
280	971	276	552	728	503
281	220	142	203	503	445
282	40	293	173	131	401
283	775	124	601	264	944
284	893	63	355	889	301
285	728	149	650	367	210
286	634	248	984	559	561
287	577	14	207	183	75
288	646	363	320	495	550
289	375	649	837	293	670
290	991	553	652	184	544
291	795	266	391	157	94
292	942	118	81	332	67
293	286	917	417	700	666
294	510	514	824	11	154
295	778	113	693	486	404
296	999	822	592	143	14
297	671	7	86	54	658
298	713	40	333	629	246
299	612	404	106	98	324
300	596	372	885	102	260
301	502	411	844	475	430
302	521	201	596	396	240
303	8	377	617	136	990
304	694	354	352	101	801
305	603	360	18	119	762
306	56	352	186	567	563
307	666	672	45	542	773
308	672	801	655	421	235
309	973	524	654	500	974
310	582	279	330	427	991
311	642	593	663	347	381
312	932	661	793	970	335
313	151	415	381	77	988
314	142	258	50	156	924
315	573	653	145	539	761
316	458	618	669	314	660
317	599	601	733	671	892
318	752	501	935	352	318
319	892	448	643	569	368
320	807	660	465	800	385
321	702	385	715	685	655
322	404	539	717	607	573
323	520	864	434	747	908
324	503	457	184	407	49
325	842	845	839	669	969
326	285	285	466	872	699
327	814	521	766	418	585
328	584	425	604	664	556
329	102	643	833	56	702
330	78	760	623	737	893
331	658	75	262	974	848
332	712	753	565	560	669
333	133	103	770	453	685
334	226	770	883	693	791
335	6	184	612	617	735
336	838	527	509	659	606
337	80	734	605	330	796
338	912	503	306	536	998
339	871	688	34	295	726
340	335	52	288	21	987
341	592	725	714	764	502
342	334	656	666	161	687
343	18	589	936	334	617
344	62	513	853	641	623
345	506	793	812	695	766
346	352	932	454	702	590
347	248	948	826	752	671
348	45	36	451	505	733
349	326	198	8	355	695
350	237	675	266	753	603
351	601	484	525	762	62
352	135	500	382	754	220
353	348	210	892	458	244
354	844	981	197	328	328
355	155	387	615	701	621
356	230	769	795	735	883
357	941	850	579	767	824
358	929	803	675	678	889
359	462	790	172	525	887
360	402	232	513	446	804
361	77	33	76	824	168
362	970	131	821	568	757
363	235	121	286	294	774
364	274	196	400	537	77
365	420	779	103	942	667
366	755	528	568	414	709
367	895	24	708	886	271
368	690	297	26	653	933
369	282	676	585	306	191
370	54	445	741	285	936
371	585	393	646	547	750
372	570	551	140	609	175
373	293	412	122	929	731
374	162	664	508	188	710
375	434	627	704	958	39
376	333	68	425	558	559
377	662	212	561	262	786
378	52	443	540	447	254
379	408	873	869	719	856
380	565	848	482	655	942
381	661	332	873	310	294
382	312	755	550	845	421
383	813	294	48	378	743
384	911	452	38	178	515
385	356	370	782	675	396
386	652	146	983	127	711
387	882	596	753	26	287
388	454	112	308	305	753
389	566	542	379	164	904
390	438	89	784	745	543
391	490	685	124	731	851
392	872	193	344	31	127
393	710	98	907	374	842
394	578	486	814	450	225
395	938	208	629	711	454
396	676	537	783	214	782
397	701	329	531	255	682
398	763	741	851	501	649
399	215	129	98	225	787
400	240	240	676	848	504
401	430	430	564	261	441
402	2	49	745	774	64
403	79	381	457	79	406
404	396	260	569	289	592
405	957	776	191	239	531
406	471	744	633	603	285
407	879	603	667	55	541
408	391	687	878	564	377
409	192	438	541	511	134
410	148	980	16	584	612
411	541	563	375	758	754
412	562	590	421	340	249
413	708	735	423	496	76
414	542	235	401	779	483
415	632	531	239	708	164
416	99	185	230	338	912
417	928	852	599	80	167
418	239	271	377	667	610
419	734	768	924	6	815
420	674	53	157	493	818
421	500	334	347	694	650
422	327	65	772	643	928
423	550	708	282	532	80
424	611	718	44	37	582
425	700	904	170	377	239
426	141	912	438	186	408
427	519	911	929	707	764
428	294	631	774	273	696
429	803	519	900	223	633
430	729	10	849	18	875
431	441	2	651	892	554
432	588	162	387	170	391
433	76	1	576	13	145
434	860	893	868	565	572
435	267	686	290	614	558
436	764	64	538	541	578
437	168	942	148	715	19
438	538	671	7	682	119
439	743	630	755	267	516
