	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	924	552	606	462	454
101	980	537	597	433	501
102	984	535	595	452	427
103	942	527	316	437	424
104	970	524	592	409	423
105	878	520	328	602	534
106	888	519	589	408	399
107	903	513	587	399	400
108	945	511	315	517	401
109	962	510	680	515	528
110	889	509	608	514	527
111	910	502	612	513	524
112	0	501	292	511	620
113	837	500	628	510	523
114	226	351	336	509	520
115	230	488	625	508	406
116	239	570	334	381	411
117	246	580	623	390	413
118	252	581	575	391	414
119	259	589	620	392	418
120	267	691	618	396	421
121	293	690	617	495	521
122	216	689	616	493	790
123	298	682	572	403	621
124	335	678	304	139	624
125	341	676	574	603	750
126	348	662	571	311	745
127	350	659	681	199	223
128	351	658	683	201	731
129	356	487	684	203	240
130	369	650	201	733	722
131	372	638	202	208	721
132	300	635	766	212	718
133	417	634	765	744	249
134	197	629	204	214	254
135	194	627	763	715	715
136	6	621	770	712	712
137	9	611	762	711	711
138	27	606	358	225	255
139	31	605	758	706	709
140	52	640	757	226	218
141	54	998	756	222	259
142	67	494	755	193	754
143	76	482	753	179	207
144	195	418	761	757	182
145	91	414	751	149	187
146	112	484	198	152	785
147	118	407	775	779	188
148	138	404	363	778	776
149	141	402	523	777	774
150	150	395	793	774	195
151	157	393	525	156	770
152	158	419	362	770	769
153	162	388	788	157	766
154	105	383	774	764	765
155	845	372	183	763	764
156	424	371	785	762	201
157	434	370	784	761	762
158	633	368	782	162	761
159	652	366	186	165	215
160	655	358	187	228	703
161	661	357	531	702	702
162	663	387	786	231	262
163	685	429	365	698	657
164	692	410	208	641	655
165	699	430	745	279	653
166	626	481	710	281	303
167	701	464	228	637	308
168	727	463	707	630	643
169	730	461	544	628	309
170	740	448	703	298	638
171	743	445	702	620	635
172	772	444	227	617	634
173	781	442	231	615	316
174	782	999	346	614	317
175	807	437	696	613	319
176	715	431	693	609	321
177	427	439	236	310	322
178	625	438	239	606	297
179	622	360	686	274	662
180	443	151	233	312	663
181	453	258	210	273	665
182	461	839	712	271	697
183	480	660	348	697	696
184	485	799	352	238	264
185	495	965	739	693	272
186	507	59	737	241	275
187	512	646	735	688	277
188	623	265	734	244	687
189	519	886	732	245	622
190	540	80	543	682	282
191	566	730	730	681	680
192	574	201	727	247	675
193	595	276	726	256	674
194	599	770	217	667	673
195	603	121	718	664	289
196	609	661	717	267	668
197	619	408	540	656	667
198	525	342	728	654	283
199	999	779	181	724	998
200	325	584	172	79	24
201	573	226	169	80	23
202	575	593	167	88	19
203	576	595	157	200	13
204	320	222	153	198	4
205	583	602	146	183	26
206	316	603	145	155	87
207	589	213	143	153	94
208	295	616	142	123	100
209	610	576	140	117	185
210	365	269	124	211	170
211	611	526	120	110	167
212	535	515	118	108	162
213	371	369	115	106	148
214	439	343	111	96	146
215	440	392	109	95	145
216	441	337	370	92	140
217	426	400	371	91	126
218	420	405	377	90	122
219	458	411	379	109	120
220	459	326	604	427	115
221	462	424	598	428	110
222	467	425	596	431	108
223	407	322	593	669	105
224	471	433	590	659	369
225	405	318	581	655	374
226	404	317	579	650	376
227	402	457	614	648	381
228	479	458	564	643	650
229	489	460	559	640	636
230	395	465	555	634	630
231	389	303	553	624	629
232	387	297	538	619	627
233	503	478	536	607	626
234	997	294	535	604	658
235	506	292	530	594	618
236	510	495	561	591	612
237	384	499	615	588	595
238	376	825	619	672	590
239	367	628	631	673	574
240	613	623	689	674	568
241	617	205	679	679	558
242	288	735	675	768	615
243	722	163	673	760	664
244	737	737	672	748	666
245	739	738	670	747	671
246	741	739	669	742	763
247	211	741	665	738	759
248	746	162	660	728	757
249	748	744	658	584	751
250	206	753	655	721	735
251	205	754	653	710	734
252	204	765	652	708	729
253	759	767	649	707	724
254	202	732	644	704	720
255	764	773	642	703	717
256	766	140	636	700	706
257	198	787	515	691	705
258	780	789	733	717	688
259	783	790	514	576	683
260	784	137	510	572	682
261	785	803	426	570	557
262	787	804	425	500	791
263	185	133	423	490	554
264	791	132	422	488	550
265	181	807	416	485	449
266	177	820	414	480	447
267	176	115	410	478	441
268	716	777	428	474	438
269	231	631	401	501	435
270	710	997	397	472	420
271	709	167	394	450	451
272	632	653	392	449	419
273	281	197	391	446	404
274	645	664	390	442	403
275	646	667	384	441	397
276	271	679	382	436	386
277	269	681	400	432	385
278	268	685	430	455	382
279	656	188	433	780	408
280	657	687	434	505	455
281	658	688	509	996	456
282	662	728	508	568	457
283	665	693	491	566	549
284	163	187	488	565	543
285	666	182	479	549	536
286	676	180	477	545	530
287	253	178	475	544	512
288	251	709	470	543	507
289	680	174	465	507	505
290	249	714	464	542	995
291	247	173	463	539	498
292	688	720	462	533	497
293	690	721	459	532	483
294	694	724	454	531	476
295	696	183	452	530	472
296	704	256	449	528	468
297	235	665	437	522	461
298	674	916	512	541	552
299	2	953	999	518	997
300	490	254	932	929	924
301	922	539	413	354	63
302	342	248	53	931	926
303	482	548	919	934	917
304	475	551	22	46	16
305	474	561	417	355	929
306	473	562	968	460	60
307	937	812	933	86	933
308	380	508	921	39	935
309	460	564	47	13	17
310	57	285	924	35	473
311	943	441	24	921	971
312	383	341	360	860	477
313	79	345	91	872	884
314	857	346	447	232	304
315	538	350	967	229	881
316	109	352	44	745	237
317	214	321	122	751	727
318	705	356	96	753	732
319	707	310	605	754	738
320	708	364	601	578	740
321	577	309	768	575	743
322	714	378	599	737	749
323	719	455	288	216	586
324	720	307	289	209	230
325	571	398	577	206	585
326	192	302	229	782	225
327	191	412	779	784	583
328	190	413	787	564	773
329	728	296	789	188	781
330	729	421	791	789	782
331	742	295	792	791	786
332	569	434	565	569	787
333	301	435	298	793	719
334	687	291	387	583	239
335	752	290	576	235	588
336	683	384	747	629	244
337	681	230	746	639	305
338	261	563	232	621	623
339	258	223	654	264	295
340	263	573	657	285	294
341	634	705	255	286	290
342	275	711	640	601	287
343	637	723	667	678	646
344	639	155	668	587	647
345	640	733	249	684	213
346	647	734	677	686	602
347	649	736	629	695	660
348	237	742	697	251	315
349	234	750	246	291	278
350	283	152	704	718	267
351	590	150	708	596	263
352	285	755	242	236	691
353	677	760	621	726	695
354	221	144	715	600	247
355	220	771	280	874	600
356	303	776	195	185	119
357	182	784	802	400	794
358	180	143	191	833	578
359	827	793	189	835	151
360	134	142	842	131	150
361	130	801	137	127	353
362	334	136	844	846	848
363	126	808	318	847	851
364	125	135	323	121	853
365	839	168	326	527	857
366	616	170	128	537	859
367	537	704	853	853	863
368	843	695	854	859	864
369	844	578	125	276	865
370	117	217	263	112	129
371	529	590	498	863	873
372	527	591	497	333	367
373	851	596	108	866	875
374	852	601	865	101	124
375	854	604	103	336	877
376	823	607	339	855	545
377	135	206	317	184	340
378	136	614	485	831	163
379	139	622	839	136	339
380	767	630	149	798	799
381	768	995	806	313	430
382	560	694	558	801	571
383	167	196	182	561	806
384	779	195	299	803	194
385	318	189	301	807	567
386	556	672	814	170	191
387	159	677	816	164	190
388	856	644	176	325	579
389	798	176	821	812	814
390	554	598	168	323	563
391	322	96	165	147	819
392	806	952	163	553	821
393	808	826	161	821	823
394	149	619	158	823	337
395	547	708	312	824	826
396	544	542	532	551	169
397	542	35	835	138	168
398	801	555	314	161	816
399	517	504	386	180	516
400	918	911	833	973	965
401	916	14	196	58	967
402	915	909	197	975	61
403	954	957	207	976	968
404	955	57	211	905	62
405	912	58	213	64	969
406	956	40	218	978	970
407	957	64	224	892	972
408	963	975	240	939	32
409	907	896	244	191	930
410	34	895	273	849	75
411	966	12	278	487	30
412	68	28	300	496	77
413	70	932	320	498	78
414	969	340	321	499	919
415	73	857	327	319	977
416	75	257	333	504	979
417	897	255	344	520	84
418	81	252	350	523	25
419	892	529	357	328	912
420	972	240	361	307	981
421	87	232	366	297	98
422	56	543	184	556	978
423	411	260	373	293	210
424	124	225	179	560	132
425	333	557	173	282	553
426	331	575	8	573	556
427	550	208	23	577	336
428	551	579	25	277	561
429	552	583	26	534	335
430	555	585	32	476	332
431	557	95	46	332	326
432	568	221	58	473	320
433	309	600	63	376	597
434	582	267	71	374	603
435	585	270	72	369	312
436	586	329	74	410	606
437	307	361	76	364	310
438	304	315	77	363	610
439	294	311	86	415	614
