	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	116	328	71	329	914
101	308	893	404	939	967
102	977	858	191	270	191
103	642	176	683	922	592
104	113	951	732	447	364
105	396	185	854	214	178
106	4	804	744	814	127
107	149	1	415	112	941
108	859	484	171	500	328
109	759	918	187	638	292
110	299	862	983	101	820
111	857	132	605	764	148
112	882	68	212	600	990
113	974	458	795	412	135
114	327	230	863	139	633
115	849	318	347	350	566
116	636	826	976	156	361
117	730	153	228	996	749
118	847	777	838	644	438
119	721	293	679	271	107
120	440	223	593	431	424
121	161	227	251	39	425
122	331	310	26	809	195
123	202	406	922	676	59
124	805	843	580	88	93
125	706	142	623	455	245
126	889	585	870	399	722
127	547	787	877	934	460
128	953	200	777	194	686
129	880	463	48	580	753
130	724	326	592	725	375
131	34	286	82	800	64
132	960	371	538	706	390
133	967	189	499	518	454
134	915	760	598	513	769
135	597	3	362	41	114
136	918	413	494	621	423
137	388	690	646	224	595
138	194	87	827	480	738
139	57	184	474	530	842
140	570	603	947	209	894
141	64	414	824	424	397
142	610	894	86	825	908
143	246	770	478	601	629
144	535	472	765	98	586
145	858	667	974	624	504
146	666	550	526	426	325
147	701	505	373	510	650
148	712	776	625	905	845
149	618	980	919	53	154
150	326	742	19	340	887
151	482	372	541	267	272
152	520	638	170	698	655
153	694	853	783	576	531
154	624	141	289	549	439
155	174	23	114	273	277
156	46	526	930	547	399
157	784	838	642	211	386
158	41	619	310	466	469
159	280	583	750	6	961
160	780	565	30	941	525
161	652	267	344	450	385
162	954	42	214	241	972
163	484	296	959	612	890
164	924	658	965	738	573
165	602	913	668	351	838
166	118	270	72	208	284
167	501	806	59	10	791
168	991	149	46	584	818
169	573	695	396	606	280
170	112	56	998	323	168
171	182	890	796	778	141
172	114	956	47	482	118
173	109	803	158	730	9
174	107	668	374	132	441
175	749	919	982	759	893
176	213	911	769	917	307
177	895	53	21	120	167
178	275	689	643	73	634
179	723	824	358	432	607
180	639	308	58	514	933
181	510	600	425	56	42
182	565	817	176	216	73
183	350	342	452	316	782
184	873	156	515	635	876
185	548	44	253	278	486
186	888	159	186	346	1
187	276	887	98	901	111
188	126	97	867	867	623
189	454	675	762	986	363
190	387	514	398	802	682
191	59	643	137	767	669
192	607	136	684	634	402
193	940	733	861	279	614
194	317	543	786	581	716
195	471	48	229	487	578
196	185	953	652	995	105
197	216	258	996	215	36
198	20	377	758	376	740
199	291	618	204	803	965
200	522	161	12	470	472
201	505	502	946	419	721
202	153	4	366	523	624
203	601	404	38	310	372
204	122	670	336	503	210
205	103	50	858	8	69
206	270	124	784	942	556
207	469	255	994	226	13
208	550	482	231	797	734
209	841	73	365	898	856
210	827	904	734	27	382
211	690	635	208	476	445
212	480	356	163	685	306
213	767	290	920	261	906
214	729	359	880	949	279
215	627	60	608	441	786
216	54	63	177	733	427
217	183	869	165	397	892
218	596	481	414	183	717
219	456	98	189	619	830
220	342	834	167	570	324
221	247	714	629	344	946
222	503	576	467	243	874
223	862	17	522	728	260
224	158	294	533	217	431
225	192	395	509	359	76
226	233	885	272	846	484
227	843	519	839	173	935
228	217	340	575	275	841
229	67	263	342	415	885
230	462	608	999	222	733
231	417	302	150	688	926
232	807	819	146	499	376
233	491	646	92	67	506
234	312	677	213	566	319
235	330	75	375	92	957
236	186	865	964	847	355
237	707	945	660	418	119
238	768	987	781	568	927
239	772	531	698	520	327
240	397	965	368	997	444
241	645	503	151	383	175
242	283	685	36	656	720
243	229	986	121	609	63
244	489	886	50	498	122
245	973	510	249	188	249
246	708	499	737	657	419
247	293	847	115	596	582
248	777	165	326	919	949
249	485	968	507	55	320
250	532	265	757	375	641
251	538	36	438	781	10
252	764	106	247	274	356
253	829	939	434	982	528
254	640	33	517	848	794
255	351	875	600	324	194
256	494	730	44	390	455
257	725	498	559	325	775
258	205	422	656	817	492
259	130	32	961	265	298
260	798	828	299	855	160
261	2	475	759	448	62
262	56	830	890	674	512
263	151	676	808	160	40
264	138	564	560	47	889
265	980	279	951	305	982
266	75	535	430	136	38
267	578	649	23	11	187
268	424	449	705	417	715
269	274	158	35	852	236
270	269	809	585	863	848
271	634	67	401	810	254
272	922	771	614	588	287
273	409	801	565	773	502
274	851	577	1	442	15
275	914	427	958	602	204
276	191	6	589	381	442
277	27	584	918	49	44
278	319	752	298	712	998
279	169	757	198	423	787
280	830	435	68	311	691
281	832	74	540	927	485
282	913	167	727	289	453
283	703	278	579	629	159
284	427	910	628	43	449
285	141	317	128	936	959
286	813	204	230	31	451
287	760	927	785	682	821
288	680	217	296	18	960
289	68	437	201	106	863
290	628	83	457	559	302
291	223	704	42	753	476
292	781	240	894	811	151
293	727	275	571	259	824
294	254	334	462	414	185
295	524	445	980	702	759
296	43	494	803	886	128
297	335	107	848	114	463
298	943	483	359	607	667
299	907	195	794	253	170
300	372	146	211	126	626
301	836	553	205	745	631
302	104	385	116	880	851
303	285	444	182	255	343
304	497	345	899	572	917
305	369	122	597	757	608
306	442	686	552	921	192
307	806	916	246	617	357
308	840	460	491	578	124
309	267	147	361	603	774
310	214	171	876	788	223
311	540	767	129	695	295
312	232	219	545	643	627
313	996	749	988	929	693
314	778	579	169	954	435
315	206	681	741	948	971
316	984	465	576	175	516
317	9	11	261	93	521
318	380	381	862	798	930
319	31	31	832	774	501
320	209	408	355	553	207
321	187	542	948	9	795
322	979	419	320	79	899
323	251	644	333	765	796
324	405	950	108	377	416
325	402	755	304	147	548
326	176	173	242	460	635
327	846	569	417	801	907
328	897	400	924	562	94
329	289	896	14	541	130
330	870	14	454	763	332
331	660	924	258	599	683
332	655	947	402	287	534
333	316	628	482	671	145
334	755	495	925	777	115
335	722	209	459	152	884
336	284	491	875	493	687
337	334	358	658	342	182
338	389	880	397	276	345
339	662	143	812	819	812
340	353	669	0	892	988
341	356	85	122	957	857
342	303	418	263	94	915
343	257	471	422	719	430
344	91	723	288	931	176
345	818	958	278	293	663
346	81	301	25	762	75
347	788	711	619	134	288
348	985	346	125	630	255
349	218	199	477	22	498
350	710	991	730	976	157
351	809	144	437	87	670
352	263	524	612	824	150
353	622	129	689	35	406
354	71	696	529	252	496
355	473	693	118	436	337
356	420	118	282	14	373
357	956	912	465	930	333
358	696	936	318	718	981
359	715	751	250	944	600
360	322	761	77	672	997
361	238	202	392	65	657
362	903	459	604	225	106
363	878	861	32	463	303
364	633	467	856	832	220
365	557	682	148	83	380
366	674	687	789	704	545
367	691	452	618	472	244
368	814	631	22	577	764
369	467	324	655	560	329
370	461	281	733	428	464
371	864	203	616	135	85
372	663	88	831	870	696
373	934	416	715	391	197
374	838	739	498	282	391
375	325	347	574	238	480
376	568	128	172	515	23
377	637	197	833	465	290
378	296	311	420	355	247
379	896	902	955	200	859
380	963	727	561	715	321
381	479	80	888	307	411
382	333	297	932	203	429
383	704	70	372	669	616
384	230	322	841	23	362
385	172	448	195	337	797
386	375	337	227	42	835
387	787	915	879	532	815
388	546	283	728	945	318
389	763	570	869	201	240
390	376	909	906	378	805
391	124	580	805	756	156
392	453	269	681	694	826
393	150	812	853	262	617
394	529	248	360	434	171
395	579	877	624	877	533
396	362	65	923	539	603
397	234	47	233	833	214
398	758	997	321	575	285
399	18	734	981	916	241
400	459	194	196	392	664
401	931	962	960	154	132
402	163	563	485	902	60
403	193	341	203	911	163
404	910	573	466	884	706
405	612	867	900	363	103
406	164	168	279	511	945
407	661	779	707	165	599
408	542	190	620	994	0
409	72	691	806	223	289
410	404	554	844	959	403
411	8	820	714	783	211
412	407	37	266	861	491
413	517	92	449	247	622
414	537	487	106	903	665
415	569	276	432	396	799
416	554	72	638	233	754
417	394	321	935	85	718
418	646	254	292	956	120
419	632	182	387	828	304
420	167	622	943	836	99
421	766	623	697	245	645
422	261	582	96	686	125
423	446	753	90	82	369
424	811	355	101	352	689
425	154	928	615	61	572
426	588	208	433	845	727
427	774	988	124	878	377
428	294	866	751	462	74
429	226	140	262	620	57
430	165	627	470	885	388
431	320	914	510	533	979
432	134	434	479	286	929
433	792	992	949	684	186
434	142	201	690	517	980
435	367	464	308	960	246
436	458	351	962	993	11
437	62	103	581	536	625
438	12	500	968	583	278
439	837	630	611	875	309
