	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	2	1	1	5	1
101	651	638	656	31	2
102	657	652	657	33	651
103	659	656	26	693	655
104	660	659	672	48	657
105	676	660	45	50	660
106	44	32	693	700	670
107	62	35	48	57	32
108	694	672	50	707	680
109	66	39	704	718	44
110	703	677	707	725	50
111	75	44	92	731	60
112	720	48	733	742	63
113	722	50	103	745	718
114	92	687	111	96	722
115	96	690	116	98	726
116	99	693	751	106	731
117	103	57	120	759	99
118	743	704	124	109	107
119	109	74	126	762	751
120	114	75	762	119	111
121	116	720	129	123	114
122	759	725	137	127	756
123	123	92	148	131	757
124	125	737	150	135	759
125	768	101	785	136	761
126	135	103	787	139	762
127	138	107	788	788	124
128	139	751	792	147	125
129	148	119	167	153	135
130	788	129	803	156	137
131	795	132	171	801	139
132	158	137	805	803	785
133	159	138	807	808	787
134	161	777	808	811	150
135	803	150	820	185	795
136	822	799	822	188	156
137	832	803	824	824	799
138	833	156	195	832	159
139	195	805	827	208	185
140	218	159	833	211	188
141	223	820	837	847	837
142	226	822	208	216	195
143	227	824	216	848	196
144	878	184	848	219	848
145	882	833	218	223	207
146	233	837	228	228	219
147	888	195	856	234	223
148	891	848	234	871	225
149	240	208	240	875	228
150	242	868	867	239	875
151	246	225	242	242	240
152	900	880	246	885	246
153	249	234	878	253	255
154	902	893	253	265	888
155	914	240	255	902	267
156	267	902	882	267	283
157	270	253	880	908	926
158	928	255	914	270	929
159	929	265	926	271	306
160	284	267	929	922	308
161	941	270	310	285	941
162	942	926	953	929	948
163	291	928	334	934	324
164	298	933	964	310	964
165	962	942	975	311	330
166	964	288	348	949	972
167	972	946	351	961	338
168	330	953	360	964	974
169	990	308	365	969	998
170	338	310	367	338	377
171	349	315	374	971	378
172	351	972	384	346	384
173	367	334	386	348	395
174	395	987	390	350	396
175	396	994	396	351	398
176	404	998	398	987	401
177	432	351	401	374	404
178	441	377	404	378	411
179	471	384	410	390	418
180	485	398	464	396	448
181	518	418	492	410	455
182	519	431	504	431	464
183	520	441	513	441	492
184	522	464	514	453	495
185	525	465	525	471	502
186	527	487	540	472	513
187	535	492	545	487	514
188	540	513	559	495	527
189	549	514	565	513	534
190	551	528	572	514	552
191	552	534	589	527	559
192	557	539	590	536	566
193	560	540	592	539	572
194	562	545	597	551	581
195	563	551	636	559	590
196	566	552	638	563	592
197	584	565	641	607	606
198	597	607	649	631	615
199	607	629	651	638	626
200	633	644	652	6	647
201	6	25	5	18	10
202	16	27	18	19	16
203	18	668	665	671	28
204	27	671	668	28	682
205	671	36	25	34	38
206	678	40	27	678	40
207	48	49	673	688	687
208	683	688	35	698	691
209	701	689	38	706	57
210	706	53	40	708	720
211	707	61	690	67	87
212	78	701	698	724	740
213	713	705	53	78	120
214	715	72	58	79	122
215	87	714	705	82	763
216	95	718	712	90	765
217	745	78	714	95	766
218	122	721	715	120	129
219	766	85	82	770	775
220	130	724	94	778	134
221	778	739	95	782	782
222	784	113	739	784	145
223	151	115	109	152	151
224	152	757	761	793	794
225	794	765	765	162	157
226	802	784	770	178	801
227	810	790	151	180	167
228	174	152	786	819	809
229	817	809	154	825	806
230	183	819	155	191	812
231	190	177	794	201	824
232	838	178	168	202	835
233	839	825	802	846	838
234	849	839	811	854	194
235	857	190	177	229	201
236	858	192	179	865	204
237	872	843	204	869	857
238	884	847	836	238	215
239	892	853	838	877	859
240	896	857	839	251	873
241	903	204	211	890	874
242	251	209	213	259	885
243	906	865	847	261	890
244	909	877	853	901	259
245	258	231	229	911	896
246	261	885	231	916	907
247	913	235	236	917	278
248	922	236	872	921	282
249	269	896	876	281	924
250	280	898	251	282	930
251	932	251	879	286	301
252	282	258	258	937	949
253	937	912	261	298	955
254	286	920	885	944	959
255	943	921	887	319	327
256	292	277	268	951	966
257	955	278	894	952	967
258	303	286	273	958	968
259	967	951	286	959	971
260	317	296	916	330	973
261	973	299	296	337	977
262	975	959	921	973	345
263	978	961	922	983	983
264	983	966	925	989	369
265	336	340	933	353	374
266	997	993	935	993	391
267	345	343	937	994	402
268	353	354	951	996	403
269	366	357	330	997	414
270	368	361	961	369	425
271	371	366	967	391	426
272	385	370	361	392	430
273	389	383	994	393	433
274	397	393	363	416	446
275	409	411	370	433	449
276	430	413	379	434	451
277	442	416	416	436	454
278	454	425	423	446	460
279	459	433	426	449	465
280	460	436	433	459	468
281	461	439	439	460	469
282	473	452	454	462	473
283	479	457	457	473	478
284	480	460	462	482	479
285	484	478	491	505	484
286	495	482	497	510	517
287	497	484	508	511	531
288	537	495	531	515	557
289	548	500	541	530	563
290	556	505	552	537	567
291	569	508	569	542	570
292	570	529	575	569	571
293	571	537	585	577	579
294	582	563	599	588	597
295	585	569	600	600	600
296	601	586	605	601	603
297	619	602	630	605	624
298	628	606	633	613	631
299	632	630	646	621	639
300	640	634	2	640	645
301	645	2	24	641	13
302	652	640	669	644	664
303	22	651	32	656	665
304	34	22	677	657	26
305	41	665	34	22	35
306	677	29	37	23	690
307	45	31	689	26	55
308	687	681	696	29	701
309	58	691	703	35	706
310	57	55	63	37	712
311	67	58	716	682	719
312	709	698	717	55	78
313	79	63	723	61	82
314	80	706	90	712	732
315	714	80	732	716	94
316	91	87	755	110	98
317	730	732	756	111	750
318	739	118	122	125	118
319	755	755	759	783	119
320	760	122	128	157	770
321	124	128	136	160	130
322	133	130	775	809	776
323	140	142	142	810	790
324	782	787	145	170	154
325	783	147	163	812	800
326	147	793	178	179	162
327	787	153	818	183	170
328	150	155	821	186	171
329	153	162	832	823	813
330	155	810	201	826	815
331	157	812	203	829	816
332	163	170	835	833	818
333	809	171	207	835	182
334	168	174	842	839	823
335	811	830	212	209	826
336	815	182	846	855	828
337	177	202	220	856	190
338	818	860	857	222	836
339	181	212	243	860	842
340	186	216	870	867	197
341	836	219	873	233	203
342	843	872	874	232	853
343	847	223	244	880	213
344	206	873	877	252	867
345	852	881	252	892	236
346	211	894	260	260	262
347	855	252	263	907	263
348	215	905	892	273	894
349	217	915	277	277	899
350	871	916	278	278	271
351	876	263	900	926	903
352	229	271	280	935	906
353	880	273	909	297	277
354	234	281	291	942	279
355	238	939	918	307	912
356	899	943	298	947	915
357	254	291	920	314	921
358	911	952	301	316	925
359	912	297	308	957	298
360	915	956	952	329	302
361	918	317	332	966	944
362	271	975	333	339	316
363	273	326	339	975	317
364	930	986	342	978	951
365	281	992	343	347	322
366	934	347	977	349	957
367	301	365	979	986	961
368	966	369	355	992	326
369	316	379	983	354	963
370	971	404	984	403	329
371	326	412	998	407	341
372	331	424	999	432	343
373	986	430	392	447	986
374	335	434	407	452	989
375	341	437	417	455	361
376	996	440	430	463	992
377	348	470	432	469	373
378	376	477	450	470	376
379	401	481	475	475	397
380	411	488	479	479	439
381	424	497	488	481	444
382	439	519	498	508	457
383	455	530	510	523	462
384	462	533	512	531	466
385	469	547	519	532	477
386	470	548	523	544	497
387	483	557	530	546	505
388	512	564	537	564	516
389	529	567	560	565	518
390	538	570	561	567	523
391	544	576	580	570	525
392	567	578	581	581	548
393	576	580	601	587	561
394	578	582	606	603	587
395	588	589	619	620	588
396	590	590	620	624	602
397	595	595	621	625	635
398	603	600	624	634	638
399	613	601	640	635	641
400	634	6	8	639	11
401	636	10	658	10	15
402	647	11	16	13	663
403	13	13	661	21	19
404	658	16	21	679	24
405	24	661	22	681	668
406	37	37	23	39	30
407	38	679	30	41	46
408	43	685	41	695	703
409	679	64	46	53	705
410	681	709	47	701	709
411	685	79	72	703	716
412	688	722	81	64	717
413	700	723	741	715	721
414	72	91	744	717	85
415	705	733	115	72	738
416	712	736	757	721	749
417	716	738	758	723	755
418	721	749	131	738	128
419	89	121	766	91	769
420	724	760	133	747	138
421	740	768	769	748	791
422	741	135	782	128	797
423	746	773	783	780	798
424	748	776	784	144	169
425	758	144	791	791	819
426	118	789	793	794	825
427	775	149	813	154	849
428	776	802	814	800	850
429	777	806	183	802	210
430	780	807	816	817	854
431	142	163	825	184	212
432	144	168	826	828	855
433	162	828	831	198	858
434	172	180	834	831	220
435	180	831	210	203	863
436	821	183	849	206	877
437	192	187	854	843	244
438	197	188	859	852	241
439	198	842	861	224	247
