	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	287	555	131	217	85
101	289	442	675	219	378
102	291	444	398	693	726
103	292	445	587	691	384
104	293	547	1	222	395
105	294	459	995	684	622
106	295	540	994	214	618
107	296	539	5	682	616
108	298	537	989	678	615
109	299	536	638	226	610
110	300	534	619	232	606
111	301	533	617	596	603
112	303	430	30	233	602
113	358	347	36	234	595
114	307	630	610	236	626
115	308	286	606	667	593
116	309	271	962	225	585
117	286	273	121	238	579
118	285	718	655	703	574
119	284	711	61	211	572
120	283	709	955	739	570
121	254	276	77	188	568
122	257	721	660	731	567
123	258	277	90	730	553
124	259	698	661	728	552
125	261	285	595	726	591
126	263	695	104	194	550
127	266	694	590	721	629
128	267	643	109	212	645
129	311	692	933	719	719
130	268	284	932	200	715
131	270	288	118	202	706
132	271	269	959	715	705
133	273	265	946	203	702
134	274	231	703	711	696
135	275	234	546	415	685
136	276	750	827	208	683
137	280	749	745	209	674
138	282	240	462	199	643
139	269	741	459	659	671
140	312	727	454	674	669
141	304	251	336	634	667
142	338	737	452	624	665
143	345	736	339	628	664
144	344	257	449	257	662
145	342	734	814	614	660
146	341	258	813	255	658
147	349	261	343	632	657
148	339	253	344	657	647
149	336	292	808	635	670
150	335	1	434	247	549
151	350	311	430	640	543
152	351	318	355	265	534
153	333	310	425	611	448
154	331	337	365	245	446
155	348	309	368	621	445
156	327	669	788	243	444
157	326	652	407	244	443
158	330	341	770	617	436
159	319	343	381	650	435
160	323	304	783	656	431
161	316	664	382	600	427
162	317	315	781	241	449
163	322	649	385	239	426
164	352	672	394	607	420
165	318	303	320	602	419
166	320	676	178	274	418
167	354	677	315	271	416
168	325	648	741	242	413
169	353	302	183	655	409
170	609	646	544	273	406
171	136	299	891	725	400
172	985	345	203	450	398
173	712	682	205	431	421
174	125	685	535	449	453
175	618	295	534	572	455
176	479	322	211	82	456
177	240	500	397	423	530
178	846	230	531	989	522
179	149	130	517	918	520
180	973	858	870	373	518
181	409	294	232	152	517
182	226	35	240	357	515
183	565	691	865	355	513
184	563	570	714	62	507
185	405	921	251	545	505
186	92	439	716	890	499
187	194	557	264	35	498
188	656	142	477	339	496
189	430	553	280	970	495
190	816	346	730	56	492
191	288	552	847	809	486
192	213	852	290	128	484
193	334	185	733	527	480
194	161	857	842	672	466
195	913	270	298	528	464
196	281	605	838	810	462
197	972	384	299	394	457
198	613	266	463	531	388
199	963	786	0	740	512
200	522	398	458	488	621
201	524	395	679	487	336
202	211	393	704	485	516
203	529	635	25	482	401
204	210	387	708	481	394
205	198	434	710	328	404
206	4	383	171	479	408
207	17	436	456	476	391
208	18	440	907	499	414
209	38	505	327	534	390
210	48	503	168	537	424
211	53	501	723	539	429
212	59	496	949	625	433
213	68	527	705	619	439
214	75	528	677	615	442
215	79	491	909	613	447
216	86	535	960	609	376
217	91	486	974	598	375
218	96	543	214	597	369
219	97	483	642	581	367
220	135	548	213	578	469
221	138	481	212	576	363
222	148	470	210	575	361
223	154	466	650	573	360
224	158	563	207	570	356
225	159	465	204	568	489
226	164	464	202	567	353
227	167	567	359	566	344
228	172	463	466	561	343
229	186	573	372	559	341
230	190	455	201	558	339
231	204	577	965	556	514
232	546	443	961	543	524
233	517	579	665	542	821
234	550	441	191	541	296
235	648	581	197	475	627
236	657	438	195	474	757
237	658	204	196	480	759
238	547	379	353	472	196
239	676	653	19	400	764
240	683	744	20	397	396
241	685	279	929	473	188
242	700	753	943	396	770
243	702	754	366	393	771
244	705	755	952	392	185
245	707	267	31	391	182
246	646	765	384	387	178
247	709	260	357	383	776
248	715	256	9	377	781
249	716	769	380	403	785
250	727	255	512	367	786
251	734	773	887	358	176
252	741	235	684	350	789
253	763	229	681	347	170
254	764	784	467	346	168
255	766	508	189	344	796
256	774	789	667	343	797
257	777	224	662	338	164
258	782	799	198	337	799
259	714	800	654	332	800
260	645	222	216	331	162
261	660	221	633	359	809
262	639	803	314	407	812
263	582	213	621	997	148
264	569	805	599	412	816
265	596	806	252	470	201
266	640	212	261	466	294
267	597	742	559	463	204
268	601	651	296	459	214
269	560	283	277	455	631
270	559	732	279	453	285
271	607	656	530	448	277
272	554	372	286	447	651
273	610	371	689	446	655
274	611	662	46	441	271
275	619	370	690	408	262
276	620	667	728	434	673
277	624	369	882	437	260
278	627	361	879	432	259
279	551	360	76	422	686
280	579	356	404	428	689
281	577	679	862	424	690
282	45	355	410	427	254
283	819	354	849	433	693
284	778	340	415	504	695
285	13	690	835	4	247
286	124	335	799	706	699
287	977	696	137	14	709
288	589	701	429	18	711
289	144	329	775	700	712
290	429	328	146	865	720
291	395	714	147	395	721
292	168	719	433	352	724
293	672	325	766	883	727
294	238	723	330	374	230
295	861	308	754	968	228
296	635	305	746	793	732
297	743	730	161	940	743
298	0	733	172	907	751
299	779	2	683	605	998
300	383	199	614	532	946
301	583	943	998	529	49
302	842	945	526	995	47
303	767	78	631	524	478
304	768	948	532	523	950
305	688	950	630	522	953
306	772	65	629	520	954
307	192	62	540	515	44
308	232	61	541	514	42
309	574	956	545	513	957
310	182	60	628	510	959
311	625	958	552	508	960
312	784	53	556	501	40
313	234	201	558	500	374
314	679	278	560	498	531
315	384	203	561	495	544
316	571	564	565	490	110
317	584	705	616	469	750
318	692	562	572	547	753
319	710	720	574	253	239
320	593	550	579	551	755
321	223	724	584	555	308
322	592	542	585	643	236
323	365	735	597	639	223
324	364	738	604	638	219
325	690	739	608	637	769
326	206	521	509	630	597
327	730	757	508	629	212
328	375	511	515	604	316
329	739	506	493	603	318
330	740	504	464	601	587
331	200	495	465	599	203
332	746	777	475	594	795
333	205	689	651	588	197
334	367	583	479	587	306
335	603	585	483	584	195
336	671	686	507	580	614
337	636	616	649	577	738
338	839	614	488	569	289
339	251	629	491	565	666
340	837	634	485	564	282
341	394	638	612	562	295
342	150	606	641	560	688
343	634	644	640	553	635
344	830	650	636	458	634
345	827	998	668	465	633
346	823	659	950	452	264
347	651	661	71	336	703
348	153	600	12	329	710
349	248	596	21	324	263
350	633	670	615	319	722
351	814	671	984	314	304
352	659	675	656	312	620
353	242	678	697	311	734
354	157	590	644	310	735
355	810	660	74	307	617
356	661	877	693	298	403
357	244	487	980	456	586
358	792	477	672	297	191
359	807	364	618	286	137
360	663	357	699	285	134
361	813	352	96	282	856
362	666	334	32	281	132
363	562	848	646	278	329
364	389	850	935	276	554
365	801	332	981	272	126
366	798	326	806	270	548
367	387	324	580	267	546
368	674	321	451	259	545
369	649	862	471	293	873
370	237	287	432	348	874
371	841	619	428	342	875
372	721	254	796	351	876
373	850	217	402	436	118
374	832	872	478	435	114
375	537	873	832	426	883
376	152	368	833	421	138
377	818	838	836	419	850
378	557	401	839	418	849
379	815	402	383	417	139
380	808	802	492	416	190
381	411	807	846	349	813
382	162	808	919	414	186
383	369	809	848	996	582
384	391	448	367	405	819
385	570	437	362	390	820
386	420	433	786	381	823
387	785	424	523	379	171
388	912	478	328	378	533
389	749	421	529	369	578
390	585	414	533	364	167
391	725	413	537	363	830
392	724	412	309	354	163
393	791	411	304	353	573
394	641	828	273	410	157
395	88	410	260	929	152
396	983	408	807	631	150
397	809	405	568	228	325
398	424	415	374	486	827
399	180	3	892	591	411
400	947	188	898	50	914
401	58	194	50	49	0
402	67	195	901	48	844
403	71	198	48	47	207
404	932	200	885	46	209
405	73	208	795	42	211
406	77	209	2	41	218
407	78	232	669	73	225
408	81	166	187	164	235
409	924	263	244	165	237
410	922	102	218	166	240
411	93	100	996	583	241
412	100	6	702	563	175
413	910	7	227	549	244
414	909	10	680	546	257
415	907	11	676	536	267
416	101	12	674	533	275
417	123	22	228	525	280
418	187	23	670	517	284
419	126	25	513	606	287
420	441	29	575	511	292
421	439	32	663	507	319
422	434	36	482	505	320
423	432	37	652	503	255
424	555	101	489	493	169
425	428	40	490	478	159
426	426	42	625	462	135
427	443	47	577	460	4
428	568	49	624	425	10
429	575	56	581	509	11
430	588	58	623	612	13
431	407	64	258	620	17
432	406	75	605	641	19
433	602	80	589	702	25
434	399	83	499	701	26
435	622	92	186	698	32
436	417	95	278	697	33
437	446	97	569	695	35
438	527	41	771	694	38
439	454	768	142	686	39
