	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	144	144	877	333	639
101	215	266	333	21	215
102	383	106	266	215	870
103	859	347	510	375	715
104	55	481	21	144	819
105	136	132	531	347	425
106	161	383	739	531	162
107	266	182	337	783	316
108	153	488	347	853	337
109	114	94	859	739	814
110	216	55	870	132	420
111	158	896	853	877	521
112	567	161	72	859	203
113	622	136	132	982	616
114	645	234	434	434	9
115	107	567	783	271	275
116	168	482	794	428	168
117	891	91	425	481	968
118	639	530	316	748	190
119	428	611	428	106	187
120	474	948	529	870	497
121	150	739	601	724	201
122	247	554	821	639	128
123	9	621	611	336	961
124	569	248	383	510	849
125	427	410	91	785	896
126	819	877	234	926	724
127	443	510	874	399	500
128	782	500	106	312	669
129	181	36	926	530	372
130	223	308	849	94	517
131	338	467	409	383	336
132	234	427	36	968	461
133	186	677	984	153	789
134	154	819	27	744	965
135	387	425	579	307	826
136	715	926	187	715	160
137	611	950	814	611	357
138	101	128	312	279	762
139	439	101	37	984	443
140	226	33	136	203	312
141	248	379	681	114	740
142	182	271	785	760	809
143	345	997	677	584	344
144	494	436	658	903	345
145	482	305	420	316	302
146	176	158	715	621	671
147	505	539	744	186	877
148	490	528	46	425	967
149	97	569	410	498	989
150	358	359	153	337	431
151	500	724	482	34	289
152	406	263	968	436	375
153	291	490	128	791	926
154	86	168	763	536	995
155	609	595	160	721	0
156	70	580	977	601	842
157	864	153	544	821	782
158	674	487	950	409	478
159	710	853	679	511	80
160	748	434	289	918	132
161	651	372	379	997	618
162	524	262	161	162	36
163	897	681	273	948	296
164	261	760	181	768	959
165	521	226	880	234	463
166	934	605	564	238	480
167	453	529	512	329	247
168	116	536	530	136	785
169	420	531	716	819	444
170	275	470	186	745	775
171	880	433	203	392	330
172	432	407	114	564	738
173	253	285	498	567	973
174	539	50	646	334	429
175	870	192	517	641	411
176	461	961	828	539	355
177	431	216	887	431	82
178	990	268	935	226	515
179	195	398	168	987	1
180	519	261	981	780	755
181	525	524	262	961	982
182	242	100	182	723	530
183	415	32	296	379	512
184	856	443	391	235	701
185	846	337	532	191	333
186	517	80	462	465	171
187	309	203	842	935	635
188	502	42	149	773	223
189	512	650	717	809	821
190	308	269	108	763	254
191	263	406	982	330	862
192	31	465	489	617	489
193	429	303	826	716	838
194	469	415	479	116	115
195	497	170	852	201	721
196	99	984	170	111	462
197	827	502	537	305	399
198	752	279	286	681	919
199	984	608	769	643	262
200	783	213	449	480	114
201	316	505	474	826	409
202	529	777	250	849	271
203	307	506	216	275	106
204	162	217	450	694	170
205	409	230	621	839	554
206	391	150	497	605	307
207	658	584	750	777	186
208	677	252	177	624	950
209	724	363	712	981	498
210	634	219	86	634	46
211	874	449	213	390	449
212	816	278	249	442	977
213	721	342	212	703	641
214	983	511	332	352	969
215	681	107	436	294	386
216	155	596	22	669	32
217	896	201	471	410	863
218	579	437	386	53	219
219	480	694	350	448	134
220	399	322	593	580	439
221	791	448	407	72	499
222	821	497	279	884	650
223	149	968	477	433	524
224	544	275	538	46	853
225	312	665	961	48	347
226	660	384	261	482	590
227	755	629	745	62	308
228	91	231	834	432	210
229	646	102	467	653	649
230	760	292	32	18	477
231	46	27	372	447	729
232	554	839	650	524	636
233	434	334	943	354	111
234	785	653	167	91	935
235	619	466	111	995	214
236	187	370	308	762	985
237	222	291	636	407	457
238	842	914	572	285	466
239	780	265	247	856	107
240	632	438	541	86	531
241	295	97	465	180	156
242	18	850	280	216	178
243	746	195	392	855	211
244	271	891	214	139	422
245	777	284	608	478	572
246	585	387	230	262	883
247	768	121	523	667	151
248	730	227	937	82	745
249	361	845	349	344	750
250	992	472	448	754	624
251	327	728	330	674	942
252	53	358	184	487	757
253	709	951	217	678	139
254	257	545	375	845	658
255	723	520	878	32	55
256	969	494	666	348	472
257	861	137	552	779	666
258	588	864	584	459	884
259	839	880	861	549	991
260	80	583	944	50	665
261	274	475	207	339	327
262	180	826	595	937	756
263	617	769	515	798	891
264	694	521	116	509	207
265	703	270	522	255	949
266	954	210	158	969	533
267	192	352	747	865	621
268	330	89	629	974	427
269	75	499	50	737	436
270	745	419	605	685	541
271	633	166	710	632	579
272	489	176	833	184	188
273	740	828	300	400	966
274	72	307	413	544	776
275	654	601	580	219	435
276	578	141	357	427	622
277	573	276	198	273	981
278	625	768	371	672	230
279	903	62	173	101	402
280	647	439	847	994	310
281	779	883	373	545	382
282	862	354	514	170	326
283	67	72	674	517	674
284	537	422	490	490	865
285	809	13	596	726	464
286	273	662	334	474	447
287	550	404	670	670	536
288	714	658	948	753	567
289	739	59	172	957	653
290	339	401	891	217	685
291	238	514	897	555	670
292	268	277	499	377	951
293	350	519	983	898	359
294	294	162	211	418	629
295	940	771	598	883	263
296	304	801	272	119	703
297	918	156	432	33	758
298	672	309	571	437	617
299	372	753	625	654	856
300	510	670	536	500	859
301	849	315	641	261	769
302	100	294	268	161	773
303	641	258	649	55	903
304	584	509	326	603	305
305	334	736	703	691	192
306	729	70	617	650	182
307	407	414	624	782	191
308	666	643	258	80	448
309	624	202	94	706	94
310	601	184	201	212	50
311	776	112	768	800	763
312	326	893	101	752	108
313	649	676	384	523	893
314	348	552	653	880	523
315	542	151	949	814	329
316	280	402	914	710	390
317	48	310	777	542	86
318	139	757	227	949	311
319	997	918	839	453	338
320	213	593	883	872	948
321	636	622	642	951	148
322	62	400	45	541	421
323	763	255	675	823	662
324	285	140	421	247	675
325	459	981	437	659	878
326	269	582	352	29	391
327	822	329	669	274	377
328	665	942	396	989	864
329	442	442	191	499	552
330	893	513	726	421	138
331	311	503	466	863	727
332	54	311	348	625	339
333	549	477	398	515	309
334	467	667	784	693	710
335	663	324	246	239	453
336	33	675	592	364	578
337	592	669	795	671	607
338	438	634	447	338	695
339	352	656	121	476	442
340	495	75	856	198	373
341	45	412	558	441	315
342	344	124	390	847	285
343	37	48	990	740	33
344	148	721	148	930	643
345	699	345	612	28	495
346	845	441	918	373	556
347	532	542	753	615	667
348	60	368	415	897	528
349	808	534	643	609	583
350	640	589	377	629	735
351	957	65	863	466	615
352	560	457	438	276	592
353	462	540	387	560	983
354	900	565	344	707	626
355	568	614	255	54	549
356	914	395	313	154	441
357	642	378	662	358	987
358	135	458	727	11	60
359	138	671	667	9	726
360	637	23	568	178	195
361	540	440	263	311	845
362	702	803	404	121	647
363	217	129	315	495	544
364	511	189	210	367	974
365	719	672	53	712	646
366	123	340	919	761	246
367	552	253	309	711	933
368	784	60	356	676	384
369	396	719	494	772	213
370	258	356	728	79	687
371	173	660	400	228	722
372	737	288	18	728	249
373	974	551	615	313	711
374	210	651	900	3	645
375	626	459	614	525	16
376	728	455	654	314	360
377	671	623	269	675	227
378	24	143	698	581	119
379	333	73	779	532	267
380	937	299	327	901	988
381	2	435	355	597	697
382	734	267	757	5	504
383	685	730	82	423	634
384	356	649	951	355	850
385	662	661	339	911	946
386	979	752	368	789	93
387	613	779	195	214	558
388	126	484	545	126	356
389	704	350	68	919	791
390	612	392	48	185	591
391	860	326	771	871	465
392	441	360	626	419	502
393	13	180	370	245	396
394	475	431	974	232	914
395	368	848	737	472	424
396	68	498	476	504	418
397	945	750	827	225	324
398	687	200	714	328	753
399	366	790	734	493	606
400	384	273	699	878	709
401	850	600	979	102	682
402	803	834	663	757	225
403	973	773	299	612	997
404	230	471	932	503	388
405	239	687	439	695	24
406	191	776	872	37	503
407	795	932	640	471	734
408	912	388	23	501	237
409	555	688	328	648	279
410	102	68	754	983	706
411	172	515	526	682	430
412	655	222	65	973	240
413	240	741	555	569	280
414	430	640	873	23	625
415	583	6	655	735	754
416	503	377	672	945	404
417	741	979	702	556	795
418	596	355	788	614	698
419	727	737	569	767	163
420	286	919	868	369	368
421	237	754	803	156	328
422	932	908	358	975	408
423	249	734	791	408	686
424	371	501	24	462	59
425	712	474	844	942	121
426	408	852	504	253	844
427	424	240	239	583	62
428	56	430	79	56	369
429	214	695	684	6	26
430	471	648	741	684	702
431	267	190	26	391	751
432	878	495	288	568	573
433	354	424	310	173	620
434	706	714	676	267	283
435	556	418	277	143	501
436	227	628	657	405	255
437	942	912	651	324	945
438	767	369	540	77	78
439	405	706	240	657	731
