	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	356	433	584	598	928
101	285	436	580	581	326
102	286	412	579	580	641
103	287	407	577	601	942
104	288	444	555	602	718
105	289	449	553	603	664
106	291	455	552	577	411
107	292	457	550	282	369
108	284	400	526	267	992
109	293	461	523	285	164
110	295	463	519	264	361
111	296	464	515	543	696
112	298	465	366	262	360
113	358	393	499	260	986
114	300	340	493	573	697
115	301	471	621	257	381
116	303	377	491	620	982
117	294	372	630	624	168
118	283	370	638	253	365
119	282	490	710	629	702
120	281	366	707	291	977
121	252	492	705	566	414
122	253	360	703	565	171
123	254	496	702	294	671
124	258	497	699	638	709
125	259	498	698	640	669
126	261	499	693	261	969
127	263	357	686	319	967
128	266	354	674	997	400
129	268	352	669	323	965
130	269	472	667	756	712
131	270	803	665	759	963
132	271	268	662	320	338
133	273	622	660	762	716
134	274	709	654	162	409
135	275	711	651	764	955
136	276	718	650	161	954
137	280	720	649	336	353
138	304	723	644	771	445
139	307	193	642	772	749
140	299	727	631	773	446
141	350	190	489	154	122
142	348	188	507	153	782
143	345	733	482	152	530
144	326	734	483	782	256
145	327	738	417	143	536
146	344	739	416	139	541
147	330	752	415	344	255
148	336	705	414	791	548
149	331	753	412	996	583
150	342	760	409	587	550
151	333	761	403	127	553
152	341	765	401	801	826
153	334	769	420	126	590
154	339	770	394	803	824
155	338	773	390	754	821
156	308	777	385	753	557
157	325	163	384	164	579
158	335	784	381	751	818
159	323	162	380	532	245
160	309	789	379	191	815
161	354	790	377	531	794
162	353	799	373	725	108
163	311	158	372	752	810
164	352	174	391	728	240
165	312	263	421	324	804
166	316	425	419	194	798
167	318	694	428	731	556
168	351	628	461	733	853
169	320	629	423	718	282
170	322	260	462	180	771
171	317	631	458	528	447
172	709	255	456	418	449
173	860	644	464	742	634
174	257	646	452	744	631
175	8	651	466	710	135
176	267	248	471	747	49
177	349	653	436	524	906
178	803	235	476	712	317
179	884	234	433	721	59
180	159	232	477	128	465
181	801	661	430	819	315
182	916	696	897	809	890
183	907	664	463	314	755
184	924	668	5	4	887
185	660	229	510	184	618
186	319	671	339	408	881
187	66	226	68	613	75
188	549	675	833	355	762
189	585	676	327	836	763
190	690	224	746	839	294
191	441	682	260	53	865
192	544	216	447	357	599
193	540	688	887	639	862
194	445	212	601	478	860
195	46	210	952	169	287
196	963	692	877	560	82
197	218	209	672	784	285
198	40	665	0	67	40
199	251	999	169	745	512
200	947	650	312	612	525
201	102	297	808	509	527
202	974	299	314	507	543
203	911	195	509	427	552
204	92	304	375	428	554
205	879	185	365	431	559
206	44	670	392	423	562
207	902	305	396	434	566
208	78	527	397	417	670
209	38	678	355	442	668
210	62	679	353	416	658
211	100	182	351	395	653
212	746	180	426	391	651
213	856	179	429	470	646
214	607	307	432	390	997
215	613	689	434	472	636
216	411	690	348	473	620
217	407	621	346	381	616
218	624	524	448	479	614
219	647	619	449	480	603
220	589	225	450	482	591
221	657	275	454	485	588
222	665	567	343	486	625
223	364	578	474	369	485
224	861	278	333	359	496
225	680	279	478	499	461
226	681	265	332	500	450
227	248	284	485	354	460
228	369	557	488	503	438
229	439	586	326	504	453
230	440	257	504	508	456
231	442	555	998	614	484
232	505	593	624	607	468
233	517	553	619	619	473
234	502	598	636	694	454
235	500	600	239	214	427
236	524	551	196	270	441
237	496	236	189	707	429
238	537	603	754	425	479
239	539	231	757	206	426
240	490	230	762	716	436
241	551	606	769	203	476
242	558	607	772	723	443
243	568	288	777	724	388
244	458	618	170	726	302
245	573	104	168	201	703
246	453	693	784	223	85
247	696	308	785	738	617
248	699	502	786	186	706
249	249	328	787	761	809
250	229	134	165	767	107
251	783	806	163	768	80
252	238	334	791	774	624
253	807	132	793	777	60
254	808	131	796	173	970
255	810	130	797	779	47
256	821	335	802	786	693
257	827	819	155	157	639
258	144	488	805	789	399
259	139	122	806	796	36
260	838	823	735	188	981
261	840	121	198	691	32
262	841	573	737	703	835
263	842	830	201	243	23
264	130	484	643	255	402
265	849	833	652	251	660
266	850	113	232	259	413
267	125	997	658	641	73
268	777	837	661	643	120
269	759	482	663	650	586
270	158	106	666	688	612
271	745	503	668	238	305
272	227	521	673	667	278
273	226	787	220	232	766
274	714	779	680	669	504
275	752	173	681	628	477
276	725	704	683	231	316
277	559	170	218	678	244
278	737	708	1	228	899
279	734	167	716	682	789
280	443	721	202	621	524
281	694	513	205	684	218
282	852	728	704	685	336
283	685	159	212	673	421
284	520	732	715	631	212
285	521	735	718	160	210
286	48	736	697	62	740
287	56	737	361	793	738
288	136	511	741	436	544
289	80	742	932	135	924
290	632	322	775	537	355
291	715	152	755	295	364
292	636	149	714	740	573
293	672	147	774	200	578
294	366	144	536	674	724
295	213	768	684	870	939
296	659	326	909	981	442
297	578	776	783	995	805
298	529	504	826	856	711
299	839	695	734	316	213
300	467	351	317	545	376
301	996	361	340	546	944
302	6	365	183	549	46
303	9	369	179	556	930
304	988	379	178	559	840
305	986	287	167	561	145
306	479	177	12	563	307
307	12	165	16	287	295
308	983	151	18	286	220
309	980	3	20	278	215
310	979	22	24	277	211
311	480	25	32	831	698
312	977	27	40	578	570
313	16	28	41	583	701
314	483	31	43	518	207
315	674	33	44	594	203
316	969	35	79	515	301
317	967	37	350	498	720
318	661	47	96	400	721
319	964	48	104	399	722
320	220	60	105	419	196
321	31	61	115	421	195
322	957	62	118	392	191
323	491	63	126	387	743
324	217	68	128	379	683
325	451	78	136	441	682
326	501	83	143	452	587
327	506	89	148	455	235
328	562	90	150	358	275
329	766	92	166	463	264
330	710	97	103	465	262
331	142	115	356	469	260
332	818	118	315	349	627
333	888	128	363	476	259
334	599	135	587	481	633
335	815	146	589	348	254
336	149	384	590	488	745
337	151	387	604	490	643
338	152	398	610	343	647
339	602	404	611	339	279
340	749	579	612	596	280
341	610	580	616	495	657
342	755	582	625	271	662
343	791	584	626	599	239
344	758	589	628	719	289
345	164	591	646	737	673
346	372	595	670	739	645
347	784	604	675	175	309
348	782	605	677	763	0
349	172	614	679	165	754
350	776	623	689	770	152
351	173	634	711	780	823
352	174	638	726	788	518
353	620	640	727	794	806
354	622	643	756	800	801
355	180	659	763	132	159
356	634	672	764	125	545
357	593	681	766	810	791
358	412	685	778	813	790
359	637	698	585	814	787
360	712	701	576	119	786
361	645	706	600	114	785
362	874	725	564	112	814
363	873	741	371	829	775
364	567	757	382	193	776
365	239	786	402	708	531
366	195	800	413	717	756
367	639	577	439	657	757
368	592	809	465	637	177
369	193	575	475	706	837
370	728	561	479	239	146
371	847	405	571	244	325
372	846	406	517	671	167
373	857	410	529	676	773
374	223	416	530	635	329
375	192	421	490	681	774
376	813	435	538	679	169
377	741	443	560	698	257
378	507	448	544	700	134
379	107	459	543	202	635
380	519	460	534	615	615
381	658	995	999	199	327
382	618	475	535	611	842
383	705	477	537	265	137
384	721	481	286	209	848
385	601	487	370	816	290
386	862	491	321	235	340
387	654	501	36	447	497
388	482	506	981	949	870
389	18	509	618	466	320
390	124	519	149	551	950
391	724	520	77	28	345
392	679	529	950	511	103
393	678	534	157	330	204
394	942	540	282	376	201
395	79	542	137	576	764
396	247	543	316	655	838
397	391	554	255	217	74
398	671	570	974	396	816
399	162	998	357	826	507
400	438	67	269	911	909
401	460	926	272	961	341
402	435	943	31	973	913
403	240	970	279	46	915
404	396	29	280	65	851
405	434	24	283	903	347
406	395	88	288	21	904
407	242	968	289	901	50
408	461	933	98	898	926
409	244	73	298	976	929
410	246	936	300	958	39
411	394	93	299	88	356
412	401	917	27	120	941
413	231	939	290	865	945
414	889	100	292	525	44
415	105	913	291	527	466
416	555	14	37	529	321
417	896	911	9	272	563
418	97	910	955	256	170
419	408	107	929	252	705
420	402	908	930	241	849
421	221	70	994	234	688
422	81	985	25	564	297
423	2	429	965	567	685
424	13	838	900	568	680
425	17	886	34	233	675
426	20	564	42	572	186
427	978	569	50	575	515
428	497	310	53	591	190
429	955	583	30	224	663
430	432	590	975	220	288
431	409	596	980	523	209
432	952	294	914	867	630
433	54	611	22	520	521
434	938	627	925	505	626
435	57	630	46	383	621
436	60	635	918	373	533
437	929	649	29	353	606
438	426	662	961	410	600
439	918	277	82	414	546
