	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	700	381	668	584	924
101	702	623	667	581	923
102	559	65	679	580	514
103	229	221	981	578	60
104	654	406	458	572	485
105	230	692	681	563	696
106	231	271	683	562	961
107	268	24	684	559	995
108	267	17	280	558	1
109	599	461	464	556	600
110	263	652	465	553	990
111	261	464	662	544	204
112	613	646	283	543	7
113	274	466	708	542	789
114	595	448	705	613	986
115	593	470	946	617	985
116	592	235	894	620	10
117	624	36	483	621	308
118	589	643	482	685	464
119	626	957	246	684	449
120	296	232	250	681	484
121	588	505	37	679	15
122	584	40	702	678	466
123	282	41	32	676	976
124	240	688	253	674	448
125	636	275	255	673	790
126	239	410	660	672	667
127	639	276	412	671	666
128	582	482	485	667	690
129	284	669	228	541	665
130	645	459	890	664	478
131	234	404	273	654	30
132	233	213	350	644	664
133	648	779	833	643	310
134	577	908	313	641	964
135	280	842	831	640	978
136	819	840	828	638	321
137	706	345	157	637	517
138	557	603	584	632	914
139	777	661	822	630	552
140	779	193	585	628	129
141	322	143	820	625	130
142	148	561	589	659	132
143	147	192	816	537	240
144	522	563	167	534	860
145	785	826	812	530	743
146	787	823	769	433	607
147	788	755	620	432	608
148	142	185	614	431	389
149	141	156	330	427	561
150	795	184	787	425	386
151	520	761	788	423	769
152	801	322	779	421	850
153	138	765	333	419	848
154	270	767	761	416	215
155	805	768	182	414	227
156	806	804	615	408	844
157	807	183	775	434	756
158	808	171	598	403	378
159	135	308	802	399	757
160	134	789	803	396	156
161	813	787	595	393	583
162	327	305	605	392	759
163	127	784	149	390	160
164	816	604	574	383	830
165	517	738	310	381	823
166	319	547	368	379	868
167	152	737	869	378	127
168	774	210	370	374	241
169	535	510	872	364	182
170	192	511	873	400	639
171	298	89	874	355	718
172	555	91	544	435	521
173	187	894	875	441	190
174	715	618	301	524	804
175	186	94	326	523	94
176	185	889	229	517	904
177	300	204	532	515	604
178	550	97	643	513	327
179	180	98	888	505	408
180	549	883	746	504	256
181	725	365	891	503	187
182	727	622	747	495	105
183	707	728	550	488	359
184	728	200	630	487	254
185	737	530	757	436	534
186	172	112	568	486	535
187	741	733	565	474	111
188	742	533	214	465	888
189	168	118	358	459	536
190	167	357	546	455	541
191	164	734	849	453	401
192	163	536	853	452	119
193	758	537	217	450	731
194	159	858	362	449	606
195	539	539	751	448	877
196	766	606	750	447	812
197	767	352	366	446	627
198	304	608	137	479	186
199	999	263	835	507	785
200	453	400	116	267	430
201	451	401	23	373	955
202	505	405	118	369	40
203	506	407	844	367	51
204	507	437	428	363	57
205	511	436	842	359	38
206	573	435	361	358	497
207	571	434	535	270	963
208	570	433	536	354	438
209	568	304	353	353	64
210	566	307	545	352	933
211	565	440	347	273	87
212	563	427	344	347	420
213	562	315	556	346	928
214	560	416	340	340	74
215	558	321	363	545	441
216	556	324	572	214	503
217	554	412	592	212	442
218	552	411	596	138	970
219	446	408	599	719	78
220	551	424	314	718	507
221	547	725	604	717	84
222	544	527	606	139	25
223	542	529	309	715	468
224	541	664	612	708	997
225	540	202	617	149	120
226	538	660	327	152	306
227	529	659	618	153	884
228	527	658	365	702	630
229	525	656	519	701	629
230	524	653	432	155	626
231	519	649	421	698	255
232	518	648	420	697	624
233	512	640	439	695	338
234	548	635	447	693	631
235	445	209	450	723	617
236	443	212	452	691	616
237	442	630	410	135	762
238	366	628	457	134	763
239	365	665	522	763	225
240	364	667	469	761	765
241	361	668	475	117	610
242	358	670	386	758	754
243	356	174	491	757	332
244	354	709	494	120	267
245	353	708	497	121	638
246	352	706	379	751	675
247	351	704	377	745	305
248	350	701	509	744	315
249	349	177	371	742	663
250	345	217	398	740	688
251	368	694	843	738	297
252	344	182	621	737	660
253	335	687	625	735	695
254	331	188	227	131	319
255	330	195	220	132	653
256	326	196	726	297	289
257	323	677	727	767	702
258	318	201	212	682	650
259	317	691	734	657	283
260	316	528	207	597	282
261	311	621	744	596	774
262	309	611	755	594	885
263	308	253	715	591	353
264	303	254	764	193	211
265	299	564	771	583	840
266	342	255	777	198	381
267	575	557	176	199	151
268	369	256	793	573	562
269	374	257	805	567	855
270	441	552	807	206	553
271	440	551	150	565	380
272	439	260	147	208	858
273	438	548	141	561	134
274	435	545	187	209	867
275	432	542	624	211	396
276	431	540	230	551	543
277	430	535	710	598	878
278	429	569	299	670	883
279	428	570	298	191	139
280	424	252	289	186	837
281	420	574	288	656	827
282	415	607	272	655	167
283	372	605	651	648	786
284	413	598	652	639	207
285	408	227	656	166	591
286	406	229	262	629	590
287	405	230	712	173	196
288	404	591	258	619	361
289	402	219	249	175	194
290	401	590	247	614	362
291	399	231	675	179	805
292	398	582	676	180	188
293	395	581	677	607	178
294	391	580	243	183	365
295	388	579	696	184	579
296	384	578	698	185	819
297	380	577	232	603	369
298	412	589	670	600	212
299	494	486	0	3	152
300	13	309	989	424	317
301	16	332	990	472	316
302	17	334	7	349	312
303	20	335	5	19	311
304	56	32	404	975	309
305	974	83	29	976	460
306	973	970	466	17	331
307	972	979	391	476	333
308	471	923	387	478	402
309	383	87	381	330	444
310	930	20	382	50	445
311	970	914	930	351	443
312	932	72	46	934	340
313	914	982	454	53	339
314	84	16	880	930	336
315	663	35	42	55	337
316	872	917	944	490	446
317	641	11	448	306	447
318	640	10	948	721	951
319	637	50	949	884	427
320	177	913	440	203	949
321	173	52	438	781	498
322	165	911	385	782	47
323	248	958	35	650	954
324	729	6	958	256	107
325	623	953	936	194	472
326	620	75	126	788	505
327	743	56	106	779	545
328	745	64	616	789	450
329	746	421	286	260	983
330	619	101	204	615	544
331	749	285	733	261	456
332	257	596	409	262	477
333	760	293	741	800	455
334	708	294	723	802	513
335	610	297	198	606	19
336	238	576	296	793	515
337	235	302	196	215	453
338	666	303	195	653	973
339	222	554	762	774	941
340	213	534	770	710	423
341	211	328	587	706	451
342	206	329	754	233	11
343	655	508	718	232	421
344	682	504	717	231	701
345	651	502	714	229	896
346	685	354	655	228	634
347	687	497	658	754	636
348	198	442	661	224	643
349	197	445	640	252	228
350	692	384	240	253	787
351	694	377	672	765	776
352	195	370	636	219	649
353	699	474	686	675	335
354	194	283	233	771	246
355	237	368	277	669	764
356	269	478	629	773	247
357	778	366	221	271	345
358	602	483	699	885	662
359	841	487	626	601	262
360	569	363	213	811	330
361	567	496	181	289	264
362	844	477	510	855	671
363	845	644	179	539	462
364	101	695	782	291	674
365	849	696	839	533	280
366	96	812	534	92	727
367	854	150	132	863	722
368	855	825	533	97	687
369	858	828	336	867	302
370	860	831	649	871	260
371	91	146	328	874	403
372	88	168	529	875	622
373	868	134	341	527	814
374	87	131	863	878	393
375	502	860	867	83	887
376	840	864	868	880	875
377	839	868	348	716	873
378	576	881	108	101	382
379	836	885	525	848	145
380	781	133	540	847	148
381	601	92	834	276	150
382	783	173	541	570	853
383	784	777	581	126	374
384	598	705	177	823	849
385	798	714	172	281	621
386	803	722	789	123	373
387	811	736	791	568	597
388	873	199	579	566	836
389	116	741	169	829	367
390	113	790	163	112	364
391	112	742	569	560	603
392	285	751	561	110	363
393	823	190	560	109	176
394	827	753	559	108	360
395	830	179	824	839	615
396	107	771	553	285	192
397	833	773	552	846	195
398	114	194	781	274	592
399	97	769	739	88	585
400	461	248	417	333	492
401	258	360	416	405	491
402	55	325	415	247	489
403	259	388	414	245	486
404	54	284	413	244	483
405	53	288	407	278	480
406	266	398	403	407	479
407	52	413	374	395	476
408	48	262	402	409	473
409	275	266	400	257	469
410	276	392	397	259	465
411	281	415	396	264	463
412	46	402	394	394	461
413	40	267	392	251	301
414	307	268	390	391	409
415	41	418	384	410	26
416	295	269	383	239	404
417	4	270	380	412	356
418	43	395	401	241	355
419	320	414	312	277	347
420	292	272	999	275	39
421	289	419	263	242	42
422	287	273	282	397	343
423	460	393	279	272	44
424	283	258	290	377	329
425	45	278	244	387	328
426	291	279	264	376	326
427	426	261	252	941	325
428	2	932	292	337	46
429	58	4	241	6	322
430	912	429	278	8	320
431	913	995	251	994	49
432	979	988	239	473	307
433	916	2	303	945	304
434	918	359	234	475	406
435	37	44	304	963	368
436	925	369	261	29	357
437	38	441	308	960	391
438	963	22	266	54	28
439	960	981	306	32	400
