	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	168	406	98	472	878
101	239	309	35	144	870
102	226	347	306	989	280
103	942	777	662	606	339
104	635	530	626	238	187
105	768	770	612	5	899
106	135	487	68	748	356
107	779	75	677	641	82
108	880	36	926	349	495
109	99	201	907	262	369
110	620	757	672	400	396
111	903	192	48	800	891
112	291	801	555	760	326
113	839	436	658	672	647
114	318	768	686	735	111
115	911	422	651	427	745
116	80	102	650	710	315
117	97	670	859	673	240
118	309	667	851	53	430
119	2	933	937	447	118
120	888	368	553	632	849
121	267	65	779	777	345
122	565	352	278	139	500
123	841	303	116	889	427
124	445	605	385	253	671
125	649	372	856	983	769
126	781	195	595	724	521
127	490	527	962	131	262
128	374	97	264	560	145
129	991	132	654	399	228
130	988	415	642	348	254
131	648	441	620	676	973
132	336	369	314	305	207
133	282	580	681	726	786
134	699	779	878	674	556
135	502	803	197	201	78
136	153	294	676	643	926
137	56	342	663	203	884
138	560	595	82	601	327
139	954	643	184	478	164
140	180	482	727	279	727
141	91	503	715	754	344
142	767	308	643	235	478
143	524	665	191	968	453
144	165	269	784	621	330
145	893	808	396	856	770
146	743	997	377	29	626
147	774	502	36	740	821
148	8	500	593	487	108
149	845	584	699	453	734
150	809	414	115	731	710
151	308	442	887	379	311
152	517	310	509	974	658
153	745	356	286	737	592
154	503	345	579	791	170
155	173	573	187	987	638
156	118	497	330	942	717
157	88	60	608	307	774
158	584	100	410	578	974
159	563	614	412	615	497
160	918	285	106	425	364
161	372	577	181	715	372
162	538	147	670	918	329
163	910	433	8	738	32
164	706	951	471	839	624
165	326	33	384	465	444
166	734	268	538	703	477
167	344	948	373	18	191
168	442	377	844	434	271
169	932	412	195	991	377
170	590	676	350	480	237
171	573	994	961	611	138
172	163	542	550	821	718
173	77	50	186	789	896
174	369	536	745	785	695
175	428	271	465	428	168
176	728	40	788	271	697
177	368	424	605	725	711
178	589	694	370	286	857
179	554	448	930	681	988
180	838	407	596	80	480
181	81	736	234	768	949
182	737	180	890	694	215
183	974	524	710	462	669
184	822	719	667	584	128
185	123	621	636	853	498
186	349	677	448	261	715
187	592	94	227	782	785
188	497	359	334	981	567
189	542	653	592	377	0
190	53	62	785	997	530
191	708	554	522	215	512
192	286	650	666	624	420
193	54	490	421	669	729
194	672	263	437	926	917
195	138	596	794	504	650
196	705	32	653	935	961
197	571	379	261	617	132
198	48	226	726	982	819
199	192	539	65	773	156
200	460	509	716	324	610
201	500	911	669	383	454
202	709	162	789	185	288
203	521	24	601	77	282
204	937	887	202	228	653
205	541	287	848	860	213
206	480	564	718	905	887
207	696	623	846	126	740
208	558	248	750	358	85
209	529	495	754	525	192
210	33	648	449	625	763
211	983	787	755	829	693
212	391	593	783	6	374
213	854	790	703	572	773
214	760	165	467	37	612
215	323	604	136	948	139
216	632	760	114	455	724
217	803	687	877	976	528
218	155	725	5	121	419
219	970	103	266	216	515
220	870	646	616	653	36
221	64	25	981	767	674
222	352	537	252	675	814
223	458	649	525	803	106
224	162	49	316	599	721
225	213	634	47	114	442
226	127	508	86	744	1
227	235	41	9	934	629
228	186	217	983	778	583
229	660	514	404	797	305
230	124	439	263	11	375
231	827	174	341	930	826
232	683	167	545	752	451
233	341	672	777	929	390
234	351	70	172	667	63
235	371	908	347	132	436
236	980	106	599	276	579
237	280	695	279	503	465
238	227	578	31	670	789
239	114	392	182	69	450
240	577	739	791	728	333
241	692	752	101	338	264
242	411	334	158	614	61
243	427	279	109	757	306
244	345	370	327	654	709
245	283	273	621	66	431
246	704	850	355	943	25
247	102	845	452	863	639
248	18	659	638	446	846
249	230	107	105	630	771
250	164	968	141	102	636
251	596	203	344	143	951
252	552	618	950	493	62
253	925	235	392	872	883
254	979	765	289	774	462
255	637	385	169	620	607
256	402	431	531	347	634
257	527	988	589	706	107
258	997	520	565	697	9
259	624	329	38	796	448
260	617	136	268	523	502
261	438	812	508	72	218
262	746	384	488	390	195
263	777	354	32	707	554
264	217	466	357	897	621
265	794	660	74	961	429
266	729	511	387	682	55
267	532	328	661	94	307
268	766	260	391	3	524
269	677	671	153	693	360
270	681	662	46	745	622
271	268	267	425	993	148
272	688	754	94	845	441
273	659	521	462	648	308
274	462	741	371	339	606
275	795	437	546	659	309
276	568	477	176	208	981
277	836	891	291	260	443
278	546	583	577	849	738
279	304	501	459	46	439
280	856	728	379	603	203
281	348	734	768	809	856
282	299	635	569	938	137
283	700	565	870	524	703
284	598	23	530	708	603
285	713	678	512	609	893
286	674	979	617	762	411
287	702	510	154	580	302
288	694	669	523	92	504
289	550	737	273	944	935
290	139	213	242	448	544
291	271	277	646	405	536
292	441	326	352	495	357
293	816	315	821	217	581
294	330	600	161	441	386
295	67	255	339	466	150
296	512	230	383	449	552
297	24	305	625	153	615
298	62	388	420	541	160
299	801	893	23	421	373
300	385	73	758	859	518
301	172	252	450	23	591
302	844	257	649	917	968
303	362	682	476	719	400
304	75	555	167	85	842
305	597	121	604	597	162
306	234	585	504	784	618
307	566	387	730	128	98
308	930	440	873	878	645
309	327	488	367	333	844
310	73	661	811	941	391
311	248	807	805	234	662
312	852	912	313	32	907
313	599	143	482	116	244
314	467	457	422	54	425
315	690	176	434	135	914
316	722	822	416	138	977
317	52	458	428	67	946
318	117	227	240	110	797
319	646	156	430	607	782
320	45	223	221	437	219
321	595	398	763	753	701
322	70	865	853	600	719
323	611	675	201	313	399
324	249	686	498	657	979
325	791	459	914	671	225
326	141	419	900	832	204
327	562	358	380	558	936
328	238	478	207	108	541
329	483	150	891	184	246
330	907	430	382	566	435
331	406	240	178	960	617
332	752	688	514	742	903
333	610	266	624	264	120
334	276	651	513	410	915
335	518	842	883	528	324
336	665	607	2	602	970
337	900	567	198	373	69
338	108	919	561	758	682
339	741	48	529	223	513
340	288	324	398	684	382
341	401	112	490	278	959
342	105	714	457	951	766
343	126	135	216	355	267
344	607	690	146	435	942
345	489	890	904	718	685
346	387	88	366	490	472
347	294	773	572	544	864
348	652	63	526	712	572
349	214	141	436	252	190
350	725	606	590	848	239
351	380	138	952	212	840
352	623	445	368	531	919
353	898	151	793	112	316
354	494	170	615	499	868
355	285	723	935	664	127
356	601	692	111	97	134
357	618	552	882	306	735
358	287	460	45	164	154
359	339	402	795	650	260
360	511	467	230	186	641
361	205	219	475	47	796
362	583	569	597	21	548
363	758	311	747	450	823
364	384	786	948	780	863
365	187	862	351	408	409
366	912	291	510	352	722
367	710	52	999	583	16
368	415	124	674	311	998
369	195	581	769	476	757
370	873	608	641	486	355
371	821	350	210	698	328
372	642	918	170	56	182
373	407	689	260	33	418
374	973	161	803	536	930
375	785	961	558	219	941
376	100	472	552	482	220
377	193	302	401	136	578
378	103	57	868	106	945
379	76	582	255	274	733
380	396	286	629	788	456
381	539	225	299	285	643
382	662	640	852	700	698
383	358	622	359	226	423
384	850	834	753	423	944
385	798	838	214	567	675
386	622	744	262	542	985
387	609	44	249	82	991
388	136	408	808	514	424
389	634	481	217	8	94
390	420	56	587	79	726
391	367	504	348	214	496
392	626	2	897	342	130
393	148	261	541	86	983
394	666	173	250	28	93
395	158	603	872	198	894
396	655	262	614	173	568
397	0	932	211	419	776
398	110	91	310	629	447
399	356	427	675	598	421
400	819	548	296	193	212
401	846	499	304	7	860
402	174	589	824	337	913
403	405	299	429	270	394
404	331	685	533	422	11
405	807	122	212	515	404
406	763	742	756	91	667
407	909	179	751	273	955
408	682	304	485	367	42
409	953	270	782	236	950
410	891	364	280	442	635
411	548	404	814	529	960
412	896	730	772	364	476
413	716	733	863	562	15
414	84	942	407	26	256
415	556	197	827	65	483
416	707	709	534	291	687
417	687	519	25	431	665
418	922	474	208	156	39
419	555	837	885	43	850
420	969	232	899	836	19
421	185	182	72	556	862
422	996	184	451	867	141
423	712	340	544	527	571
424	641	753	232	843	630
425	544	10	233	245	867
426	66	738	918	716	486
427	833	83	499	60	367
428	167	351	820	870	119
429	915	629	757	764	361
430	6	789	21	233	992
431	229	840	362	180	787
432	484	804	836	779	925
433	549	540	739	452	608
434	439	93	693	723	558
435	849	283	630	530	230
436	899	769	30	798	255
437	640	904	77	38	57
438	459	410	333	432	702
439	714	708	403	510	562
