	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	374	530	504	716	160
101	307	252	996	583	228
102	431	284	828	654	546
103	440	60	826	596	219
104	298	279	372	659	669
105	387	255	375	33	461
106	60	184	768	418	719
107	284	448	244	856	504
108	150	422	232	329	662
109	22	309	930	162	870
110	125	398	457	997	307
111	505	189	181	255	427
112	808	669	464	731	171
113	114	269	976	524	451
114	595	511	712	797	533
115	338	595	416	839	622
116	655	695	525	791	324
117	73	305	689	400	680
118	318	210	878	774	289
119	251	168	835	981	824
120	399	132	308	244	643
121	97	694	892	783	618
122	407	74	758	908	500
123	309	910	142	785	162
124	227	536	675	267	951
125	406	419	960	780	36
126	383	383	630	504	369
127	116	418	537	584	587
128	539	295	755	726	505
129	562	506	149	390	125
130	101	61	811	226	28
131	791	67	30	265	187
132	485	551	415	653	801
133	263	392	775	50	597
134	411	32	53	559	558
135	217	470	422	987	422
136	613	545	572	786	73
137	719	106	385	733	163
138	300	50	564	493	789
139	654	534	611	748	372
140	55	217	885	803	463
141	609	311	436	926	82
142	722	387	201	852	262
143	107	466	526	730	439
144	469	223	359	845	404
145	70	192	131	408	296
146	283	161	509	936	512
147	453	262	172	745	530
148	443	187	176	632	826
149	470	452	636	375	462
150	496	97	217	747	431
151	439	318	918	724	521
152	139	968	843	643	85
153	206	10	425	753	25
154	803	590	585	339	121
155	506	708	968	239	302
156	429	664	587	754	394
157	214	176	707	768	755
158	154	605	246	428	239
159	484	321	560	419	365
160	551	472	465	307	137
161	864	735	370	486	168
162	785	234	355	773	278
163	574	372	778	26	246
164	117	44	187	897	541
165	522	840	523	974	629
166	113	484	988	737	46
167	86	190	672	208	2
168	186	908	894	436	436
169	388	203	314	942	345
170	248	73	737	808	316
171	859	777	974	657	295
172	234	486	497	453	145
173	512	355	620	215	515
174	817	257	979	760	355
175	322	442	727	392	715
176	915	650	195	490	750
177	602	29	875	761	968
178	891	103	250	434	645
179	560	357	653	216	987
180	401	719	31	702	453
181	656	562	784	765	743
182	385	438	233	458	636
183	24	643	301	531	468
184	458	498	532	35	527
185	822	918	417	863	733
186	910	734	652	664	305
187	45	739	951	685	671
188	339	505	541	655	308
189	932	49	759	12	721
190	729	760	577	712	182
191	415	194	753	427	170
192	344	401	95	966	120
193	811	608	839	234	327
194	76	326	844	588	408
195	81	496	163	970	411
196	854	618	544	277	10
197	231	981	628	611	63
198	176	593	299	995	995
199	397	25	401	957	400
200	618	216	203	813	657
201	970	201	5	212	390
202	746	388	198	973	237
203	226	226	101	241	489
204	124	640	170	570	40
205	748	436	852	814	333
206	428	310	937	42	893
207	912	350	128	830	76
208	660	596	857	479	976
209	734	770	469	578	724
210	333	721	880	8	267
211	755	495	202	964	442
212	529	942	522	41	524
213	270	400	207	625	592
214	308	352	189	243	825
215	336	407	72	614	247
216	285	421	492	874	785
217	584	659	79	61	616
218	845	628	890	79	653
219	957	443	493	682	853
220	275	793	825	500	820
221	84	583	306	169	906
222	745	412	236	160	774
223	269	724	858	628	763
224	593	482	946	328	317
225	842	425	580	295	329
226	295	268	475	10	944
227	258	584	898	378	699
228	420	644	662	200	215
229	286	865	935	43	617
230	988	753	191	482	703
231	326	427	568	762	367
232	895	520	681	958	124
233	216	773	404	603	106
234	725	411	228	224	688
235	622	621	558	111	626
236	857	444	380	469	612
237	244	580	530	94	445
238	490	429	512	598	651
239	983	779	728	397	211
240	151	524	213	905	666
241	467	297	658	152	332
242	103	140	732	355	816
243	680	671	665	816	375
244	801	653	16	811	731
245	827	665	953	157	709
246	527	283	623	247	325
247	461	553	470	835	385
248	190	72	932	394	603
249	368	434	571	971	151
250	541	356	669	547	610
251	345	395	917	940	859
252	639	614	151	102	59
253	627	589	614	719	483
254	348	83	454	866	26
255	694	433	897	708	884
256	266	95	86	597	776
257	11	826	421	252	337
258	906	213	241	358	523
259	870	460	877	264	213
260	168	266	613	417	359
261	369	137	853	67	86
262	672	144	814	164	535
263	68	803	733	602	646
264	173	459	373	455	791
265	364	431	239	325	319
266	109	606	439	615	236
267	341	458	959	706	846
268	592	42	466	859	633
269	685	197	907	228	591
270	442	601	999	336	516
271	641	135	467	601	132
272	451	661	366	188	218
273	937	905	114	58	675
274	739	385	677	126	185
275	56	3	204	470	683
276	648	733	666	30	297
277	88	526	358	314	398
278	554	122	349	229	734
279	674	288	874	134	484
280	677	337	120	39	845
281	712	62	447	114	424
282	144	325	989	120	24
283	555	174	7	517	520
284	740	440	456	381	288
285	752	776	633	508	341
286	164	91	901	289	557
287	72	607	148	347	15
288	293	585	321	279	553
289	181	957	574	510	128
290	538	670	476	14	795
291	721	768	697	22	284
292	358	219	391	975	159
293	434	384	529	209	306
294	455	47	788	55	552
295	40	253	680	178	501
296	112	315	173	903	819
297	62	369	381	220	186
298	238	270	394	606	192
299	136	402	81	437	223
300	582	134	449	132	418
301	659	852	793	405	930
302	683	22	234	441	588
303	240	332	693	487	981
304	430	807	604	496	177
305	235	842	816	138	749
306	158	864	824	728	164
307	709	830	47	143	615
308	611	102	360	306	929
309	162	843	702	801	498
310	807	911	104	513	685
311	777	932	641	156	828
312	977	11	593	449	420
313	524	1	316	466	786
314	192	953	489	88	522
315	367	212	45	693	318
316	550	445	791	944	754
317	80	946	227	225	377
318	601	862	846	503	119
319	665	304	106	73	583
320	130	510	822	562	935
321	776	940	40	848	75
322	67	504	514	155	430
323	708	260	605	367	240
324	758	980	841	777	49
325	18	565	924	217	563
326	918	276	601	54	913
327	460	198	356	320	663
328	715	741	854	374	971
329	578	919	861	446	851
330	8	736	770	794	593
331	841	923	870	3	946
332	714	224	258	193	969
333	633	723	386	515	64
334	122	93	105	819	762
335	172	952	161	694	973
336	984	537	565	38	294
337	681	497	624	580	695
338	503	16	291	846	647
339	612	714	344	166	19
340	483	787	785	245	513
341	634	121	698	332	600
342	177	656	352	179	321
343	642	138	280	65	836
344	108	455	448	352	761
345	645	79	803	917	988
346	893	754	621	671	554
347	911	317	981	144	732
348	990	23	779	448	14
349	271	162	205	612	712
350	924	366	14	638	895
351	282	652	158	91	863
352	548	660	400	650	259
353	294	880	795	294	146
354	843	722	337	530	536
355	71	801	589	460	210
356	852	906	507	798	549
357	511	812	383	4	745
358	4	686	616	779	658
359	471	820	440	218	726
360	661	487	777	675	903
361	620	928	723	907	543
362	768	368	686	338	770
363	879	894	269	95	855
364	202	749	262	285	582
365	975	19	36	101	797
366	720	285	35	31	844
367	779	704	434	72	667
368	565	750	459	139	950
369	964	53	769	231	979
370	281	449	368	60	837
371	195	868	282	481	285
372	412	604	631	565	245
373	772	850	362	865	13
374	647	296	925	545	806
375	663	979	450	826	717
376	899	757	196	136	909
377	929	115	249	681	32
378	577	361	251	410	758
379	495	992	312	951	655
380	502	188	167	86	867
381	2	165	802	423	396
382	996	430	432	674	874
383	809	240	660	52	207
384	760	845	618	173	203
385	482	603	296	119	414
386	479	14	103	505	311
387	586	877	555	498	953
388	376	737	224	849	469
389	229	727	255	884	472
390	141	381	661	350	602
391	830	857	141	465	696
392	666	554	679	414	924
393	882	151	615	330	716
394	960	569	361	569	214
395	688	502	154	543	902
396	836	997	21	354	960
397	991	623	317	961	7
398	671	271	350	604	257
399	366	2	836	875	766
400	257	958	339	391	506
401	180	934	310	46	271
402	489	582	377	532	639
403	626	895	268	757	425
404	610	235	326	49	384
405	559	415	726	373	480
406	814	825	673	833	673
407	590	988	531	555	485
408	540	804	654	656	854
409	598	728	746	911	421
410	417	752	872	887	127
411	763	492	82	536	466
412	330	678	762	431	339
413	567	435	273	396	382
414	375	359	126	770	585
415	616	893	705	474	423
416	858	474	398	377	821
417	874	12	330	56	326
418	167	56	716	823	818
419	569	823	27	691	815
420	38	629	741	333	492
421	520	591	821	475	191
422	320	307	32	452	781
423	878	539	451	442	964
424	940	873	46	784	310
425	737	600	944	520	631
426	974	441	22	96	344
427	246	718	438	836	391
428	391	340	0	276	949
429	157	881	221	854	865
430	384	515	584	925	624
431	395	156	76	793	590
432	619	27	92	395	429
433	147	915	252	433	235
434	146	378	68	7	531
435	501	293	165	670	87
436	209	329	683	640	635
437	210	51	703	889	457
438	127	904	579	929	889
439	596	917	433	34	67
