	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	924	495	936	305	965
101	407	909	998	307	500
102	501	457	498	311	33
103	928	492	426	329	536
104	103	914	493	332	1
105	500	915	932	336	445
106	62	410	47	369	944
107	497	29	48	377	531
108	59	59	955	392	40
109	56	263	514	394	80
110	411	868	432	396	936
111	413	285	90	399	436
112	48	216	960	407	515
113	104	701	434	412	985
114	837	704	485	418	75
115	380	213	415	239	926
116	628	287	68	238	457
117	218	210	523	235	939
118	624	290	525	229	76
119	215	694	26	4	924
120	213	714	944	9	439
121	737	719	910	19	422
122	739	293	77	32	505
123	740	203	410	35	63
124	741	724	439	41	949
125	211	591	519	42	974
126	622	590	422	48	520
127	209	734	686	54	295
128	746	736	103	57	105
129	752	718	304	67	228
130	204	608	753	425	766
131	311	223	754	80	769
132	312	690	232	91	771
133	223	646	312	94	220
134	634	653	314	109	344
135	714	658	745	136	333
136	230	640	761	155	625
137	274	257	316	160	787
138	275	256	317	170	345
139	679	253	644	185	210
140	281	667	643	199	353
141	282	668	214	202	795
142	655	270	641	215	203
143	249	273	763	82	786
144	287	276	781	836	798
145	613	621	741	428	237
146	246	681	244	447	326
147	242	619	279	697	695
148	238	618	698	702	686
149	292	279	680	707	289
150	641	225	705	715	287
151	294	283	261	718	702
152	707	737	260	730	703
153	709	738	663	733	751
154	710	585	710	737	674
155	694	194	715	738	278
156	873	554	717	747	316
157	195	552	718	752	729
158	767	151	723	756	733
159	141	150	727	759	655
160	140	147	296	772	740
161	139	146	255	778	715
162	361	143	205	788	201
163	136	648	204	789	197
164	565	341	332	791	618
165	845	138	358	793	139
166	123	131	592	797	394
167	554	130	361	803	134
168	856	848	843	809	396
169	372	850	844	811	563
170	549	352	145	691	126
171	548	853	835	688	572
172	110	357	366	664	125
173	109	359	367	657	122
174	870	867	861	453	401
175	546	557	565	460	402
176	567	106	870	463	115
177	830	322	385	487	403
178	351	799	879	496	552
179	576	193	580	503	559
180	612	302	155	504	857
181	193	752	160	513	689
182	318	753	161	523	587
183	189	754	628	524	616
184	320	755	789	531	809
185	331	187	195	431	360
186	176	579	189	532	606
187	333	767	803	556	178
188	766	308	617	563	372
189	798	769	616	572	826
190	585	770	808	577	595
191	162	771	811	583	830
192	808	777	614	599	836
193	809	574	613	611	837
194	159	573	610	614	375
195	579	176	348	635	162
196	155	173	350	643	160
197	817	793	599	656	844
198	341	565	887	545	103
199	721	486	461	997	735
200	907	442	402	297	989
201	81	421	315	276	59
202	87	411	328	450	721
203	38	970	449	265	990
204	88	969	334	328	513
205	34	35	336	471	421
206	969	400	327	452	271
207	970	398	333	324	419
208	33	392	326	323	685
209	972	478	330	456	683
210	18	49	337	320	523
211	957	508	323	264	647
212	462	387	321	319	682
213	729	482	320	314	914
214	842	52	318	470	527
215	394	53	448	313	423
216	559	932	32	312	9
217	562	379	86	310	50
218	387	378	404	455	671
219	384	377	82	267	308
220	584	926	35	306	666
221	362	63	536	270	297
222	593	90	22	316	16
223	598	119	37	330	969
224	603	358	994	424	298
225	345	605	983	423	285
226	616	281	450	10	964
227	342	201	937	478	709
228	339	721	20	53	945
229	620	601	475	976	961
230	623	723	980	427	912
231	322	196	532	500	712
232	557	195	423	961	498
233	555	596	19	448	954
234	396	735	530	959	688
235	537	739	529	442	430
236	458	189	510	31	47
237	475	294	512	954	657
238	482	584	447	970	983
239	445	583	526	18	13
240	442	705	535	975	797
241	490	757	483	434	902
242	439	696	373	449	464
243	431	691	545	978	762
244	316	650	182	981	763
245	505	252	342	47	377
246	429	649	341	983	239
247	511	248	340	984	583
248	998	644	339	941	230
249	428	260	631	261	842
250	518	670	795	870	629
251	427	266	793	536	591
252	524	268	640	325	168
253	525	227	787	794	592
254	507	628	208	298	170
255	307	271	651	648	775
256	304	622	221	781	365
257	296	614	662	780	176
258	777	212	669	294	223
259	778	692	750	774	626
260	780	761	674	768	218
261	187	773	675	670	624
262	788	170	677	674	214
263	795	107	683	761	191
264	180	524	289	281	612
265	177	103	693	679	810
266	776	864	263	745	195
267	173	102	282	685	615
268	815	866	708	693	675
269	818	351	807	244	856
270	158	520	898	251	382
271	827	519	812	703	859
272	152	875	344	262	257
273	836	515	894	814	534
274	150	880	104	930	799
275	148	355	106	620	541
276	168	356	109	162	896
277	844	510	553	922	543
278	764	651	564	72	544
279	748	121	383	81	106
280	295	843	380	555	545
281	285	840	379	559	891
282	672	307	858	93	890
283	674	569	374	560	749
284	676	567	584	106	86
285	677	801	368	885	111
286	271	310	847	108	755
287	267	804	362	874	393
288	749	318	841	872	127
289	257	91	158	578	128
290	251	155	165	580	562
291	248	824	352	863	389
292	708	540	611	856	633
293	247	134	170	596	241
294	244	536	618	348	140
295	239	535	176	846	141
296	234	533	346	831	385
297	745	839	817	157	240
298	253	820	623	824	554
299	999	434	499	3	0
300	412	324	217	272	312
301	46	325	216	282	310
302	57	22	236	275	309
303	941	360	264	342	307
304	484	354	883	343	306
305	65	350	268	271	305
306	66	347	306	287	304
307	932	23	303	260	303
308	931	345	301	289	461
309	495	343	300	259	460
310	22	24	299	285	462
311	405	364	266	291	455
312	420	342	292	939	336
313	40	27	964	55	335
314	401	340	290	739	447
315	510	337	288	644	448
316	31	335	298	934	449
317	915	28	283	935	456
318	973	332	280	60	450
319	517	329	278	529	331
320	912	328	269	52	406
321	911	326	277	654	328
322	953	95	272	537	329
323	910	101	286	615	451
324	71	85	273	228	454
325	67	440	892	731	330
326	663	51	962	6	453
327	112	50	961	7	479
328	645	948	951	480	42
329	642	25	888	481	443
330	303	972	948	247	502
331	308	13	924	466	466
332	633	987	897	710	549
333	453	10	895	712	411
334	646	992	929	716	408
335	323	83	935	717	524
336	742	88	904	943	10
337	743	204	900	964	950
338	625	894	0	962	533
339	619	603	875	676	87
340	760	315	467	274	446
341	618	317	464	34	988
342	220	578	459	673	82
343	712	334	451	511	418
344	705	551	436	672	987
345	704	550	420	671	465
346	660	547	409	541	85
347	666	545	382	945	706
348	283	346	353	505	114
349	276	361	310	405	813
350	681	363	309	391	338
351	683	365	291	400	636
352	657	521	252	852	643
353	656	366	228	849	645
354	688	371	213	848	791
355	293	502	203	193	332
356	692	384	184	845	781
357	298	388	181	843	774
358	259	497	178	358	773
359	702	401	168	594	209
360	703	416	166	188	249
361	768	419	114	796	327
362	376	430	105	353	761
363	774	460	59	152	662
364	611	459	44	352	264
365	843	445	24	350	745
366	142	616	7	605	275
367	849	291	479	349	318
368	661	629	885	165	727
369	556	286	509	184	311
370	552	893	541	619	292
371	147	873	865	812	658
372	371	124	856	612	340
373	860	133	814	134	816
374	124	852	797	286	819
375	118	136	796	587	893
376	117	161	783	584	567
377	114	823	782	395	397
378	113	817	779	760	883
379	859	808	775	179	877
380	571	168	774	901	384
381	829	786	770	95	581
382	352	760	769	892	381
383	781	904	746	208	585
384	200	751	744	101	588
385	610	728	728	102	867
386	330	727	707	331	705
387	602	217	704	884	863
388	191	709	689	883	157
389	601	222	681	112	851
390	801	695	666	375	608
391	185	693	649	116	362
392	592	688	638	569	845
393	348	678	621	570	840
394	589	240	590	337	185
395	588	261	589	779	186
396	586	643	555	125	355
397	578	284	552	339	823
398	205	733	538	131	108
399	997	472	999	996	469
400	454	234	478	472	473
401	451	277	477	469	472
402	446	254	476	419	341
403	443	232	471	465	468
404	8	439	470	459	444
405	4	231	469	446	442
406	397	255	375	441	441
407	17	236	463	437	438
408	20	437	458	436	435
409	354	436	456	435	433
410	41	444	454	433	429
411	353	267	452	432	426
412	43	435	440	426	463
413	350	265	437	462	337
414	349	275	433	357	368
415	344	272	430	995	302
416	37	262	462	279	319
417	338	269	372	273	290
418	335	433	400	338	296
419	334	503	250	293	320
420	44	940	351	256	321
421	327	493	347	295	322
422	326	923	355	340	315
423	45	998	356	344	294
424	319	2	249	346	301
425	336	501	247	253	284
426	364	997	357	255	324
427	356	500	253	334	325
428	366	412	359	245	283
429	395	924	343	278	424
430	393	975	360	277	425
431	391	951	251	347	431
432	389	443	349	243	687
433	388	31	258	354	673
434	385	20	363	39	427
435	383	33	262	748	235
436	27	962	365	925	953
437	375	67	246	994	530
438	96	981	370	217	556
439	374	483	313	539	942
