	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	520	701	290	852	394
101	727	677	612	789	504
102	942	858	530	422	751
103	471	918	512	480	50
104	281	646	289	976	178
105	774	204	616	635	150
106	562	346	333	997	693
107	413	584	278	459	139
108	181	911	241	392	454
109	998	486	768	255	264
110	480	457	81	184	592
111	72	179	698	541	245
112	613	459	926	157	912
113	912	760	315	18	425
114	325	709	858	9	40
115	399	577	789	164	645
116	269	272	380	673	122
117	535	627	348	162	126
118	610	919	313	412	289
119	843	436	423	836	853
120	873	16	771	986	773
121	808	686	741	261	643
122	238	845	316	726	517
123	541	506	620	367	128
124	739	631	565	536	176
125	312	820	885	679	228
126	632	784	434	682	856
127	651	635	189	328	688
128	688	622	398	154	924
129	350	842	381	523	182
130	31	843	960	493	541
131	467	291	384	239	666
132	330	539	90	609	620
133	712	905	777	348	191
134	671	738	273	797	353
135	56	297	7	409	795
136	672	535	907	434	422
137	579	511	998	974	868
138	755	50	436	737	515
139	497	57	375	352	606
140	785	755	260	803	588
141	636	690	717	375	987
142	318	789	821	821	338
143	612	653	758	641	963
144	915	508	163	733	121
145	230	942	210	209	786
146	501	248	793	478	503
147	304	554	686	329	573
148	123	695	205	819	702
149	124	769	532	81	497
150	663	83	796	4	647
151	910	490	490	271	312
152	45	73	24	245	562
153	165	682	980	754	733
154	285	41	447	407	203
155	486	475	232	672	170
156	707	799	906	773	414
157	270	719	817	82	527
158	619	425	328	657	909
159	816	352	875	310	638
160	275	203	452	405	447
161	271	801	641	34	715
162	246	258	705	987	977
163	395	2	769	798	316
164	195	736	778	971	673
165	845	779	925	316	729
166	768	273	422	86	16
167	795	168	255	565	804
168	434	598	660	849	558
169	388	131	739	453	536
170	22	257	37	782	305
171	746	628	861	712	703
172	139	705	428	294	382
173	142	287	47	779	942
174	104	562	41	793	93
175	864	146	944	730	721
176	209	400	391	982	531
177	592	531	895	549	75
178	585	694	828	721	641
179	714	608	53	369	15
180	420	793	400	702	556
181	251	302	514	377	431
182	617	658	45	35	480
183	435	445	774	615	396
184	776	308	385	942	411
185	856	890	870	710	791
186	549	325	304	131	307
187	725	255	601	396	254
188	234	472	680	791	308
189	407	67	213	531	448
190	641	234	652	856	138
191	362	569	546	731	968
192	215	49	677	707	209
193	598	672	696	619	168
194	81	478	244	845	660
195	442	474	654	235	13
196	957	725	932	400	695
197	569	285	673	437	658
198	554	106	666	770	595
199	408	321	887	774	954
200	979	893	454	428	625
201	590	405	611	119	255
202	114	3	663	961	246
203	844	295	27	753	460
204	694	418	968	91	718
205	779	33	714	829	402
206	9	671	437	55	297
207	18	196	19	509	294
208	375	573	726	685	502
209	901	536	661	364	699
210	956	78	846	85	33
211	267	430	961	431	140
212	96	240	812	215	73
213	924	88	504	262	389
214	210	667	35	688	19
215	658	40	61	12	668
216	495	140	1	48	49
217	983	826	148	659	100
218	900	91	153	391	332
219	258	13	179	788	665
220	609	688	176	715	758
221	424	42	140	339	618
222	116	665	808	915	727
223	126	739	974	399	812
224	24	735	737	640	376
225	102	768	485	496	520
226	73	708	236	543	385
227	485	115	568	524	745
228	666	527	74	794	709
229	136	147	438	884	806
230	996	932	681	650	961
231	634	591	416	26	355
232	505	466	96	559	815
233	988	162	125	584	818
234	805	415	779	66	749
235	674	750	787	314	524
236	71	151	142	885	766
237	239	808	249	432	810
238	728	128	536	379	457
239	974	824	513	446	761
240	737	70	614	77	917
241	764	267	873	984	936
242	766	537	712	756	801
243	932	724	109	226	51
244	273	839	9	863	445
245	429	23	145	724	685
246	734	669	755	152	333
247	625	767	239	740	824
248	683	310	373	671	442
249	232	908	358	126	686
250	93	266	382	784	386
251	821	94	649	136	893
252	583	271	261	611	590
253	777	326	197	596	419
254	576	618	615	191	496
255	512	693	958	8	655
256	677	551	541	256	705
257	257	112	727	418	774
258	893	408	811	739	877
259	783	643	571	505	259
260	427	504	279	898	809
261	962	305	26	93	950
262	880	681	689	606	726
263	767	770	795	96	819
264	568	981	854	423	845
265	593	431	636	260	210
266	584	915	243	504	39
267	655	515	390	751	7
268	317	733	665	481	899
269	307	387	841	694	636
270	745	914	598	273	47
271	445	704	710	801	953
272	91	448	195	706	443
273	525	579	86	846	633
274	164	288	155	47	260
275	237	427	824	128	583
276	599	754	68	703	339
277	703	503	288	537	310
278	868	776	631	981	554
279	571	866	377	716	465
280	151	286	250	165	988
281	308	482	352	588	614
282	780	217	585	763	530
283	483	260	589	620	512
284	52	171	653	427	377
285	162	605	191	102	525
286	352	165	638	768	285
287	339	950	72	355	974
288	521	421	604	307	675
289	108	848	509	297	162
290	385	809	216	643	10
291	642	614	844	421	311
292	953	434	707	270	105
293	384	442	584	267	895
294	758	334	420	614	127
295	76	113	392	556	998
296	274	957	754	208	844
297	86	509	535	49	506
298	333	524	843	178	629
299	75	411	555	599	195
300	827	502	868	202	380
301	778	987	872	448	915
302	89	52	981	929	571
303	861	195	675	697	59
304	548	534	2	922	298
305	836	93	630	814	621
306	276	483	31	725	561
307	817	443	330	935	356
308	163	583	370	108	401
309	327	452	379	425	76
310	846	634	593	527	716
311	566	100	116	700	572
312	537	487	606	835	61
313	496	521	182	276	615
314	41	358	656	236	930
315	748	589	336	875	785
316	842	410	519	198	989
317	38	567	670	486	553
318	626	880	475	121	662
319	295	692	172	265	863
320	679	17	402	824	360
321	354	580	450	395	275
322	841	262	508	155	690
323	971	201	999	80	230
324	749	385	929	560	976
325	409	307	879	343	796
326	110	224	372	859	430
327	48	141	272	718	240
328	964	742	876	701	495
329	331	355	421	518	875
330	940	676	745	825	42
331	661	543	651	56	214
332	710	529	856	577	82
333	109	318	133	934	159
334	709	102	805	547	750
335	596	812	417	319	851
336	907	997	65	39	257
337	857	193	425	274	505
338	646	101	744	424	213
339	502	198	489	693	972
340	524	691	877	241	696
341	660	144	459	612	894
342	40	270	483	410	177
343	960	528	214	945	873
344	724	590	628	58	142
345	451	526	246	954	513
346	356	32	605	655	423
347	813	912	8	460	111
348	552	868	537	777	557
349	79	603	16	257	585
350	100	377	240	911	734
351	654	275	430	996	891
352	603	488	849	510	420
353	702	685	451	634	820
354	700	505	629	525	63
355	482	659	715	905	724
356	411	269	46	653	914
357	895	621	575	112	790
358	334	371	229	30	23
359	721	10	909	830	903
360	801	95	783	332	858
361	78	565	204	617	169
362	659	510	847	637	391
363	460	209	108	939	568
364	133	552	898	503	325
365	510	444	103	968	284
366	13	596	42	601	500
367	947	857	407	530	753
368	122	80	610	79	145
369	876	438	543	564	236
370	221	498	683	568	973
371	859	495	312	287	164
372	438	604	233	185	372
373	223	163	339	169	429
374	763	578	161	664	881
375	286	721	599	334	836
376	539	299	321	880	235
377	878	68	168	973	985
378	850	741	753	983	390
379	349	276	178	452	287
380	542	14	25	217	763
381	665	222	643	311	634
382	155	402	880	447	362
383	235	822	234	466	215
384	611	629	728	286	770
385	80	877	569	780	398
386	678	496	550	843	826
387	819	998	595	892	369
388	366	969	592	67	321
389	823	753	396	728	612
390	719	173	733	826	653
391	550	678	217	555	691
392	760	153	458	853	453
393	112	31	577	748	418
394	837	891	282	340	375
395	244	340	493	50	468
396	130	156	994	654	451
397	6	777	803	901	160
398	852	369	497	804	456
399	2	910	106	758	797
400	263	342	410	499	381
401	791	208	203	475	46
402	589	865	857	558	319
403	303	221	590	282	587
404	784	585	950	897	78
405	231	219	894	285	84
406	64	253	640	767	98
407	405	412	126	507	664
408	37	872	708	938	599
409	77	59	95	501	477
410	574	501	440	809	393
411	84	601	498	656	840
412	322	582	362	116	582
413	872	210	439	5	489
414	34	948	526	772	814
415	657	540	962	944	207
416	261	988	258	465	135
417	174	407	756	144	479
418	67	761	953	179	865
419	870	917	574	62	904
420	44	47	597	948	435
421	897	379	38	529	212
422	809	416	98	203	671
423	729	718	697	572	492
424	217	803	151	73	743
425	648	656	863	71	535
426	87	159	816	495	603
427	299	24	826	65	156
428	565	595	711	383	650
429	103	359	228	138	408
430	70	404	515	95	9
431	393	235	813	603	146
432	380	72	120	648	17
433	647	392	669	403	444
434	577	513	146	860	36
435	973	853	820	135	896
436	242	991	836	575	892
437	118	296	996	393	884
438	972	906	365	771	781
439	266	395	337	53	340
