	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	164	534	876	400	995
101	725	252	541	691	809
102	715	438	198	708	646
103	809	968	230	10	751
104	136	407	121	632	316
105	372	352	843	981	724
106	582	470	261	657	296
107	162	101	898	870	163
108	522	948	652	773	853
109	779	539	863	18	23
110	144	132	239	53	312
111	114	946	359	961	789
112	453	107	464	723	810
113	494	179	696	235	721
114	891	891	366	271	443
115	70	60	24	460	44
116	609	70	913	601	512
117	263	837	999	265	530
118	539	466	726	849	954
119	503	855	53	33	124
120	116	208	982	797	28
121	428	966	758	374	587
122	406	356	358	164	425
123	154	202	260	739	762
124	101	234	757	816	504
125	490	530	191	781	162
126	60	605	404	267	669
127	105	231	415	779	36
128	338	824	897	162	451
129	482	511	753	239	375
130	113	998	558	119	536
131	538	658	960	774	326
132	469	136	79	962	503
133	822	371	885	472	889
134	308	305	523	940	985
135	788	611	390	754	688
136	107	279	0	510	105
137	294	474	877	751	826
138	67	55	170	643	643
139	55	536	704	261	168
140	231	222	498	778	201
141	470	32	672	66	743
142	173	531	636	603	369
143	195	488	930	434	924
144	596	848	214	783	187
145	857	858	962	286	972
146	252	7	675	954	715
147	646	360	707	339	4
148	903	769	852	785	673
149	235	866	182	726	764
150	76	862	314	47	967
151	827	989	768	377	690
152	97	67	597	716	973
153	803	495	165	634	868
154	385	503	880	314	339
155	639	505	346	529	327
156	45	987	483	559	461
157	893	969	727	731	862
158	896	433	525	537	599
159	595	398	875	458	416
160	155	321	457	653	246
161	356	263	533	501	579
162	610	322	128	9	454
163	163	893	737	635	497
164	158	881	974	46	824
165	537	303	131	80	372
166	397	502	422	791	726
167	303	189	935	789	423
168	319	97	310	219	49
169	924	406	217	915	974
170	342	48	280	970	328
171	190	325	153	656	289
172	821	481	16	274	209
173	48	604	892	391	307
174	748	988	434	560	917
175	502	445	262	256	409
176	767	482	996	958	386
177	431	253	176	794	294
178	284	965	210	910	521
179	656	650	929	897	240
180	611	288	454	707	430
181	624	800	232	918	705
182	291	444	792	786	639
183	954	853	108	721	968
184	168	124	629	69	674
185	665	213	161	282	711
186	399	74	86	717	734
187	783	138	410	640	617
188	845	68	181	748	0
189	312	722	402	611	456
190	997	143	844	936	19
191	267	50	728	698	381
192	322	809	301	760	103
193	268	569	91	744	14
194	440	168	475	672	85
195	202	290	216	931	378
196	566	681	920	974	527
197	75	802	620	737	196
198	345	291	750	641	160
199	666	504	186	358	142
200	760	828	848	703	775
201	151	10	522	617	368
202	542	370	796	725	940
203	648	293	438	504	329
204	662	737	466	109	759
205	972	583	132	614	130
206	805	24	306	12	398
207	647	962	32	935	214
208	708	760	531	747	225
209	680	801	854	229	556
210	84	425	846	86	990
211	777	13	143	740	541
212	661	271	74	565	33
213	707	918	290	671	863
214	678	216	769	612	796
215	497	521	568	541	24
216	554	997	183	943	597
217	833	928	834	911	292
218	34	434	596	879	188
219	172	643	337	379	878
220	150	421	624	852	365
221	130	335	918	598	987
222	990	310	252	969	970
223	271	720	837	329	186
224	746	975	615	767	457
225	43	708	677	572	675
226	672	64	900	188	703
227	194	91	323	178	506
228	676	914	50	344	977
229	912	442	870	121	997
230	778	73	779	780	359
231	288	970	71	752	82
232	768	982	621	531	622
233	295	475	321	898	935
234	33	622	550	704	219
235	937	506	126	968	191
236	229	364	545	507	171
237	602	734	820	310	666
238	724	524	101	712	525
239	471	750	859	836	182
240	251	260	203	212	915
241	901	273	833	355	948
242	239	919	826	11	262
243	870	872	612	982	16
244	620	984	151	753	444
245	640	262	754	609	436
246	191	981	708	373	753
247	375	776	158	262	670
248	221	165	136	6	986
249	889	427	228	410	384
250	966	355	693	629	121
251	413	555	888	38	706
252	66	487	555	480	750
253	772	308	762	938	629
254	918	176	732	960	845
255	906	112	396	154	111
256	734	465	712	216	235
257	455	415	465	83	836
258	167	131	746	682	908
259	911	910	828	226	305
260	512	182	349	558	806
261	244	301	360	328	849
262	479	687	989	724	867
263	649	909	759	217	310
264	960	956	145	486	914
265	532	95	154	756	717
266	258	161	462	875	156
267	65	366	610	203	513
268	700	727	821	448	321
269	755	542	178	367	495
270	285	278	703	275	210
271	839	672	21	475	971
272	286	133	65	294	178
273	794	83	380	628	595
274	712	704	263	165	360
275	841	991	861	863	558
276	558	472	534	64	344
277	617	486	817	79	280
278	743	128	202	343	909
279	599	16	469	143	395
280	774	753	140	169	345
281	593	765	827	352	1
282	691	877	289	481	442
283	420	217	96	375	546
284	206	292	857	821	239
285	983	678	646	117	583
286	740	135	642	455	989
287	298	528	273	892	420
288	18	272	739	359	404
289	694	547	207	7	582
290	257	880	23	676	925
291	96	410	327	513	875
292	971	270	266	276	421
293	396	843	734	78	590
294	68	728	556	423	563
295	507	665	249	768	347
296	462	749	334	198	930
297	548	725	211	738	146
298	441	670	658	392	756
299	430	2	673	42	791
300	876	315	663	433	712
301	541	694	227	418	249
302	584	329	841	983	699
303	780	162	702	700	62
304	703	28	413	191	138
305	446	621	914	524	282
306	974	552	315	277	524
307	737	377	919	395	86
308	943	773	355	829	455
309	276	826	946	926	566
310	632	529	43	597	892
311	362	578	370	710	568
312	409	923	783	425	80
313	791	436	94	812	517
314	819	400	686	243	271
315	429	75	617	232	431
316	723	240	440	569	60
317	230	430	510	450	390
318	209	675	683	678	946
319	781	226	909	728	236
320	970	89	189	833	950
321	293	688	654	214	287
322	999	23	375	128	465
323	627	170	872	383	204
324	633	912	623	675	30
325	879	915	653	845	745
326	521	255	59	664	903
327	854	404	471	596	856
328	254	443	264	354	84
329	636	634	948	173	74
330	714	418	994	194	290
331	938	693	109	801	356
332	54	875	333	134	876
333	973	779	628	242	653
334	801	210	221	505	614
335	992	646	509	442	491
336	361	533	981	408	418
337	358	751	980	273	304
338	915	167	532	522	295
339	701	219	250	319	128
340	898	232	35	93	362
341	316	203	377	336	634
342	852	395	362	54	176
343	307	917	519	498	716
344	663	345	81	984	544
345	474	579	432	545	841
346	341	200	450	525	241
347	11	498	167	902	883
348	510	11	461	435	981
349	842	416	129	770	26
350	560	387	598	149	695
351	544	567	579	487	211
352	327	346	425	56	308
353	0	850	714	758	388
354	366	565	258	991	776
355	535	852	212	759	298
356	739	299	98	201	330
357	311	49	660	349	50
358	73	902	272	285	657
359	135	913	391	126	969
360	383	520	755	138	664
361	836	596	778	945	765
362	758	868	526	996	893
363	569	457	858	193	485
364	776	598	45	561	650
365	932	519	38	819	318
366	64	401	282	534	709
367	860	307	961	298	148
368	552	318	751	260	335
369	709	629	874	939	492
370	892	499	269	872	11
371	931	896	868	186	578
372	702	835	298	542	606
373	837	724	910	685	230
374	274	777	630	966	140
375	775	789	374	312	781
376	977	911	448	735	315
377	391	582	741	71	896
378	133	706	82	693	94
379	745	993	341	179	608
380	369	201	669	21	610
381	261	623	42	832	885
382	62	98	361	17	982
383	434	682	420	476	919
384	792	664	304	357	355
385	89	631	530	772	757
386	109	341	512	424	633
387	103	806	27	399	550
388	214	204	711	856	821
389	186	258	955	307	391
390	996	163	428	52	363
391	696	757	47	87	263
392	525	12	716	279	979
393	218	359	710	992	686
394	86	153	552	94	478
395	716	638	730	742	115
396	979	36	649	551	983
397	963	384	20	252	787
398	234	696	467	903	830
399	955	803	536	532	625
400	249	550	371	48	303
401	238	667	19	136	557
402	217	589	476	848	227
403	227	908	357	350	827
404	674	833	529	220	32
405	704	659	517	208	364
406	884	221	149	228	220
407	282	441	560	305	812
408	524	972	806	414	859
409	699	429	775	674	373
410	339	368	881	153	272
411	485	31	561	681	585
412	547	600	535	937	980
413	16	460	907	116	331
414	655	227	286	555	433
415	216	388	485	272	554
416	4	149	300	625	218
417	511	945	803	245	367
418	352	585	595	624	127
419	652	676	339	517	402
420	118	93	916	396	322
421	764	183	585	223	696
422	407	277	593	884	858
423	161	113	949	511	682
424	240	461	564	334	135
425	998	379	316	270	377
426	124	711	451	346	912
427	766	906	789	264	414
428	289	33	890	485	194
429	6	187	412	170	840
430	654	248	372	549	848
431	24	440	784	973	749
432	415	690	814	26	463
433	460	4	133	718	134
434	914	354	842	8	125
435	872	251	382	293	944
436	562	820	922	949	545
437	907	357	114	823	758
438	589	276	873	251	702
439	232	861	853	715	126
