	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	2	634	652	5	647
101	637	644	7	644	649
102	11	656	657	12	15
103	647	658	9	17	23
104	652	24	12	656	666
105	38	661	16	19	25
106	40	664	21	20	28
107	41	671	30	28	36
108	43	39	677	678	39
109	677	42	680	681	685
110	691	47	683	691	55
111	67	687	699	47	60
112	700	692	708	693	61
113	706	695	712	700	709
114	715	60	714	54	711
115	89	720	715	58	716
116	96	83	81	65	720
117	100	722	723	66	84
118	737	723	86	71	731
119	740	728	91	724	93
120	764	735	95	728	738
121	125	738	735	737	100
122	126	741	741	738	103
123	768	753	754	90	743
124	135	768	755	740	106
125	138	777	757	95	754
126	150	787	124	753	120
127	795	793	129	101	763
128	159	805	131	764	769
129	803	162	132	765	771
130	805	809	772	767	774
131	168	812	788	120	141
132	173	823	805	770	142
133	815	825	806	771	148
134	195	185	811	127	794
135	841	192	812	782	796
136	844	840	186	785	157
137	200	194	824	156	801
138	856	198	827	798	815
139	218	850	832	164	177
140	862	204	202	804	821
141	226	860	207	807	186
142	227	875	212	810	825
143	231	225	847	811	188
144	888	229	224	179	826
145	895	886	229	183	836
146	896	240	232	199	194
147	252	904	861	200	840
148	253	253	239	201	848
149	258	906	878	833	865
150	263	909	261	206	241
151	918	268	268	839	244
152	269	927	269	209	881
153	273	286	898	846	883
154	276	287	277	233	267
155	932	950	286	871	903
156	285	296	916	872	921
157	295	957	917	879	923
158	296	304	920	890	935
159	952	962	929	264	306
160	954	308	948	270	309
161	301	309	949	271	944
162	957	321	952	279	959
163	304	976	330	921	325
164	325	980	962	926	964
165	984	987	965	297	971
166	333	342	343	305	976
167	986	345	995	941	355
168	988	997	373	943	992
169	996	354	386	314	390
170	348	358	394	957	391
171	350	360	398	328	400
172	358	361	410	963	413
173	361	377	417	332	419
174	372	402	430	334	422
175	383	406	436	970	446
176	394	411	438	982	453
177	395	413	450	995	457
178	398	422	451	375	464
179	429	424	459	415	476
180	440	431	465	417	478
181	441	464	467	427	497
182	454	477	477	431	507
183	455	486	494	432	513
184	459	498	499	469	516
185	473	515	512	480	541
186	500	519	517	485	546
187	505	530	519	498	561
188	525	533	532	522	581
189	527	551	537	530	585
190	538	557	544	551	600
191	557	565	550	563	604
192	558	569	571	575	608
193	563	577	580	578	612
194	576	585	584	587	614
195	579	591	605	602	616
196	582	593	620	620	625
197	595	598	631	624	627
198	601	605	644	634	635
199	618	616	651	635	636
200	9	651	653	14	650
201	13	16	654	654	651
202	657	653	662	655	669
203	24	19	24	667	32
204	658	22	668	43	680
205	663	660	670	57	44
206	665	31	674	60	47
207	34	40	31	61	691
208	674	679	679	718	57
209	53	44	36	72	59
210	60	685	43	77	703
211	701	686	44	731	62
212	703	58	45	82	69
213	76	61	48	87	75
214	709	706	71	91	76
215	710	67	72	102	77
216	84	709	98	758	719
217	720	714	115	759	718
218	722	78	116	763	78
219	93	719	753	114	80
220	734	727	758	772	729
221	739	90	766	774	733
222	743	97	769	778	94
223	108	100	770	153	735
224	110	101	143	154	750
225	752	750	147	803	755
226	133	124	158	813	121
227	785	130	163	175	132
228	806	771	799	814	150
229	807	134	169	817	162
230	164	136	170	180	813
231	177	138	803	185	176
232	180	779	807	821	841
233	210	786	808	824	197
234	214	800	818	191	846
235	871	152	826	198	218
236	873	802	198	202	859
237	232	155	201	843	862
238	889	801	835	211	864
239	892	158	839	217	868
240	240	806	218	218	237
241	897	167	854	220	875
242	898	170	234	861	240
243	249	819	236	229	247
244	912	822	240	866	892
245	927	177	241	869	908
246	283	826	242	234	282
247	284	830	243	874	288
248	947	839	244	875	292
249	307	193	246	241	929
250	308	201	250	243	301
251	964	203	883	880	304
252	309	857	262	883	945
253	969	858	895	885	948
254	974	855	904	887	317
255	326	210	289	261	320
256	335	868	910	908	322
257	991	223	913	273	961
258	341	880	914	915	328
259	356	232	296	274	965
260	364	887	300	920	970
261	367	893	923	922	339
262	368	905	313	285	974
263	380	255	314	286	977
264	393	912	321	287	343
265	397	913	947	934	981
266	402	918	328	935	359
267	408	266	958	310	367
268	412	924	336	316	372
269	413	273	334	323	378
270	426	276	961	960	380
271	432	281	975	329	384
272	435	288	977	330	386
273	443	293	353	961	395
274	446	951	358	338	398
275	453	303	362	974	427
276	479	975	367	976	439
277	482	322	999	978	445
278	483	979	374	348	449
279	484	982	390	984	462
280	489	984	412	983	466
281	496	995	414	992	472
282	520	387	452	996	477
283	532	395	457	378	480
284	535	400	470	392	501
285	542	401	471	394	502
286	544	405	479	426	504
287	568	414	488	465	518
288	571	418	536	481	533
289	585	493	555	496	543
290	589	494	575	504	548
291	597	496	576	513	550
292	598	505	577	517	573
293	607	513	613	545	579
294	609	521	618	556	603
295	616	524	626	581	618
296	619	563	630	583	620
297	624	580	636	604	624
298	625	600	638	619	630
299	632	631	649	631	641
300	633	4	656	641	11
301	640	640	8	653	664
302	642	638	663	664	673
303	646	13	667	671	674
304	648	14	35	35	50
305	649	17	40	48	697
306	16	28	42	52	699
307	651	675	47	53	705
308	654	704	53	55	710
309	20	705	59	56	74
310	33	70	707	64	724
311	44	711	74	715	86
312	46	87	727	81	87
313	680	724	728	739	98
314	682	89	90	742	108
315	57	725	737	96	110
316	72	91	105	760	751
317	705	730	747	131	756
318	77	94	114	132	125
319	714	96	751	136	126
320	719	98	140	138	134
321	92	736	777	139	776
322	95	749	784	788	135
323	99	118	785	152	137
324	113	755	786	797	138
325	114	757	791	161	781
326	758	129	793	165	140
327	118	767	166	808	785
328	760	769	802	170	139
329	759	141	173	178	787
330	130	784	191	184	159
331	136	146	208	836	805
332	778	147	842	215	167
333	144	807	843	219	818
334	146	808	852	222	819
335	147	168	863	223	820
336	787	171	868	231	178
337	163	178	869	867	185
338	165	179	247	870	207
339	809	182	249	245	211
340	818	187	877	247	854
341	821	188	251	901	213
342	182	189	255	265	214
343	827	843	887	905	867
344	194	847	888	910	227
345	840	866	266	911	228
346	843	872	894	275	239
347	851	873	273	916	246
348	216	881	899	277	891
349	860	230	279	278	896
350	222	896	918	282	275
351	868	248	301	925	277
352	223	902	922	930	914
353	872	257	306	291	917
354	874	910	925	295	294
355	876	261	309	938	926
356	229	262	930	948	296
357	880	921	932	949	941
358	234	270	936	951	310
359	891	284	317	320	946
360	238	285	320	958	950
361	242	945	959	333	951
362	901	946	340	975	318
363	913	290	342	351	956
364	914	948	968	987	326
365	929	294	976	353	963
366	930	952	356	993	329
367	937	953	359	355	330
368	288	297	361	994	967
369	940	299	990	997	333
370	943	307	996	367	336
371	956	315	382	369	978
372	962	328	387	393	987
373	319	986	400	395	988
374	975	334	409	409	360
375	323	992	413	421	997
376	980	343	416	423	374
377	336	352	419	434	377
378	992	372	421	435	416
379	344	444	423	446	435
380	999	448	428	447	456
381	351	452	434	459	483
382	362	466	448	463	491
383	407	472	449	470	499
384	417	484	469	473	515
385	430	487	475	474	522
386	431	490	478	482	523
387	434	511	482	514	549
388	467	520	492	532	553
389	480	527	507	543	563
390	486	540	508	558	568
391	491	545	510	560	570
392	494	552	515	561	587
393	549	554	526	565	591
394	550	578	558	570	593
395	559	579	574	591	606
396	573	582	589	599	615
397	584	596	612	605	621
398	590	604	624	606	622
399	593	628	641	629	626
400	645	3	5	3	10
401	17	10	655	7	655
402	31	11	23	643	658
403	37	646	673	10	663
404	678	650	675	657	19
405	679	32	32	29	667
406	56	672	689	674	670
407	62	678	690	675	671
408	66	681	50	38	35
409	699	688	703	682	693
410	70	690	61	685	701
411	713	72	710	686	63
412	81	73	76	46	712
413	87	74	716	695	717
414	723	85	718	702	722
415	725	93	726	704	726
416	728	103	730	707	734
417	103	107	734	711	99
418	105	752	96	712	114
419	742	119	739	67	115
420	107	121	104	83	759
421	749	128	106	85	766
422	755	765	745	92	127
423	122	135	109	747	128
424	123	142	120	97	775
425	767	149	761	111	789
426	127	151	763	121	791
427	774	804	133	125	152
428	775	166	136	777	156
429	779	817	137	786	160
430	149	820	141	144	163
431	791	176	148	147	804
432	151	180	789	796	171
433	157	195	160	157	828
434	798	845	165	162	830
435	167	197	797	173	195
436	814	848	172	194	196
437	174	196	177	830	203
438	181	206	813	832	849
439	822	864	183	835	219
