	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	471	499	1	339	35
101	451	500	38	640	618
102	903	501	40	641	25
103	289	505	41	252	167
104	542	340	417	338	617
105	980	335	309	778	925
106	445	519	980	791	235
107	912	329	679	247	919
108	453	482	362	786	687
109	442	646	169	553	244
110	680	486	693	330	203
111	725	687	358	239	164
112	283	732	368	671	80
113	682	760	371	719	163
114	485	153	686	617	658
115	37	690	943	399	665
116	420	188	937	478	84
117	497	705	651	238	85
118	715	706	12	611	98
119	708	750	380	21	671
120	502	183	381	603	745
121	440	714	708	53	721
122	432	744	154	479	137
123	234	718	8	279	47
124	973	182	394	954	635
125	705	720	177	604	701
126	512	165	296	654	152
127	66	225	429	702	949
128	20	176	258	599	77
129	405	677	478	396	633
130	429	761	479	971	630
131	412	738	797	465	942
132	320	765	803	273	634
133	897	662	847	669	688
134	375	661	489	48	451
135	583	771	805	583	883
136	349	213	608	481	330
137	142	208	230	503	786
138	585	147	196	870	762
139	345	777	599	344	343
140	150	779	813	355	476
141	837	149	838	779	800
142	833	150	76	164	690
143	628	217	81	314	372
144	338	768	585	783	775
145	317	659	519	839	561
146	598	425	826	336	453
147	821	947	499	826	384
148	819	422	476	802	536
149	599	355	92	824	473
150	334	371	613	534	460
151	602	358	782	784	583
152	330	359	428	751	414
153	788	808	882	773	908
154	611	395	104	536	751
155	809	965	289	744	503
156	808	449	751	745	439
157	623	364	451	883	285
158	613	776	454	580	603
159	325	643	440	203	888
160	617	521	781	307	288
161	802	262	618	375	425
162	696	270	869	80	514
163	352	855	794	635	756
164	350	914	795	672	297
165	576	890	867	987	315
166	794	550	617	989	997
167	374	905	863	542	543
168	372	547	351	329	973
169	889	185	967	986	255
170	556	622	791	723	40
171	557	723	535	392	38
172	641	216	820	764	988
173	200	989	109	33	815
174	110	629	676	688	14
175	577	670	43	951	1
176	565	881	704	312	535
177	639	146	656	681	818
178	562	457	426	162	906
179	362	862	894	890	424
180	133	464	785	995	239
181	777	170	140	994	926
182	856	852	413	5	615
183	117	928	630	316	896
184	194	749	741	760	201
185	857	64	926	639	328
186	569	135	953	643	332
187	772	503	999	530	447
188	571	672	933	974	353
189	318	843	669	655	874
190	342	112	483	789	574
191	660	678	205	391	773
192	864	472	115	737	608
193	103	210	423	442	653
194	205	260	684	18	316
195	822	434	899	425	774
196	646	498	761	82	391
197	748	824	593	762	699
198	618	962	221	409	646
199	54	696	584	721	375
200	281	471	515	14	673
201	280	272	330	17	581
202	276	271	642	921	689
203	275	269	644	83	247
204	274	266	998	78	685
205	273	265	689	22	188
206	248	261	229	66	734
207	271	276	681	931	429
208	270	465	220	56	917
209	247	438	696	436	311
210	269	309	697	679	705
211	251	310	218	267	60
212	252	305	217	265	57
213	267	315	216	261	445
214	266	317	646	615	318
215	253	304	402	629	320
216	299	461	184	632	159
217	257	297	747	634	915
218	258	301	210	648	36
219	259	463	203	653	33
220	261	296	726	659	669
221	249	936	727	670	711
222	284	719	728	836	341
223	282	410	746	682	382
224	285	946	191	694	395
225	237	917	201	695	396
226	296	258	739	598	977
227	238	602	734	700	983
228	294	162	213	563	398
229	293	418	673	560	979
230	239	994	737	422	336
231	240	234	759	458	982
232	292	924	242	476	333
233	288	52	236	400	327
234	291	995	668	394	30
235	286	51	658	383	726
236	242	50	652	379	67
237	244	267	244	501	249
238	287	933	641	352	0
239	417	600	923	349	804
240	33	721	251	531	499
241	688	853	995	334	859
242	755	802	856	546	765
243	6	106	198	328	450
244	746	970	929	559	853
245	254	634	457	311	512
246	40	986	930	208	604
247	716	569	744	493	517
248	979	20	436	759	599
249	986	621	327	170	230
250	503	91	996	793	789
251	971	839	636	797	530
252	739	561	497	811	825
253	435	2	628	758	816
254	701	88	859	757	553
255	700	887	533	748	578
256	692	583	662	131	128
257	671	179	181	747	498
258	537	442	173	191	863
259	348	833	580	738	855
260	832	793	824	173	148
261	626	219	233	128	627
262	312	906	187	123	485
263	316	23	95	712	295
264	124	555	892	821	865
265	861	318	565	193	622
266	635	48	560	724	294
267	578	958	879	717	495
268	341	689	163	730	82
269	932	598	278	819	478
270	351	252	546	200	271
271	805	754	277	472	823
272	173	433	870	358	579
273	323	576	614	390	461
274	907	385	2	169	345
275	544	734	917	544	260
276	80	889	900	332	86
277	268	392	705	865	590
278	918	908	434	917	531
279	665	75	981	879	124
280	75	997	404	915	308
281	766	268	176	910	970
282	767	665	569	235	501
283	663	653	241	938	724
284	535	502	498	878	660
285	774	295	157	256	326
286	655	124	266	624	197
287	712	495	532	886	162
288	839	350	545	282	972
289	295	857	197	768	454
290	162	536	581	887	287
291	634	773	292	856	624
292	977	582	91	816	842
293	246	294	846	584	674
294	779	987	121	731	639
295	130	658	513	761	369
296	937	667	343	410	442
297	783	352	346	6	399
298	164	33	232	708	312
299	730	611	485	918	427
300	220	864	631	378	566
301	209	867	522	377	568
302	633	28	587	376	548
303	202	931	531	374	571
304	590	912	523	231	335
305	335	407	282	405	587
306	527	801	765	434	812
307	336	285	147	435	610
308	408	545	763	441	616
309	407	551	149	505	620
310	430	552	469	500	305
311	399	553	756	498	304
312	441	557	753	496	582
313	443	254	153	495	302
314	397	573	161	490	546
315	455	248	702	488	367
316	393	577	165	487	423
317	462	578	717	486	426
318	474	579	716	485	430
319	479	580	544	482	433
320	383	240	595	480	438
321	484	806	559	996	443
322	491	235	253	473	444
323	495	589	707	470	464
324	496	287	255	469	545
325	353	593	290	466	402
326	339	526	260	463	486
327	642	515	556	462	388
328	647	416	712	460	496
329	227	388	477	456	385
330	157	384	534	455	502
331	169	430	391	452	380
332	167	379	400	449	995
333	159	377	952	448	368
334	158	444	375	369	390
335	192	466	250	367	631
336	742	356	352	475	597
337	745	346	621	359	190
338	148	483	262	289	207
339	759	341	898	364	212
340	760	337	246	286	194
341	763	492	536	285	750
342	146	324	590	281	227
343	781	311	36	278	733
344	139	302	958	277	240
345	138	292	35	276	192
346	706	227	768	275	246
347	702	585	21	270	715
348	519	695	755	264	710
349	654	177	779	293	191
350	690	174	989	262	764
351	658	171	789	255	262
352	659	701	796	253	766
353	683	167	168	251	664
354	376	159	710	245	805
355	823	158	814	244	267
356	862	144	372	243	650
357	676	751	541	242	272
358	213	755	103	241	682
359	674	769	314	236	668
360	391	787	425	234	185
361	972	789	182	233	697
362	575	134	674	259	651
363	17	800	273	294	655
364	983	405	839	287	770
365	778	682	974	298	781
366	810	180	968	357	187
367	882	679	504	354	989
368	459	202	965	353	472
369	152	618	20	350	465
370	878	616	414	348	419
371	177	209	868	347	449
372	942	199	68	346	435
373	507	193	766	343	819
374	729	648	876	340	643
375	677	669	227	297	729
376	550	608	579	333	954
377	922	192	643	331	892
378	723	222	261	337	662
379	548	631	909	324	641
380	709	6	239	305	856
381	607	133	745	306	712
382	48	784	881	310	563
383	785	441	410	323	103
384	426	49	312	313	667
385	396	357	853	319	990
386	538	739	849	325	585
387	490	681	382	320	572
388	394	916	124	453	339
389	721	24	108	504	703
390	661	709	821	96	504
391	473	604	437	889	791
392	687	872	723	215	971
393	847	36	339	970	73
394	784	539	842	707	236
395	855	915	355	257	845
396	573	605	23	77	489
397	185	737	488	866	160
398	741	724	672	34	215
399	489	412	0	139	987
400	404	37	5	50	211
401	401	281	137	43	210
402	398	290	470	186	957
403	395	291	465	185	259
404	389	398	464	198	263
405	406	39	146	527	950
406	411	286	447	525	275
407	387	40	420	523	306
408	413	284	415	522	303
409	384	288	396	520	301
410	380	372	385	518	298
411	371	993	379	517	945
412	415	850	357	514	292
413	424	93	160	513	264
414	367	847	353	511	289
415	206	942	770	510	284
416	311	866	348	509	290
417	322	85	344	508	946
418	309	883	334	507	280
419	210	14	333	499	279
420	211	885	170	474	278
421	214	972	326	450	948
422	215	70	320	446	283
423	470	910	179	437	951
424	469	923	183	528	965
425	216	932	310	529	985
426	217	53	204	532	924
427	218	865	301	533	969
428	467	845	286	572	955
429	222	474	280	570	986
430	460	334	264	569	929
431	223	649	234	568	515
432	226	640	510	567	998
433	458	490	211	566	421
434	298	638	120	565	108
435	308	203	764	564	409
436	456	204	757	562	119
437	230	628	14	432	363
438	304	95	24	561	841
439	303	601	26	556	362
