	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	847	630	779	901	46
101	752	526	537	441	858
102	973	44	228	108	864
103	617	121	797	476	646
104	440	352	37	591	809
105	910	887	999	334	463
106	810	933	439	930	775
107	929	335	933	996	782
108	394	771	147	995	798
109	52	47	387	802	948
110	283	236	766	613	110
111	231	478	544	544	949
112	855	524	255	994	850
113	645	997	531	761	805
114	911	70	342	450	451
115	952	291	785	920	107
116	261	611	795	528	353
117	316	488	746	437	220
118	259	104	488	956	164
119	920	216	923	155	160
120	68	159	977	286	726
121	687	565	890	716	670
122	325	800	301	983	103
123	238	188	361	558	722
124	86	664	598	859	941
125	193	706	347	465	86
126	162	934	309	306	890
127	462	101	982	432	998
128	975	179	730	580	557
129	704	100	979	997	378
130	281	496	40	563	680
131	805	744	38	771	362
132	60	42	415	527	554
133	610	262	697	886	849
134	679	754	385	964	923
135	520	204	300	533	732
136	562	260	879	625	377
137	895	402	512	970	59
138	108	205	660	723	919
139	859	727	519	778	883
140	293	831	541	751	137
141	342	548	131	110	904
142	554	308	339	403	77
143	0	305	161	239	610
144	519	824	959	91	606
145	595	176	693	737	868
146	404	591	304	407	115
147	599	224	498	984	130
148	167	448	315	166	306
149	803	340	712	919	55
150	937	820	907	410	895
151	954	837	885	433	296
152	807	6	1	934	950
153	897	943	707	745	108
154	439	545	943	942	47
155	142	265	137	415	528
156	430	463	184	603	957
157	801	537	579	359	696
158	745	951	958	951	813
159	501	627	705	363	796
160	999	13	273	367	702
161	428	563	643	929	40
162	521	765	491	675	125
163	189	804	141	373	500
164	616	189	592	347	933
165	988	326	680	874	483
166	823	789	599	772	13
167	787	527	916	948	687
168	549	384	243	542	665
169	681	261	261	733	873
170	206	203	198	152	244
171	227	225	950	160	574
172	870	187	232	568	706
173	565	542	861	114	223
174	902	961	683	251	169
175	696	85	227	829	521
176	286	17	869	949	961
177	964	55	699	58	668
178	138	675	522	203	210
179	947	80	240	29	309
180	934	161	806	278	344
181	943	784	944	395	175
182	158	141	204	119	177
183	480	519	30	131	85
184	829	869	22	682	192
185	788	984	163	678	124
186	205	83	778	422	134
187	878	787	214	828	556
188	893	310	906	126	167
189	556	576	962	185	38
190	627	873	326	529	691
191	633	825	891	87	773
192	969	416	375	475	320
193	716	132	327	50	552
194	426	672	432	112	132
195	701	976	745	888	368
196	560	838	362	541	9
197	567	889	856	97	395
198	230	230	479	343	766
199	375	621	947	48	317
200	263	436	461	54	478
201	109	217	224	235	498
202	348	64	718	532	289
203	76	182	440	86	889
204	938	267	681	43	774
205	173	865	262	396	825
206	635	866	898	860	421
207	116	190	863	612	338
208	460	144	967	814	572
209	96	988	835	621	294
210	972	202	564	804	599
211	190	364	157	952	106
212	661	582	471	287	940
213	216	562	104	513	489
214	18	271	328	233	593
215	719	412	727	459	50
216	148	293	128	31	355
217	527	304	459	753	926
218	819	378	27	495	201
219	967	206	155	452	781
220	588	817	448	773	277
221	625	767	149	507	588
222	95	183	384	498	391
223	221	226	120	686	936
224	489	760	452	836	972
225	244	332	211	760	721
226	845	616	772	144	399
227	483	251	20	843	887
228	991	552	585	748	381
229	927	438	926	578	724
230	356	113	711	229	17
231	431	457	458	184	959
232	103	2	996	614	104
233	928	97	77	777	614
234	384	50	880	939	854
235	411	819	412	796	635
236	470	959	189	650	128
237	862	521	286	340	953
238	215	946	450	925	683
239	383	20	92	879	799
240	622	458	321	973	753
241	758	167	356	243	361
242	649	644	536	849	207
243	291	557	526	47	324
244	213	168	887	143	178
245	38	619	360	530	955
246	573	235	492	364	457
247	139	253	762	244	442
248	65	614	842	684	812
249	971	801	317	434	906
250	198	677	462	332	977
251	846	31	600	200	913
252	916	912	29	19	23
253	388	257	428	52	582
254	651	171	63	756	408
255	774	739	25	352	331
256	806	923	895	539	57
257	542	22	848	534	120
258	990	209	340	37	376
259	56	942	862	8	586
260	641	440	808	22	497
261	91	119	421	219	264
262	955	812	763	514	986
263	713	198	182	916	516
264	362	667	739	14	674
265	185	337	981	62	73
266	135	286	665	354	157
267	822	730	849	561	695
268	344	550	532	892	439
269	223	429	374	154	973
270	626	577	398	704	800
271	589	490	590	399	82
272	922	455	352	3	544
273	482	753	246	161	914
274	558	72	679	861	992
275	583	858	897	339	375
276	646	419	98	812	650
277	634	4	929	715	860
278	218	850	24	193	302
279	596	427	125	721	647
280	491	895	436	853	64
281	720	58	737	245	675
282	602	530	289	116	284
283	66	24	101	922	499
284	350	356	150	588	715
285	292	501	650	742	828
286	658	321	476	71	340
287	932	266	417	908	196
288	154	461	499	698	856
289	37	49	36	594	929
290	33	962	867	565	267
291	150	602	165	165	260
292	161	914	142	833	356
293	155	982	234	903	530
294	40	843	386	236	658
295	397	734	2	42	820
296	739	311	230	654	729
297	780	180	323	418	885
298	391	585	817	262	469
299	552	852	290	596	14
300	79	229	546	943	341
301	857	679	989	629	182
302	729	847	478	518	877
303	217	140	292	816	758
304	632	406	410	707	445
305	16	231	229	180	909
306	438	595	924	937	225
307	544	368	961	333	240
308	352	477	946	752	339
309	490	574	988	298	492
310	415	777	82	576	325
311	575	659	615	559	660
312	775	288	105	971	745
313	368	600	160	414	495
314	525	867	770	635	826
315	636	603	561	109	763
316	130	885	283	462	520
317	727	195	383	566	649
318	12	579	148	198	347
319	913	936	628	307	690
320	763	232	831	169	522
321	304	736	653	764	789
322	694	29	550	801	991
323	445	418	308	898	480
324	892	263	894	915	69
325	836	410	124	358	604
326	232	584	728	355	546
327	557	750	391	543	638
328	117	128	251	55	719
329	140	945	535	693	496
330	308	656	909	969	840
331	485	36	878	619	118
332	89	926	523	279	100
333	782	334	416	67	433
334	777	379	26	259	764
335	268	828	176	564	794
336	827	503	5	845	857
337	399	658	530	725	738
338	309	273	698	701	380
339	962	444	994	482	93
340	127	392	426	455	816
341	540	318	334	291	946
342	84	372	755	711	203
343	471	529	965	206	602
344	249	714	438	487	956
345	703	991	371	560	622
346	88	387	401	64	187
347	802	590	348	664	653
348	424	60	133	61	506
349	578	422	846	639	710
350	676	652	359	863	438
351	891	596	0	297	549
352	276	178	355	65	514
353	70	322	774	194	146
354	496	301	367	409	591
355	706	906	844	93	523
356	252	676	420	902	11
357	55	483	883	121	716
358	708	258	212	961	981
359	200	103	741	199	456
360	798	472	14	728	712
361	287	583	764	496	597
362	367	156	316	329	99
363	101	381	277	577	583
364	77	886	397	252	899
365	413	439	72	717	308
366	974	686	920	208	776
367	901	481	413	947	570
368	371	823	619	260	211
369	759	347	86	783	318
370	850	73	955	391	4
371	559	467	457	27	369
372	2	442	777	525	524
373	997	494	299	351	754
374	662	14	48	313	461
375	764	107	980	117	533
376	900	608	115	537	786
377	577	65	53	523	406
378	31	492	673	501	364
379	441	443	313	583	966
380	144	651	655	34	214
381	821	61	169	599	197
382	942	908	269	88	709
383	663	957	291	460	359
384	783	732	466	739	836
385	17	513	552	378	718
386	728	531	888	265	360
387	864	366	207	981	372
388	707	377	791	96	917
389	420	970	400	95	942
390	271	177	802	856	797
391	107	491	843	499	365
392	372	535	32	436	867
393	568	975	783	975	878
394	899	415	949	466	122
395	318	915	422	878	578
396	72	604	593	702	301
397	303	118	587	127	335
398	169	33	218	26	74
399	136	363	750	944	621
400	674	360	18	417	462
401	191	185	684	966	148
402	524	773	409	807	711
403	455	848	616	798	734
404	741	761	379	880	830
405	34	325	433	392	388
406	852	853	818	216	835
407	657	255	341	18	170
408	266	786	626	875	0
409	349	606	670	344	311
410	351	660	332	931	608
411	105	210	702	13	699
412	44	809	344	674	968
413	118	708	43	46	241
414	451	10	568	794	651
415	767	174	874	784	845
416	724	87	821	381	447
417	896	284	423	708	384
418	518	692	79	188	280
419	380	324	35	390	974
420	22	605	260	695	865
421	336	995	649	774	430
422	898	16	839	271	851
423	296	276	820	23	25
424	100	701	575	186	316
425	57	395	116	877	129
426	122	74	353	41	275
427	843	720	314	917	10
428	366	52	834	669	503
429	442	643	577	780	912
430	861	502	509	175	7
431	760	149	913	453	612
432	957	452	642	346	26
433	702	413	46	573	921
434	267	162	868	846	875
435	609	365	469	331	67
436	654	695	918	447	272
437	124	3	497	885	401
438	163	741	852	945	827
439	299	346	545	866	403
