	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	586	621	936	711	14
101	251	553	519	954	236
102	183	49	686	641	130
103	901	635	282	456	225
104	724	696	347	542	163
105	56	881	456	423	106
106	103	48	400	584	127
107	585	495	781	723	971
108	229	213	778	828	255
109	185	176	420	791	870
110	134	73	895	634	762
111	237	269	761	545	759
112	375	481	894	23	227
113	268	192	883	255	445
114	612	569	791	169	28
115	155	867	332	770	0
116	701	433	34	18	641
117	937	646	428	716	810
118	659	694	568	106	801
119	180	529	944	425	889
120	562	734	899	555	498
121	304	379	432	762	533
122	295	248	151	639	367
123	774	472	797	33	246
124	681	809	23	501	326
125	830	852	926	369	307
126	791	537	666	819	643
127	549	998	546	392	590
128	785	503	258	328	427
129	317	260	47	724	363
130	409	279	537	760	196
131	725	833	423	719	951
132	665	989	794	975	599
133	316	915	283	612	373
134	507	660	373	487	51
135	642	552	167	839	408
136	878	802	246	332	926
137	6	767	876	911	751
138	495	565	952	56	162
139	819	583	955	504	660
140	953	709	19	530	187
141	759	197	342	480	369
142	795	28	45	5	419
143	440	909	234	845	709
144	730	294	584	598	501
145	942	872	367	635	853
146	163	769	377	596	610
147	62	824	714	659	795
148	822	723	614	599	396
149	391	784	304	479	653
150	767	305	205	664	562
151	802	372	1	4	876
152	811	267	510	688	789
153	663	33	663	333	382
154	147	471	479	80	42
155	970	385	690	39	85
156	973	810	336	698	699
157	354	340	858	779	950
158	345	932	918	307	76
159	602	23	820	725	954
160	471	857	642	10	868
161	579	721	18	789	447
162	342	291	684	329	995
163	172	839	115	604	972
164	705	808	413	601	430
165	451	604	71	352	240
166	420	910	187	377	557
167	980	667	43	968	985
168	388	287	106	708	335
169	677	302	396	694	512
170	334	35	476	400	530
171	723	912	868	702	152
172	784	942	656	773	826
173	142	578	286	285	4
174	413	189	799	319	468
175	841	40	315	611	711
176	903	618	296	669	456
177	623	947	953	883	105
178	37	720	803	836	451
179	194	975	888	481	614
180	374	812	787	721	608
181	682	499	919	748	796
182	839	39	593	286	503
183	833	576	298	312	156
184	267	724	693	256	878
185	912	754	203	559	296
186	372	605	624	117	398
187	80	502	227	783	49
188	43	463	621	6	864
189	777	658	612	164	78
190	932	550	817	983	587
191	864	682	419	800	209
192	808	981	861	874	142
193	648	290	264	870	578
194	318	997	333	162	573
195	617	288	623	455	295
196	430	555	154	643	414
197	240	430	379	781	357
198	910	240	81	712	294
199	282	183	38	751	717
200	442	113	53	119	516
201	836	115	628	336	837
202	411	297	672	782	695
203	432	725	968	242	355
204	568	299	914	684	990
205	248	70	341	780	446
206	998	341	674	676	461
207	849	893	543	357	504
208	870	887	463	995	743
209	412	866	556	247	967
210	537	31	125	311	635
211	244	24	913	731	668
212	803	295	436	931	942
213	385	44	585	678	863
214	66	688	982	374	297
215	9	600	872	778	935
216	352	381	534	674	981
217	336	315	617	982	957
218	407	329	108	131	160
219	716	96	16	602	821
220	569	840	775	738	478
221	692	659	999	880	574
222	611	179	155	745	875
223	348	80	655	418	827
224	501	106	454	756	706
225	438	356	523	21	997
226	779	196	475	465	989
227	333	640	349	135	712
228	778	543	407	414	670
229	990	388	124	415	755
230	646	36	526	155	210
231	283	803	359	277	237
232	192	987	382	803	159
233	801	736	525	180	418
234	589	531	380	728	168
235	323	664	667	364	980
236	577	648	726	125	600
237	816	906	40	226	750
238	702	945	550	66	851
239	555	793	482	358	710
240	511	530	457	396	150
241	782	561	509	903	272
242	624	354	385	251	634
243	341	303	597	898	264
244	312	202	217	875	798
245	2	474	221	69	621
246	238	591	250	984	622
247	369	360	368	262	157
248	234	828	924	165	164
249	676	773	182	38	82
250	647	487	921	410	665
251	715	601	702	339	449
252	150	407	310	821	856
253	164	414	249	703	404
254	168	3	356	355	914
255	497	465	321	885	271
256	911	582	397	279	338
257	598	180	485	310	86
258	582	616	712	704	15
259	429	665	569	121	809
260	603	345	906	261	524
261	542	760	449	849	220
262	320	370	531	298	915
263	997	634	788	166	73
264	710	95	288	123	666
265	502	268	504	127	341
266	902	961	343	565	310
267	634	952	558	863	44
268	610	614	981	219	431
269	235	438	796	458	812
270	688	445	961	46	506
271	837	719	683	793	799
272	907	442	172	897	568
273	979	162	383	359	765
274	330	286	571	188	443
275	462	611	785	758	424
276	666	352	680	927	858
277	660	596	9	245	689
278	221	163	669	149	170
279	856	234	31	867	171
280	535	984	216	282	655
281	139	801	242	624	397
282	635	6	370	86	629
283	854	653	387	609	927
284	639	536	770	324	316
285	857	895	86	767	857
286	918	68	429	26	495
287	783	643	910	632	16
288	246	708	598	730	724
289	712	918	277	797	787
290	694	504	777	47	862
291	550	853	867	753	194
292	215	589	189	441	377
293	983	623	145	412	646
294	971	577	118	271	402
295	396	911	821	524	631
296	286	377	739	43	254
297	599	255	795	191	536
298	618	167	109	267	134
299	285	751	812	96	368
300	696	51	334	170	23
301	288	554	120	613	627
302	871	574	808	224	513
303	596	219	874	459	953
304	930	321	842	203	128
305	173	53	76	234	400
306	934	13	153	533	546
307	741	363	610	62	154
308	821	135	716	42	647
309	915	669	169	629	262
310	788	161	116	409	738
311	691	652	361	330	903
312	842	418	580	943	902
313	601	586	94	987	111
314	123	742	129	305	36
315	709	459	48	208	476
316	362	85	352	73	213
317	159	310	887	654	855
318	632	753	404	29	182
319	633	212	157	670	721
320	690	100	316	890	24
321	415	475	474	759	885
322	889	124	146	831	716
323	105	470	241	463	283
324	483	573	493	428	439
325	162	880	327	287	422
326	431	924	882	294	244
327	186	210	158	774	282
328	567	440	755	79	302
329	892	235	384	446	890
330	571	347	762	631	963
331	817	128	461	997	786
332	338	464	104	764	364
333	893	521	409	808	848
334	214	822	989	768	583
335	135	65	732	889	26
336	645	401	703	206	119
337	746	102	837	541	552
338	399	638	462	672	257
339	148	650	892	11	734
340	136	452	662	375	553
341	75	201	977	747	280
342	78	384	263	48	887
343	969	482	517	442	167
344	301	262	126	523	585
345	71	400	854	843	46
346	54	59	984	235	178
347	490	858	839	562	381
348	112	369	891	399	497
349	0	41	161	892	356
350	914	119	214	786	909
351	467	415	299	757	453
352	446	705	160	408	930
353	149	628	414	754	623
354	195	293	469	958	924
355	443	845	440	460	636
356	679	704	58	397	287
357	588	308	822	707	33
358	699	366	289	921	639
359	270	351	360	549	288
360	154	567	604	888	912
361	913	29	488	28	675
362	189	629	870	796	188
363	714	98	935	260	663
364	73	946	828	274	67
365	309	10	374	974	563
366	258	342	65	737	50
367	557	206	990	648	774
368	158	968	191	717	47
369	303	101	497	83	375
370	593	193	344	111	769
371	544	173	213	421	107
372	296	203	458	383	502
373	202	467	995	614	245
374	722	608	128	354	867
375	453	926	255	54	191
376	177	252	751	855	550
377	398	982	467	935	682
378	113	868	137	472	399
379	130	631	779	434	884
380	574	689	262	334	970
381	367	94	900	671	389
382	274	799	82	960	806
383	456	891	150	108	877
384	204	875	625	509	298
385	895	732	183	569	726
386	868	776	166	229	771
387	494	307	980	503	955
388	322	223	950	273	618
389	118	534	665	938	588
390	65	687	372	183	365
391	33	271	827	433	321
392	281	539	136	109	758
393	458	425	252	878	749
394	809	488	677	817	312
395	109	97	111	657	429
396	827	158	230	726	745
397	193	398	371	973	327
398	977	227	32	936	615
399	548	50	728	560	228
400	383	737	422	217	794
401	190	67	260	289	624
402	217	528	114	88	567
403	552	765	233	916	390
404	424	905	2	620	558
405	351	194	676	615	484
406	233	441	346	462	517
407	273	494	358	376	409
408	140	318	398	231	239
409	108	500	14	475	384
410	687	324	572	272	344
411	636	483	574	30	859
412	947	63	5	561	230
413	984	395	880	865	559
414	325	562	923	576	486
415	16	75	715	403	815
416	475	928	412	449	818
417	563	258	176	488	693
418	906	670	211	367	554
419	53	739	832	13	336
420	900	755	877	493	204
421	116	850	564	220	593
422	101	551	140	278	597
423	76	326	339	395	359
424	364	364	560	872	572
425	271	422	148	991	800
426	840	91	312	650	135
427	622	226	643	994	401
428	776	478	831	568	729
429	247	939	79	510	444
430	503	934	758	887	987
431	541	752	231	216	754
432	344	257	30	126	686
433	992	898	979	391	528
434	361	332	638	638	457
435	879	835	239	470	137
436	651	355	862	752	727
437	546	914	195	53	791
438	165	590	410	861	549
439	55	177	330	154	804
