	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	979	305	374	572	536
101	470	528	353	619	521
102	440	324	379	624	517
103	974	346	18	229	504
104	22	458	974	630	503
105	432	357	381	631	484
106	912	364	19	632	139
107	483	504	924	635	472
108	962	502	20	20	845
109	45	500	351	243	236
110	420	499	672	18	411
111	55	508	714	902	239
112	58	509	394	6	400
113	59	363	203	919	396
114	60	356	944	22	255
115	998	361	716	986	385
116	925	352	35	23	272
117	506	498	883	908	367
118	507	351	344	910	294
119	407	510	668	925	339
120	406	365	196	28	333
121	963	350	309	507	456
122	892	347	737	453	134
123	454	10	76	437	317
124	889	537	155	739	647
125	303	542	631	286	835
126	743	567	768	456	826
127	626	75	842	721	824
128	755	92	531	333	819
129	767	585	221	628	805
130	186	519	618	169	795
131	741	28	777	399	9
132	185	515	104	700	775
133	777	969	778	203	770
134	323	41	783	225	19
135	325	514	785	681	755
136	782	979	577	679	745
137	603	25	808	672	28
138	787	939	241	670	645
139	775	579	601	319	717
140	599	48	593	436	33
141	206	56	239	375	49
142	213	1	615	748	51
143	270	596	641	604	698
144	251	918	277	856	655
145	690	213	856	826	697
146	276	216	755	391	688
147	244	219	643	116	662
148	699	677	492	810	685
149	737	226	867	789	712
150	239	227	504	555	124
151	282	360	751	784	674
152	655	358	754	422	665
153	652	800	655	782	152
154	648	824	86	779	312
155	227	689	494	139	316
156	226	698	308	617	240
157	704	760	474	760	17
158	92	714	210	756	227
159	333	278	544	162	201
160	353	321	797	667	972
161	554	287	5	530	177
162	372	739	614	669	169
163	371	290	240	312	842
164	116	734	608	510	453
165	368	733	870	504	512
166	560	255	380	599	643
167	562	377	137	987	641
168	127	672	585	417	639
169	568	634	791	409	587
170	361	129	745	307	328
171	839	883	357	602	711
172	168	665	717	397	724
173	142	873	537	959	530
174	832	869	430	612	479
175	829	439	398	954	682
176	157	163	666	890	870
177	540	142	43	80	762
178	335	168	149	783	399
179	803	909	936	34	391
180	162	180	838	191	382
181	590	185	414	715	353
182	878	652	950	744	345
183	823	911	413	731	954
184	110	845	53	392	430
185	584	189	339	814	789
186	151	602	419	785	987
187	387	431	909	164	995
188	349	618	434	180	705
189	383	738	377	21	579
190	822	989	839	702	162
191	154	366	467	316	908
192	862	770	610	639	451
193	54	682	382	926	425
194	819	505	400	866	408
195	430	862	385	762	295
196	781	400	756	643	63
197	56	839	826	536	164
198	240	436	968	537	731
199	676	635	348	995	332
200	666	310	667	200	271
201	70	248	669	587	754
202	67	230	47	261	210
203	48	225	45	369	738
204	674	11	673	594	610
205	678	12	37	597	209
206	682	13	680	193	573
207	44	20	661	601	203
208	654	35	681	455	615
209	685	40	689	186	196
210	694	44	24	265	247
211	702	50	14	363	663
212	706	53	702	359	773
213	40	59	703	615	734
214	34	90	711	175	219
215	716	106	712	621	696
216	18	124	718	625	245
217	723	131	2	472	702
218	16	136	1	170	318
219	4	138	25	637	602
220	688	150	98	166	689
221	569	161	91	165	442
222	651	192	141	161	715
223	645	193	158	609	590
224	113	194	150	442	257
225	88	201	589	271	726
226	280	202	147	135	686
227	582	209	145	285	324
228	86	210	600	942	309
229	588	419	604	410	716
230	602	424	605	323	776
231	81	401	108	963	771
232	607	619	619	964	787
233	77	709	628	966	631
234	616	580	236	325	368
235	622	589	114	331	633
236	274	598	654	354	364
237	627	603	638	336	289
238	628	604	653	346	297
239	634	605	116	5	549
240	271	614	642	344	359
241	635	638	646	278	552
242	636	646	649	915	159
243	642	649	917	524	160
244	620	650	451	465	823
245	298	651	273	804	357
246	934	653	994	577	191
247	237	658	227	800	554
248	725	708	960	578	254
249	163	704	131	97	804
250	158	696	989	794	814
251	957	675	140	588	355
252	238	694	124	198	791
253	96	530	217	603	810
254	971	531	103	87	343
255	80	521	872	184	285
256	78	437	0	751	796
257	164	442	788	738	170
258	149	444	660	733	801
259	441	776	793	723	559
260	573	761	656	128	185
261	745	472	670	716	618
262	748	750	806	712	624
263	709	524	779	131	616
264	707	478	629	688	670
265	779	475	918	173	603
266	672	488	612	83	636
267	646	491	611	565	986
268	624	495	824	825	287
269	814	721	599	267	649
270	821	719	683	889	673
271	550	693	690	482	137
272	517	749	579	487	951
273	503	737	530	878	135
274	0	96	517	996	856
275	490	757	764	495	541
276	289	768	512	505	841
277	899	732	865	211	377
278	385	73	746	870	557
279	394	94	422	488	809
280	399	427	402	541	806
281	401	162	317	234	893
282	442	449	739	848	909
283	467	459	280	228	765
284	874	466	268	845	960
285	802	381	663	65	758
286	847	482	665	556	329
287	169	369	757	691	751
288	497	325	621	917	735
289	658	536	636	821	733
290	578	539	587	558	414
291	778	434	153	911	721
292	768	951	165	62	919
293	266	670	935	201	151
294	479	165	301	432	495
295	724	506	676	449	163
296	585	2	766	768	409
297	544	503	726	737	478
298	285	681	652	974	237
299	579	385	260	703	973
300	505	254	858	120	581
301	491	265	897	126	492
302	512	494	32	143	16
303	639	355	981	155	40
304	640	987	955	185	588
305	510	345	877	209	561
306	91	986	930	214	24
307	659	991	46	216	595
308	66	916	29	219	634
309	65	985	26	220	38
310	671	425	59	222	606
311	62	7	979	224	608
312	105	36	965	121	614
313	57	919	976	441	617
314	687	37	982	997	622
315	691	957	40	450	593
316	43	406	747	547	26
317	37	942	841	561	646
318	13	465	576	563	553
319	8	388	565	564	997
320	705	961	559	447	500
321	708	962	326	569	501
322	712	68	332	576	505
323	53	965	333	580	520
324	637	477	334	596	85
325	215	410	541	598	668
326	109	379	540	620	667
327	518	483	536	640	1
328	125	952	534	654	651
329	527	981	343	659	524
330	537	487	349	678	525
331	542	982	523	685	527
332	546	931	355	697	77
333	548	91	510	698	653
334	555	115	499	708	545
335	108	893	432	717	546
336	558	810	433	719	550
337	576	809	439	542	80
338	556	286	416	531	626
339	123	170	412	566	14
340	592	802	459	481	157
341	598	595	300	459	979
342	633	786	392	523	982
343	117	755	387	462	981
344	617	188	383	474	145
345	583	621	373	471	945
346	520	736	371	513	976
347	318	269	483	134	974
348	774	268	361	127	67
349	102	727	391	655	970
350	955	725	292	405	105
351	928	217	561	674	84
352	73	688	762	111	104
353	167	234	758	675	988
354	211	678	616	470	675
355	194	155	212	88	341
356	945	577	770	475	522
357	721	174	774	416	815
358	915	113	205	66	544
359	783	887	753	973	556
360	661	329	197	57	782
361	785	881	186	54	563
362	788	875	814	707	578
363	759	103	821	46	583
364	612	547	825	421	585
365	677	866	170	32	757
366	459	865	169	962	599
367	455	823	803	339	604
368	683	858	741	808	625
369	854	418	478	819	720
370	409	830	734	803	635
371	641	554	282	539	638
372	870	569	229	313	658
373	746	309	243	295	660
374	348	307	704	551	818
375	345	852	261	559	450
376	739	997	657	273	0
377	701	994	263	260	868
378	896	578	228	863	917
379	316	260	658	257	907
380	307	261	136	877	422
381	295	203	315	730	315
382	281	880	320	238	413
383	913	789	409	872	863
384	521	137	151	231	683
385	714	285	465	780	435
386	766	895	799	934	372
387	703	754	372	871	360
388	502	611	366	816	156
389	618	773	252	485	942
390	246	842	951	493	887
391	451	295	352	217	167
392	350	405	522	773	375
393	174	341	869	583	107
394	764	779	617	8	798
395	495	784	375	14	853
396	180	724	436	522	427
397	312	643	995	798	119
398	973	995	316	726	531
399	734	271	677	466	925
400	927	371	437	378	279
401	916	276	429	377	277
402	920	281	428	376	483
403	139	256	426	374	457
404	857	414	423	373	491
405	153	413	421	311	260
406	898	411	420	310	507
407	860	408	407	19	246
408	882	251	404	306	533
409	150	252	403	279	228
410	900	253	401	282	225
411	97	404	396	287	562
412	880	378	386	276	263
413	93	257	318	275	447
414	909	402	314	291	445
415	907	398	999	293	305
416	130	326	313	274	363
417	140	387	266	272	365
418	942	263	288	270	369
419	87	383	289	264	356
420	873	272	290	262	376
421	124	266	264	281	380
422	84	267	262	298	384
423	72	393	298	305	389
424	404	384	278	259	335
425	842	270	279	256	331
426	589	890	296	939	398
427	577	334	303	423	401
428	575	896	312	754	402
429	165	898	310	29	325
430	567	501	306	653	416
431	551	496	304	277	320
432	549	64	269	235	424
433	547	481	458	418	567
434	541	407	901	67	215
435	539	359	452	496	998
436	330	945	272	379	572
437	331	970	493	407	766
438	597	910	417	383	750
439	524	24	68	4	743
