	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	383	914	282	392	338
101	97	478	629	672	763
102	808	143	120	441	322
103	339	528	400	431	844
104	367	196	25	591	627
105	409	201	921	735	15
106	755	524	143	656	823
107	193	980	386	961	80
108	338	670	136	926	528
109	551	574	882	121	733
110	660	27	341	738	556
111	573	767	109	958	104
112	258	205	392	641	985
113	191	146	187	507	593
114	37	634	668	202	687
115	957	995	19	848	647
116	503	17	504	154	933
117	127	178	813	533	308
118	839	804	619	879	824
119	60	686	398	674	159
120	138	371	901	974	277
121	182	96	202	695	867
122	737	682	65	836	137
123	864	168	778	563	987
124	984	564	360	298	399
125	344	277	171	801	384
126	574	789	247	770	695
127	676	232	390	866	781
128	701	621	79	255	303
129	475	470	279	217	789
130	158	359	312	745	17
131	778	786	462	46	800
132	54	492	914	120	502
133	794	418	452	803	347
134	567	790	783	463	285
135	84	385	316	325	44
136	218	648	428	218	94
137	627	809	658	936	865
138	320	61	744	587	859
139	168	719	273	377	320
140	125	352	402	289	505
141	714	912	515	165	430
142	301	4	26	19	210
143	204	755	374	48	497
144	911	708	48	650	448
145	556	810	23	314	590
146	524	773	932	472	59
147	986	358	751	469	126
148	420	961	811	35	604
149	491	50	292	8	381
150	897	457	762	22	670
151	518	20	702	188	688
152	569	291	368	845	67
153	559	834	660	450	469
154	197	433	167	952	957
155	532	268	641	14	236
156	431	209	733	57	851
157	634	395	803	319	319
158	539	79	587	487	774
159	990	950	753	938	858
160	62	430	457	127	568
161	861	529	332	606	743
162	840	301	350	348	247
163	308	234	509	3	566
164	259	868	308	132	51
165	582	3	216	761	591
166	998	130	604	756	227
167	146	503	933	297	433
168	932	842	90	711	620
169	57	261	964	615	712
170	269	496	22	160	296
171	291	258	116	621	151
172	283	681	381	748	759
173	66	305	640	219	735
174	712	679	250	97	770
175	702	542	91	959	400
176	517	800	137	513	391
177	0	505	569	875	557
178	625	171	909	638	518
179	685	124	417	65	797
180	438	606	873	945	23
181	626	73	365	601	317
182	977	855	433	291	100
183	679	284	71	948	786
184	674	622	675	424	980
185	149	379	286	85	465
186	276	303	242	719	164
187	223	75	995	470	327
188	230	689	943	236	24
189	107	722	5	336	891
190	555	939	391	72	935
191	568	356	540	580	197
192	683	749	485	460	393
193	220	372	805	394	464
194	809	508	477	459	446
195	992	427	367	768	355
196	161	602	46	415	16
197	402	992	458	29	292
198	233	134	336	597	617
199	413	793	532	311	416
200	704	891	140	569	9
201	719	401	371	957	614
202	395	694	851	387	140
203	729	991	361	648	254
204	830	706	560	949	361
205	901	540	352	968	272
206	417	750	419	357	969
207	525	631	808	835	804
208	721	957	403	783	923
209	484	923	476	518	810
210	147	411	534	703	558
211	578	83	204	888	782
212	319	152	996	737	862
213	724	709	343	839	406
214	59	875	407	162	364
215	253	652	837	673	820
216	198	174	732	908	480
217	510	881	115	556	769
218	956	753	263	982	122
219	942	551	689	855	821
220	966	281	111	935	378
221	316	162	383	994	990
222	746	118	41	98	981
223	325	161	258	911	304
224	570	304	728	349	971
225	174	335	106	410	213
226	974	857	124	274	734
227	134	406	339	675	651
228	105	926	965	718	344
229	833	11	785	546	587
230	238	589	564	423	814
231	888	302	210	462	182
232	124	68	155	941	69
233	557	56	304	575	259
234	323	656	592	859	129
235	807	13	348	18	641
236	659	467	340	523	135
237	393	739	891	414	456
238	819	189	814	724	892
239	173	326	58	679	457
240	4	828	990	919	225
241	331	262	666	456	874
242	270	7	657	825	489
243	190	28	595	997	765
244	159	819	774	96	716
245	586	581	313	829	389
246	261	410	980	403	690
247	637	229	2	305	397
248	180	940	154	614	516
249	763	628	507	287	686
250	563	692	157	275	893
251	312	398	621	407	552
252	176	543	737	337	618
253	635	354	228	929	290
254	910	187	373	655	367
255	112	665	669	892	950
256	334	799	630	925	87
257	353	78	556	175	103
258	565	916	759	223	583
259	647	490	168	453	130
260	295	452	103	515	795
261	788	173	822	56	718
262	144	429	355	261	633
263	424	369	656	828	38
264	696	545	781	131	586
265	805	601	351	628	337
266	648	502	580	173	973
267	11	458	644	878	454
268	202	667	824	473	114
269	900	725	53	203	917
270	229	520	717	229	468
271	8	751	448	81	799
272	849	577	710	199	422
273	656	325	81	598	55
274	596	188	662	501	477
275	123	919	63	603	936
276	843	444	807	481	107
277	511	135	128	239	970
278	33	387	126	916	749
279	200	578	465	960	196
280	822	64	353	702	571
281	613	129	870	17	115
282	903	184	606	39	703
283	597	256	643	760	211
284	657	928	490	807	726
285	244	565	599	631	152
286	501	32	92	701	517
287	852	705	471	399	606
288	152	67	571	90	443
289	496	100	802	320	14
290	99	156	251	517	925
291	252	12	268	944	425
292	350	847	1	962	754
293	288	93	638	285	150
294	813	219	665	260	377
295	728	140	536	786	171
296	64	714	795	877	49
297	445	695	707	991	657
298	369	808	856	109	906
299	48	905	892	234	390
300	571	671	456	536	842
301	96	236	553	184	827
302	88	653	409	752	991
303	687	16	920	43	630
304	692	976	44	134	615
305	576	422	163	139	701
306	399	685	531	986	485
307	458	737	246	819	388
308	114	53	654	544	496
309	287	850	698	91	697
310	326	562	43	286	262
311	585	10	27	31	84
312	473	975	50	605	201
313	854	720	7	375	889
314	453	837	612	61	815
315	46	972	394	527	625
316	222	442	330	831	372
317	909	287	141	170	890
318	544	534	565	983	453
319	940	498	396	478	438
320	139	769	577	206	914
321	401	893	243	373	662
322	688	823	451	47	527
323	662	311	623	640	626
324	189	47	328	541	435
325	962	521	626	784	643
326	209	278	165	804	533
327	349	730	229	247	964
328	964	393	410	241	965
329	845	22	672	884	427
330	743	557	863	222	483
331	554	650	519	611	698
332	78	192	184	644	666
333	142	607	949	970	631
334	975	225	18	823	110
335	67	275	843	313	585
336	882	25	264	358	967
337	671	586	758	939	325
338	485	932	178	716	715
339	930	982	491	164	541
340	461	465	125	381	473
341	588	965	74	60	214
342	832	197	681	353	42
343	603	193	176	966	78
344	663	460	898	996	524
345	529	133	711	354	682
346	273	676	831	87	192
347	298	265	299	700	954
348	172	177	438	409	228
349	779	908	849	220	466
350	655	997	291	50	955
351	274	658	14	975	699
352	474	614	59	422	655
353	489	630	690	905	732
354	428	14	858	931	885
355	787	483	608	810	660
356	742	497	385	693	567
357	633	151	633	265	812
358	101	31	917	796	573
359	960	221	618	993	401
360	623	561	483	126	32
361	215	230	649	352	363
362	479	585	559	785	219
363	723	119	779	620	142
364	766	989	535	765	426
365	801	163	272	153	634
366	103	649	191	379	278
367	462	113	0	442	335
368	247	958	42	73	796
369	889	573	72	94	638
370	267	817	576	639	127
371	941	921	29	682	968
372	672	951	440	253	57
373	92	155	212	964	693
374	752	890	260	654	264
375	467	993	936	397	125
376	902	552	61	509	484
377	649	920	827	726	689
378	483	488	133	688	785
379	707	103	16	717	902
380	167	598	981	721	983
381	837	57	597	874	431
382	727	953	703	629	706
383	502	826	220	238	461
384	104	616	172	144	602
385	311	90	953	943	963
386	611	968	224	568	830
387	268	590	881	973	240
388	906	203	652	155	382
389	376	511	686	6	312
390	847	293	546	323	669
391	65	227	693	871	10
392	985	690	684	20	667
393	859	266	454	567	561
394	589	150	857	486	949
395	122	969	201	493	76
396	217	760	550	383	138
397	795	368	337	101	307
398	31	107	989	821	826
399	361	294	327	706	856
400	535	514	847	915	729
401	318	357	150	681	263
402	892	721	869	653	230
403	646	255	510	332	550
404	767	535	233	510	451
405	868	555	432	267	267
406	652	902	537	753	612
407	38	92	108	529	848
408	150	414	998	903	597
409	722	341	772	278	896
410	394	217	464	981	223
411	126	693	217	34	696
412	434	254	741	602	318
413	432	576	488	869	330
414	802	688	844	978	653
415	441	381	791	715	40
416	214	736	31	992	913
417	17	611	868	707	997
418	58	981	24	686	220
419	254	499	310	742	623
420	991	94	132	448	753
421	43	530	867	252	554
422	358	570	423	817	500
423	619	604	363	310	353
424	691	862	821	630	439
425	271	596	170	617	204
426	953	195	788	243	895
427	293	959	221	324	311
428	427	911	344	293	362
429	404	322	280	344	35
430	292	885	624	488	160
431	470	733	489	558	877
432	599	853	984	867	120
433	20	55	309	277	986
434	945	141	561	209	331
435	898	370	746	78	711
436	155	347	249	613	188
437	249	554	825	733	145
438	140	1	895	624	85
439	895	377	947	112	837
