	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	361	149	614	828	477
101	358	483	266	432	462
102	135	912	37	504	738
103	585	252	787	203	85
104	108	192	606	418	500
105	105	808	867	819	210
106	442	275	241	465	237
107	109	553	930	28	214
108	672	975	777	702	365
109	239	720	887	760	826
110	918	224	365	716	425
111	453	305	289	66	917
112	784	649	428	640	587
113	237	222	145	71	983
114	840	377	655	276	422
115	782	873	258	116	319
116	451	427	961	852	515
117	402	988	571	641	357
118	512	578	439	935	380
119	980	555	610	612	857
120	517	634	843	615	762
121	139	28	182	791	456
122	411	35	587	737	504
123	125	658	755	974	203
124	100	737	708	319	19
125	809	569	400	239	130
126	624	418	397	155	647
127	384	981	838	600	394
128	556	887	642	328	247
129	852	80	38	773	505
130	743	499	261	814	541
131	707	174	173	53	757
132	603	189	532	753	454
133	206	689	196	847	797
134	116	776	952	745	639
135	369	24	784	348	824
136	146	407	498	219	11
137	242	73	599	866	615
138	724	828	273	96	717
139	714	496	454	785	743
140	841	547	543	131	971
141	153	779	412	357	862
142	538	400	71	659	891
143	122	484	221	255	227
144	507	410	732	951	960
145	632	503	621	400	592
146	95	852	693	643	970
147	535	442	615	783	972
148	486	736	882	962	629
149	474	757	264	826	989
150	52	341	327	710	372
151	550	129	366	537	686
152	31	219	744	449	974
153	401	459	753	286	33
154	510	269	392	617	673
155	285	826	23	412	307
156	276	646	665	544	618
157	58	67	124	994	800
158	729	738	711	672	329
159	988	385	332	674	875
160	677	614	625	316	191
161	778	267	191	717	442
162	68	962	895	937	344
163	113	770	205	748	171
164	791	255	960	723	823
165	705	210	522	479	401
166	969	433	136	751	715
167	730	372	504	555	775
168	725	65	641	609	411
169	666	705	414	409	297
170	962	405	379	501	311
171	247	505	923	78	753
172	845	213	8	725	480
173	617	681	410	83	735
174	258	622	456	21	345
175	88	131	690	329	697
176	998	309	821	180	868
177	827	257	482	603	463
178	173	665	377	434	61
179	181	294	509	726	254
180	368	911	980	982	997
181	71	531	277	821	246
182	611	769	35	793	430
183	6	33	246	154	240
184	140	445	198	399	404
185	342	57	758	358	142
186	895	91	137	10	121
187	497	801	333	587	585
188	912	10	308	18	881
189	462	136	666	359	674
190	455	452	227	481	705
191	295	819	618	987	295
192	808	618	537	707	885
193	80	379	451	123	63
194	428	102	343	164	726
195	822	474	826	332	776
196	334	621	43	271	4
197	715	36	299	162	177
198	330	3	413	619	810
199	767	604	203	377	951
200	634	212	817	601	103
201	792	204	771	198	665
202	215	891	785	973	421
203	566	727	467	859	435
204	864	281	374	756	553
205	983	793	612	939	367
206	595	923	733	738	821
207	654	465	878	704	164
208	931	366	791	902	332
209	803	667	207	165	908
210	177	676	844	517	77
211	906	719	757	216	756
212	541	180	104	108	219
213	529	694	660	262	38
214	150	550	611	524	670
215	350	360	802	920	377
216	576	98	814	233	182
217	362	577	131	5	557
218	932	999	762	33	186
219	496	4	40	733	689
220	385	461	314	530	745
221	836	165	853	719	127
222	458	932	676	495	930
223	570	68	115	19	638
224	586	914	636	874	476
225	844	987	422	396	196
226	491	334	510	781	369
227	674	883	483	264	188
228	54	472	344	403	382
229	148	510	177	529	260
230	878	414	579	185	207
231	267	824	101	875	982
232	655	906	312	954	895
233	351	848	899	265	337
234	230	675	402	561	990
235	821	137	382	669	590
236	542	133	210	747	312
237	133	539	155	220	455
238	354	419	475	694	484
239	759	448	560	6	111
240	438	514	769	77	73
241	405	961	149	225	391
242	721	271	536	144	49
243	676	122	530	752	693
244	163	395	512	20	124
245	138	951	679	997	64
246	575	2	396	132	703
247	130	749	20	915	423
248	388	262	916	832	310
249	996	605	385	898	287
250	971	240	608	670	754
251	783	430	913	312	614
252	345	62	558	117	961
253	727	839	143	657	923
254	560	629	507	193	870
255	155	340	383	803	716
256	521	760	926	423	13
257	73	842	936	9	294
258	612	607	142	339	936
259	829	59	585	870	791
260	780	524	617	711	168
261	312	724	352	54	867
262	559	498	216	425	400
263	999	103	268	352	953
264	397	37	423	260	646
265	522	494	394	294	976
266	168	302	643	285	567
267	970	739	321	431	734
268	375	357	783	73	721
269	774	276	624	42	472
270	254	162	479	456	688
271	432	6	326	637	245
272	62	352	994	369	309
273	118	41	745	392	666
274	703	682	46	940	185
275	818	49	716	455	731
276	815	183	795	611	606
277	972	893	811	367	503
278	344	434	658	201	653
279	979	896	158	229	86
280	37	853	672	911	702
281	745	640	279	541	402
282	441	688	384	731	355
283	854	436	737	780	424
284	352	669	974	410	427
285	349	421	116	758	152
286	737	582	856	562	16
287	974	660	330	779	853
288	582	412	538	578	724
289	953	866	703	545	448
290	79	48	448	427	521
291	174	653	870	797	339
292	45	875	705	703	600
293	91	872	243	480	919
294	490	167	339	235	645
295	110	754	172	598	660
296	407	315	564	724	10
297	856	600	865	883	795
298	610	217	303	375	816
299	136	310	407	487	46
300	495	83	36	336	973
301	663	679	499	222	122
302	92	265	828	588	215
303	293	422	437	863	78
304	857	226	766	241	957
305	18	332	433	691	282
306	619	190	497	325	126
307	943	268	589	698	602
308	76	551	782	547	106
309	900	256	272	534	893
310	823	945	148	61	225
311	806	89	401	101	524
312	642	471	883	948	80
313	117	439	707	314	845
314	646	860	833	569	913
315	485	616	186	808	23
316	231	751	951	788	536
317	661	858	347	111	531
318	483	118	925	161	988
319	227	354	386	845	255
320	849	121	540	466	842
321	764	415	436	812	620
322	501	398	464	688	398
323	911	771	907	879	838
324	124	561	953	436	773
325	609	438	555	43	197
326	367	56	132	173	436
327	371	847	492	848	814
328	539	85	390	281	418
329	897	540	95	675	301
330	180	147	103	56	14
331	211	823	674	777	948
332	204	416	846	215	338
333	734	383	280	273	696
334	335	895	891	539	864
335	598	980	94	305	955
336	839	225	240	567	24
337	884	325	430	46	465
338	616	146	111	295	533
339	555	260	420	800	501
340	167	227	488	522	140
341	194	966	373	3	495
342	322	752	592	885	801
343	710	583	477	102	682
344	398	324	351	925	340
345	67	701	541	126	105
346	182	475	370	405	887
347	482	833	494	349	719
348	723	285	718	169	710
349	164	329	793	92	386
350	880	902	848	989	236
351	114	506	309	261	709
352	567	579	291	337	170
353	325	804	999	393	444
354	186	170	434	930	160
355	216	997	31	686	486
356	937	205	48	507	347
357	43	948	803	628	634
358	475	953	465	676	399
359	748	208	371	934	396
360	336	467	485	563	722
361	261	197	313	338	854
362	238	132	187	843	574
363	60	321	797	287	333
364	303	520	734	739	680
365	569	486	879	549	979
366	202	279	597	135	651
367	316	958	686	926	39
368	399	601	421	490	378
369	505	140	704	364	612
370	0	989	288	474	914
371	678	13	523	121	235
372	33	248	561	958	771
373	648	575	471	638	278
374	788	481	25	289	942
375	494	608	493	884	583
376	232	355	189	433	883
377	870	299	122	106	289
378	217	155	646	584	699
379	427	718	362	446	275
380	191	318	27	52	729
381	952	777	681	513	935
382	506	803	16	340	903
383	665	648	429	505	819
384	281	753	534	156	616
385	226	529	531	757	987
386	284	576	808	60	712
387	2	773	214	981	50
388	817	97	262	482	262
389	470	135	457	79	296
390	760	979	218	143	863
391	647	365	675	242	941
392	519	810	989	453	925
393	739	370	651	128	107
394	480	580	710	379	2
395	420	994	670	774	201
396	681	721	751	572	385
397	323	482	409	712	360
398	158	521	684	596	751
399	331	942	310	48	954
400	248	308	572	500	25
401	973	177	663	984	963
402	500	909	656	764	877
403	141	185	820	186	279
404	802	138	812	532	912
405	719	203	714	417	846
406	758	14	253	331	223
407	558	910	141	908	211
408	524	29	337	860	572
409	511	457	296	922	461
410	874	196	469	765	945
411	960	79	109	236	782
412	532	919	546	224	874
413	198	194	995	798	364
414	53	857	852	701	303
415	376	552	201	869	759
416	209	869	440	58	902
417	859	458	239	320	285
418	861	195	851	629	406
419	635	513	153	527	787
420	353	493	211	784	836
421	417	74	613	768	561
422	548	825	677	459	305
423	101	124	323	871	939
424	557	838	236	786	837
425	97	50	781	685	330
426	651	656	76	631	408
427	185	490	904	252	390
428	235	161	9	825	841
429	583	730	924	510	859
430	406	128	727	448	98
431	294	78	874	813	283
432	17	725	827	475	375
433	625	17	157	435	755
434	525	27	342	437	129
435	749	672	948	602	204
436	592	287	398	916	209
437	364	178	47	421	906
438	596	650	847	47	750
439	319	199	768	503	625
