	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	632	463	980	981	504
101	344	669	510	716	345
102	350	303	71	267	425
103	293	187	751	773	82
104	671	168	456	33	394
105	162	442	523	46	497
106	666	203	876	238	375
107	114	265	457	721	312
108	429	736	108	316	357
109	745	510	877	490	316
110	752	497	610	596	378
111	715	598	879	375	451
112	307	101	198	578	246
113	845	664	900	400	646
114	542	356	264	653	826
115	369	987	146	255	372
116	78	234	852	760	643
117	413	240	946	559	639
118	440	430	753	781	515
119	535	74	86	66	162
120	870	1	868	503	503
121	158	227	999	774	164
122	383	422	898	657	187
123	942	27	447	312	403
124	612	650	289	529	169
125	116	341	897	10	997
126	494	65	19	418	789
127	263	97	892	136	680
128	431	482	675	271	995
129	2	912	620	339	171
130	68	433	914	164	924
131	490	553	525	272	896
132	940	31	958	203	762
133	742	460	703	801	724
134	539	37	23	425	521
135	665	531	400	162	396
136	722	484	290	73	998
137	334	603	227	700	743
138	164	144	261	954	546
139	803	812	504	583	919
140	341	107	693	399	786
141	788	735	857	433	294
142	368	576	732	377	857
143	348	129	833	352	773
144	227	981	593	329	951
145	298	997	403	723	289
146	983	530	186	632	369
147	22	16	781	640	974
148	729	78	930	783	734
149	80	50	618	731	23
150	101	326	937	228	339
151	767	910	838	261	203
152	633	998	672	754	530
153	990	342	359	785	512
154	893	768	454	293	130
155	714	555	390	798	754
156	104	962	214	487	968
157	268	351	409	619	862
158	791	68	821	911	168
159	150	628	834	481	463
160	891	438	161	745	674
161	234	75	182	565	710
162	97	968	94	286	73
163	924	279	541	472	420
164	510	285	410	712	868
165	975	686	863	685	578
166	720	840	538	938	697
167	529	896	475	770	115
168	467	881	831	600	145
169	43	847	649	849	915
170	979	42	170	994	552
171	658	770	944	542	809
172	70	461	880	21	629
173	144	263	230	556	971
174	352	345	24	678	49
175	823	132	626	908	245
176	113	891	913	726	128
177	593	352	726	730	764
178	453	672	807	751	139
179	202	733	260	703	495
180	443	737	543	674	427
181	712	621	558	434	673
182	398	623	923	49	142
183	801	677	814	47	124
184	654	286	377	530	150
185	841	287	498	634	327
186	651	173	176	691	196
187	497	288	191	874	28
188	602	322	974	706	683
189	173	452	737	943	239
190	609	347	519	287	0
191	842	350	989	710	456
192	626	267	960	9	604
193	76	393	151	643	917
194	267	550	258	786	669
195	308	36	8	984	590
196	107	176	420	459	36
197	918	266	794	961	738
198	462	55	883	117	541
199	169	59	920	18	137
200	943	258	316	510	848
201	780	819	385	242	156
202	681	290	559	488	751
203	860	834	617	584	981
204	872	584	981	546	566
205	781	136	531	217	436
206	784	189	779	524	884
207	491	505	677	347	338
208	972	972	633	379	854
209	822	271	68	505	194
210	898	671	375	711	556
211	746	932	589	226	320
212	662	273	710	609	863
213	163	335	82	539	715
214	925	961	577	566	255
215	502	156	658	94	485
216	830	999	995	951	60
217	655	802	348	305	699
218	725	734	412	456	305
219	880	137	249	277	355
220	505	838	746	139	105
221	405	857	30	216	945
222	485	980	849	262	787
223	471	511	826	963	50
224	779	441	783	966	645
225	544	614	739	918	979
226	783	751	745	86	107
227	189	213	669	780	796
228	428	678	615	522	774
229	18	276	145	294	409
230	62	369	7	964	16
231	138	579	189	427	513
232	100	826	873	830	67
233	648	418	370	154	593
234	611	53	716	354	545
235	441	502	286	567	614
236	907	513	203	625	966
237	637	694	428	777	446
238	391	459	337	807	44
239	795	2	775	978	76
240	672	688	812	186	46
241	180	569	459	97	138
242	183	321	321	728	892
243	153	839	103	223	534
244	679	690	352	921	906
245	690	833	550	845	561
246	556	197	924	756	236
247	723	445	754	243	267
248	117	779	44	613	716
249	345	358	764	466	688
250	916	830	625	525	404
251	238	919	312	383	972
252	358	357	426	495	853
253	777	474	242	332	520
254	833	769	356	198	227
255	838	163	680	617	368
256	54	681	870	791	602
257	295	909	579	863	791
258	703	979	822	594	468
259	915	554	714	432	228
260	759	370	529	184	433
261	13	261	712	310	424
262	318	113	619	116	587
263	988	660	816	581	413
264	806	950	643	482	675
265	438	124	596	409	930
266	649	767	315	161	449
267	519	138	366	537	146
268	854	724	839	381	211
269	446	179	137	279	230
270	814	165	674	231	259
271	986	842	20	415	364
272	95	924	560	517	188
273	646	72	253	733	986
274	222	471	332	920	595
275	954	216	309	880	522
276	912	268	465	926	505
277	335	174	173	194	514
278	248	478	46	847	225
279	176	73	522	612	279
280	862	201	604	229	30
281	585	722	5	675	961
282	148	589	339	106	769
283	562	521	555	800	325
284	955	170	544	426	464
285	687	372	646	65	24
286	962	958	355	829	502
287	584	918	116	396	460
288	728	580	147	772	925
289	888	911	343	475	821
290	273	915	532	125	667
291	292	10	605	833	550
292	11	503	747	848	308
293	217	667	333	87	295
294	226	570	683	72	812
295	555	652	553	54	702
296	280	226	425	110	588
297	371	222	777	28	237
298	999	88	705	504	182
299	641	989	136	854	603
300	126	385	681	569	876
301	596	676	837	764	946
302	642	529	217	817	280
303	66	308	27	23	660
304	970	648	662	870	666
305	103	448	841	638	10
306	46	760	263	218	776
307	550	411	728	446	617
308	737	604	65	986	430
309	974	618	546	748	240
310	582	106	438	544	622
311	601	777	220	724	881
312	640	725	413	890	335
313	420	596	415	12	766
314	839	248	350	307	909
315	521	162	568	587	753
316	247	691	636	179	462
317	716	13	861	264	121
318	412	602	363	903	377
319	538	407	448	664	795
320	167	883	153	82	935
321	71	355	842	701	855
322	903	379	666	871	641
323	694	536	623	803	454
324	816	377	349	970	709
325	724	646	770	61	329
326	4	294	133	435	579
327	559	809	346	428	391
328	701	4	597	884	703
329	748	223	210	244	80
330	338	643	569	853	400
331	9	658	105	883	693
332	136	419	43	123	271
333	372	383	536	344	94
334	139	551	273	236	260
335	618	183	241	532	695
336	837	412	48	220	283
337	710	682	684	50	785
338	821	128	402	989	385
339	659	309	148	30	893
340	105	255	482	910	729
341	932	332	129	143	770
342	589	293	599	298	285
343	33	494	757	768	690
344	798	305	655	452	750
345	327	425	300	531	75
346	455	890	416	821	712
347	971	151	854	511	627
348	434	119	825	55	650
349	291	519	513	983	592
350	375	161	398	278	801
351	634	601	769	846	571
352	65	739	483	455	506
353	909	567	750	737	800
354	700	656	948	974	711
355	749	363	158	285	262
356	483	48	676	788	665
357	409	708	181	971	726
358	73	212	308	779	359
359	896	634	37	374	148
360	565	946	440	767	382
361	624	506	848	605	401
362	385	94	371	8	381
363	31	118	517	744	914
364	451	905	429	698	841
365	274	508	380	673	549
366	393	277	53	282	86
367	356	416	917	839	633
368	461	754	109	940	781
369	442	49	179	541	219
370	474	182	234	306	457
371	586	993	530	274	298
372	617	208	512	109	140
373	647	578	901	442	810
374	871	605	614	523	319
375	48	753	824	403	362
376	927	488	250	563	722
377	739	209	165	927	175
378	652	354	368	257	941
379	168	205	450	259	241
380	312	687	768	48	957
381	67	487	334	241	904
382	785	662	882	598	210
383	660	591	216	501	797
384	432	184	207	355	315
385	316	509	111	939	492
386	603	495	35	513	103
387	709	723	357	77	525
388	721	956	140	26	2
389	213	40	587	78	921
390	985	159	756	333	450
391	827	585	21	348	927
392	636	158	763	209	483
393	52	799	509	602	631
394	778	103	919	88	64
395	108	904	95	669	682
396	677	894	183	416	608
397	548	24	791	319	303
398	172	866	704	4	235
399	220	25	784	793	973
400	281	649	50	291	625
401	240	765	106	253	531
402	430	346	310	819	585
403	639	984	272	156	775
404	876	439	407	681	883
405	362	825	474	431	170
406	294	640	31	31	441
407	623	272	282	907	25
408	286	14	858	334	1
409	239	852	909	650	942
410	911	95	612	659	820
411	607	455	434	338	655
412	289	80	979	392	363
413	326	853	489	765	51
414	575	803	383	180	790
415	133	20	575	126	983
416	20	315	796	323	819
417	730	586	906	534	706
418	551	721	982	553	647
419	598	526	430	20	465
420	309	486	240	796	582
421	570	35	660	648	218
422	998	908	584	120	849
423	610	185	392	465	653
424	142	817	904	38	277
425	384	387	125	336	612
426	235	927	74	812	62
427	873	539	847	373	874
428	734	291	280	826	108
429	406	464	299	865	331
430	569	56	653	351	455
431	635	860	895	449	421
432	997	256	564	611	209
433	719	475	303	656	891
434	517	873	836	85	620
435	339	400	983	804	638
436	540	810	910	476	491
437	879	831	379	474	658
438	829	17	771	639	970
439	266	398	208	265	517
