	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	703	19	332	92	124
101	704	28	323	856	128
102	412	33	617	748	188
103	707	41	618	751	186
104	708	50	321	180	185
105	215	53	342	333	182
106	710	67	545	178	171
107	214	73	541	553	170
108	720	75	540	334	169
109	318	88	448	578	127
110	202	96	451	338	168
111	702	103	428	165	163
112	677	119	426	164	160
113	299	122	425	307	152
114	298	226	417	225	142
115	271	217	470	157	139
116	624	213	474	542	137
117	276	210	475	770	130
118	633	204	414	155	164
119	284	197	482	343	408
120	285	235	483	773	411
121	254	168	485	153	418
122	645	151	490	152	685
123	599	150	403	220	682
124	291	147	402	149	680
125	247	143	499	184	675
126	242	135	507	219	673
127	295	124	397	573	668
128	239	161	513	211	663
129	657	800	386	712	686
130	658	383	523	703	660
131	238	395	383	208	647
132	296	621	382	702	643
133	661	622	380	320	641
134	590	623	535	323	639
135	663	627	537	721	631
136	665	628	320	723	623
137	666	629	623	724	615
138	589	631	624	201	649
139	233	643	625	701	614
140	565	648	761	199	687
141	728	652	203	730	693
142	195	664	763	731	773
143	730	675	764	700	764
144	791	692	202	328	762
145	161	694	198	575	761
146	541	705	197	559	755
147	795	709	771	740	753
148	336	714	187	185	745
149	538	771	186	859	688
150	537	761	779	779	724
151	535	760	781	228	717
152	527	757	782	821	716
153	149	738	183	522	715
154	274	737	182	357	703
155	344	605	787	239	699
156	522	736	173	826	697
157	815	734	795	294	695
158	142	728	170	830	719
159	818	724	802	831	785
160	519	723	803	291	610
161	821	721	805	667	602
162	139	720	168	102	486
163	349	735	166	101	483
164	827	393	813	839	478
165	350	603	161	599	476
166	135	598	816	845	472
167	512	400	757	374	464
168	833	410	151	95	463
169	162	433	217	375	501
170	510	436	737	247	461
171	164	452	310	505	453
172	167	460	638	504	451
173	737	466	304	819	449
174	559	472	646	780	442
175	558	475	299	355	436
176	557	477	290	238	427
177	554	481	662	537	425
178	746	998	666	139	457
179	186	491	279	138	606
180	330	495	669	786	504
181	550	498	273	789	997
182	758	506	675	135	600
183	759	513	676	793	597
184	760	585	268	134	590
185	549	578	684	587	587
186	764	577	261	131	579
187	766	576	258	798	571
188	177	555	693	801	568
189	774	551	255	803	506
190	174	601	251	530	563
191	334	550	249	807	552
192	544	537	242	235	531
193	778	535	236	123	530
194	779	529	716	810	527
195	780	527	233	594	525
196	169	521	723	527	520
197	168	515	439	353	517
198	165	545	739	816	554
199	413	999	230	617	998
200	141	359	415	698	505
201	133	57	454	194	305
202	125	438	449	289	603
203	118	437	440	707	534
204	112	945	355	708	289
205	110	364	436	710	288
206	109	48	434	711	287
207	107	47	356	191	285
208	103	457	358	324	284
209	101	869	432	717	550
210	97	840	429	325	528
211	93	107	423	719	524
212	89	224	422	329	557
213	88	221	421	726	559
214	81	219	420	628	279
215	79	285	419	515	278
216	722	574	416	685	297
217	356	203	357	735	275
218	365	286	300	203	298
219	627	287	568	314	267
220	623	686	292	549	574
221	622	200	371	640	302
222	618	730	184	298	581
223	617	732	704	545	515
224	613	733	703	648	262
225	612	739	702	650	585
226	634	567	699	544	514
227	611	565	698	654	588
228	609	744	181	305	591
229	603	749	189	306	303
230	602	727	689	657	595
231	598	685	196	659	599
232	593	681	681	539	473
233	588	677	680	669	674
234	583	260	201	634	213
235	610	640	677	671	319
236	635	618	674	672	769
237	636	616	696	673	326
238	639	614	673	217	441
239	719	266	711	534	776
240	716	267	714	632	159
241	715	653	155	631	157
242	714	607	754	241	786
243	706	658	753	206	787
244	696	660	751	243	328
245	690	602	750	332	791
246	683	240	158	739	794
247	681	596	745	785	796
248	680	669	712	788	797
249	674	670	163	614	433
250	660	671	734	488	148
251	659	595	169	796	800
252	656	676	730	797	146
253	651	290	728	576	804
254	648	868	171	112	331
255	646	751	177	808	332
256	579	192	178	809	140
257	576	519	741	811	535
258	571	149	672	351	812
259	567	511	213	813	335
260	438	831	216	482	134
261	430	317	597	108	336
262	429	137	596	106	816
263	428	321	595	481	129
264	417	502	592	352	819
265	415	155	277	479	177
266	409	843	278	478	821
267	407	500	282	612	178
268	406	850	269	562	446
269	405	494	283	835	210
270	402	492	580	560	696
271	398	861	579	783	209
272	393	488	577	120	701
273	391	864	286	781	702
274	388	866	575	511	706
275	372	322	288	744	709
276	369	819	289	745	204
277	439	526	581	747	711
278	364	304	599	752	456
279	440	190	601	624	455
280	453	765	264	754	722
281	566	561	652	337	726
282	563	188	650	339	454
283	552	184	649	340	729
284	548	552	227	244	731
285	521	548	643	843	450
286	518	295	636	154	733
287	503	787	633	762	735
288	491	789	234	500	192
289	480	793	629	143	447
290	475	540	620	499	743
291	473	801	243	132	749
292	469	539	244	768	750
293	467	299	246	128	751
294	462	301	247	287	190
295	460	805	612	126	756
296	458	167	260	619	757
297	455	166	262	495	758
298	451	562	153	501	763
299	494	1	526	695	721
300	275	448	920	902	507
301	280	407	921	925	241
302	281	405	909	960	635
303	151	401	924	921	636
304	146	341	783	23	240
305	136	343	104	21	513
306	130	345	350	966	645
307	2	346	349	19	650
308	6	329	550	970	309
309	9	350	344	53	653
310	11	354	558	971	655
311	12	355	343	973	657
312	17	325	560	56	658
313	24	357	561	915	237
314	27	324	569	911	502
315	31	360	543	50	665
316	33	361	334	427	235
317	43	363	333	738	646
318	48	365	587	81	254
319	53	366	608	358	255
320	282	368	610	349	618
321	54	369	614	531	545
322	62	370	298	532	553
323	64	371	641	546	556
324	67	311	280	336	294
325	71	310	272	561	544
326	72	381	584	517	543
327	75	384	651	316	283
328	78	385	534	312	541
329	80	387	530	311	536
330	87	388	401	568	301
331	91	309	452	570	523
332	95	308	457	577	271
333	116	256	459	580	304
334	127	142	464	588	306
335	60	501	471	565	260
336	814	508	476	510	592
337	286	182	477	377	518
338	288	656	377	379	604
339	647	659	359	423	607
340	652	180	488	434	257
341	679	665	493	417	612
342	688	668	497	446	616
343	692	672	504	448	256
344	700	682	368	412	667
345	701	687	509	452	310
346	712	689	512	409	228
347	713	691	517	456	671
348	729	695	362	459	176
349	743	698	525	463	175
350	745	650	375	465	810
351	748	165	103	471	814
352	755	706	653	397	162
353	763	711	253	487	820
354	768	719	793	383	468
355	772	159	150	381	150
356	777	725	807	598	826
357	781	158	145	279	145
358	787	750	143	278	828
359	788	753	812	277	141
360	792	754	142	162	329
361	794	152	136	791	135
362	798	767	132	147	838
363	807	146	154	144	126
364	808	769	826	136	125
365	809	704	124	812	122
366	616	649	838	814	844
367	601	183	839	817	845
368	586	644	841	119	546
369	577	510	844	829	849
370	294	524	847	847	119
371	301	528	849	98	480
372	303	531	108	853	448
373	311	230	105	854	801
374	320	536	126	871	194
375	322	542	655	874	227
376	326	543	167	877	690
377	333	547	778	169	691
378	339	554	658	79	705
379	353	227	665	767	220
380	368	225	670	763	315
381	384	223	232	603	215
382	385	575	683	609	214
383	287	209	686	271	492
384	394	206	697	615	738
385	442	582	705	267	318
386	482	583	718	625	320
387	484	205	784	630	759
388	485	201	211	261	321
389	486	590	746	260	766
390	502	199	747	643	770
391	506	600	755	644	197
392	507	196	756	653	196
393	511	195	759	676	781
394	517	608	766	245	782
395	539	611	768	242	789
396	570	194	204	694	790
397	575	189	774	725	795
398	434	503	744	173	191
399	999	2	999	3	489
400	227	17	309	274	246
401	229	39	315	275	245
402	230	16	316	276	444
403	234	13	317	282	460
404	235	11	327	285	230
405	237	10	330	293	465
406	246	7	339	313	225
407	248	6	340	330	992
408	253	4	341	344	424
409	257	14	121	354	219
410	258	277	118	363	394
411	218	49	115	273	295
412	158	52	114	170	338
413	157	102	8	161	333
414	155	98	14	125	347
415	4	97	24	5	330
416	13	93	27	6	324
417	16	92	29	13	359
418	37	91	31	18	361
419	45	51	35	28	362
420	52	90	38	29	363
421	55	85	40	30	365
422	65	80	41	33	367
423	66	72	45	38	368
424	70	62	46	41	393
425	76	60	352	43	372
426	84	55	48	47	374
427	86	89	71	49	375
428	92	701	72	54	376
429	100	283	79	55	377
430	102	294	81	58	311
431	105	474	86	61	380
432	108	478	92	62	381
433	113	482	94	65	382
434	117	484	95	67	307
435	126	490	96	85	388
436	148	493	98	88	389
437	152	497	106	91	390
438	153	499	111	94	312
439	154	504	59	116	85
