	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	539	630	377	901	796
101	696	526	515	441	111
102	408	44	876	108	959
103	117	121	540	476	46
104	979	352	699	591	858
105	611	887	189	334	864
106	247	933	179	930	646
107	900	335	718	996	809
108	847	771	684	995	463
109	752	47	708	802	775
110	973	236	714	613	782
111	617	478	462	544	798
112	440	524	140	994	948
113	910	997	221	761	110
114	810	70	161	450	949
115	929	291	509	920	850
116	394	611	394	528	805
117	52	488	707	437	451
118	283	104	247	956	107
119	231	216	764	155	353
120	855	159	32	286	220
121	645	565	316	716	164
122	911	800	779	983	160
123	952	188	537	558	726
124	261	664	228	859	670
125	316	706	797	465	103
126	259	934	37	306	722
127	920	101	962	432	941
128	68	179	439	580	86
129	687	100	933	997	890
130	325	496	147	563	992
131	238	744	387	771	557
132	86	42	766	527	378
133	193	262	544	886	680
134	162	754	255	964	362
135	462	204	531	533	554
136	966	260	342	625	849
137	704	402	785	970	923
138	281	205	795	723	732
139	805	727	746	778	377
140	60	831	488	751	59
141	610	548	923	110	919
142	679	308	944	403	883
143	520	305	890	239	137
144	562	824	301	91	904
145	895	176	361	737	77
146	108	591	598	407	610
147	859	224	347	984	606
148	293	448	309	166	868
149	342	340	949	919	115
150	554	820	730	410	130
151	0	837	946	433	306
152	519	6	40	934	55
153	595	943	38	745	895
154	404	545	415	942	296
155	599	265	697	415	946
156	167	463	385	603	108
157	803	537	300	359	47
158	925	951	879	951	528
159	940	627	512	363	954
160	807	13	660	367	696
161	897	563	519	929	813
162	439	765	541	675	998
163	142	804	131	373	702
164	430	189	339	347	40
165	801	326	977	874	125
166	745	789	924	772	500
167	501	527	693	948	928
168	986	384	304	542	483
169	428	261	498	733	13
170	521	203	315	152	687
171	189	225	712	160	665
172	616	187	885	568	873
173	916	542	1	114	244
174	823	961	974	251	574
175	787	85	909	829	706
176	549	17	137	949	223
177	681	55	184	58	169
178	206	675	579	203	521
179	227	80	952	29	957
180	870	161	705	278	668
181	565	784	273	395	210
182	893	141	643	119	309
183	998	519	491	131	344
184	286	869	141	682	175
185	953	984	592	678	177
186	138	83	680	422	85
187	934	787	599	828	192
188	924	310	883	126	124
189	880	576	243	185	134
190	158	873	261	529	556
191	480	825	198	87	167
192	829	416	918	475	38
193	788	132	232	50	691
194	205	672	861	112	773
195	864	976	683	888	320
196	879	838	227	541	552
197	556	889	994	97	132
198	627	230	522	343	368
199	633	621	240	48	9
200	140	392	732	981	337
201	103	149	349	184	977
202	48	325	616	632	329
203	559	635	555	847	16
204	712	687	163	55	527
205	112	206	626	628	35
206	672	254	29	607	486
207	814	894	587	180	823
208	84	79	935	546	894
209	198	989	788	173	731
210	197	904	762	807	196
211	356	835	27	279	477
212	180	603	655	400	497
213	217	543	575	975	290
214	485	652	870	619	887
215	723	455	504	588	770
216	242	112	863	631	986
217	298	436	114	728	420
218	300	217	197	635	338
219	688	64	397	54	571
220	266	182	181	235	295
221	109	267	150	532	597
222	349	865	452	86	106
223	76	866	463	43	936
224	942	190	68	396	987
225	174	144	326	860	592
226	635	958	459	612	50
227	116	202	224	814	355
228	460	364	733	621	924
229	96	582	438	804	203
230	191	562	689	287	774
231	661	271	263	513	278
232	975	412	901	233	587
233	18	293	868	459	391
234	715	304	839	31	933
235	149	378	568	753	956
236	527	992	157	495	720
237	817	817	471	452	398
238	930	767	103	773	884
239	586	183	328	507	381
240	625	226	737	498	721
241	95	760	126	686	17
242	222	332	458	836	104
243	489	616	26	760	612
244	244	251	155	144	851
245	843	552	447	843	634
246	483	438	149	748	129
247	358	113	383	578	929
248	431	457	118	229	682
249	997	2	451	992	795
250	384	97	211	614	751
251	412	50	782	777	361
252	470	819	20	907	209
253	860	928	589	796	324
254	216	521	723	650	182
255	383	917	457	340	951
256	622	20	948	879	456
257	749	458	76	941	441
258	649	167	887	243	806
259	292	644	412	849	902
260	214	557	191	47	964
261	38	168	288	143	23
262	571	619	449	530	581
263	999	235	91	364	406
264	65	253	951	244	331
265	932	614	356	684	57
266	200	801	538	434	121
267	844	677	529	332	376
268	889	31	360	200	585
269	388	257	490	19	496
270	651	171	770	52	267
271	768	739	847	756	972
272	798	986	320	352	515
273	544	22	461	539	673
274	956	209	604	534	73
275	56	915	980	37	159
276	641	440	428	8	693
277	91	119	61	22	438
278	913	812	24	219	960
279	991	198	967	514	797
280	364	667	853	883	82
281	186	337	340	14	543
282	136	286	814	62	985
283	819	730	421	354	979
284	345	550	771	561	375
285	226	429	182	866	649
286	626	577	751	154	857
287	588	490	930	704	303
288	892	979	667	399	645
289	234	379	827	774	28
290	271	461	432	718	824
291	775	842	272	3	374
292	510	735	597	740	148
293	927	595	186	824	289
294	285	908	836	577	389
295	660	36	202	67	430
296	312	421	308	447	636
297	307	885	171	436	191
298	110	956	717	170	716
299	601	862	981	414	724
300	92	923	761	629	152
301	957	12	787	186	608
302	475	98	220	106	593
303	57	277	250	49	2
304	690	807	772	458	249
305	249	987	666	275	464
306	652	135	478	78	623
307	54	561	523	560	139
308	503	118	857	26	418
309	399	29	398	211	523
310	780	408	81	256	318
311	62	273	499	648	701
312	53	493	920	939	906
313	258	212	704	72	237
314	837	63	313	57	896
315	407	724	794	333	94
316	451	287	44	342	544
317	311	768	641	387	541
318	647	170	653	721	669
319	55	914	662	314	345
320	874	988	214	943	187
321	41	150	979	496	875
322	190	93	628	615	759
323	173	880	158	162	448
324	702	25	355	500	907
325	517	993	278	758	235
326	962	221	668	811	247
327	405	593	775	274	343
328	183	343	716	643	498
329	542	916	332	911	326
330	237	425	646	963	662
331	81	921	605	486	749
332	320	694	143	854	499
333	784	482	12	479	826
334	105	607	507	598	764
335	87	575	59	783	522
336	551	492	510	255	653
337	157	460	290	898	357
338	598	341	686	819	690
339	75	608	105	553	980
340	854	464	929	685	789
341	727	193	236	800	963
342	215	810	690	706	485
343	632	173	514	56	74
344	16	529	314	520	607
345	443	106	744	785	548
346	550	223	550	515	641
347	365	676	312	669	719
348	495	845	482	409	501
349	426	137	483	462	838
350	576	404	892	525	120
351	767	227	964	482	105
352	376	585	124	817	439
353	535	361	581	688	765
354	634	472	216	947	794
355	133	567	337	111	855
356	724	773	92	583	740
357	12	656	493	630	384
358	758	285	16	517	970
359	317	590	899	821	816
360	694	860	477	710	971
361	453	596	953	179	212
362	832	952	837	329	603
363	229	919	535	757	974
364	563	573	470	294	983
365	118	229	914	575	194
366	141	734	402	559	657
367	319	27	230	408	507
368	491	414	983	640	710
369	912	258	79	109	444
370	779	407	614	460	550
371	774	579	96	565	516
372	269	749	151	194	151
373	821	122	778	297	991
374	938	651	558	887	524
375	918	33	283	767	11
376	868	324	375	809	715
377	130	370	142	351	940
378	547	823	629	349	462
379	79	499	867	537	712
380	990	653	959	53	600
381	251	270	536	697	100
382	945	441	303	863	586
383	922	385	120	617	856
384	794	311	739	940	311
385	432	368	380	69	781
386	579	514	995	925	572
387	674	711	526	564	215
388	818	902	916	726	319
389	282	381	407	703	4
390	64	583	22	481	372
391	500	57	169	453	525
392	705	418	2	282	755
393	253	649	517	715	465
394	971	586	702	202	534
395	707	177	862	936	786
396	195	315	417	976	411
397	291	297	330	64	365
398	375	806	759	670	913
399	99	670	849	61	225
400	182	985	464	832	188
401	322	10	170	902	36
402	620	288	872	523	325
403	490	424	652	11	711
404	45	281	675	926	236
405	127	692	817	312	25
406	221	720	289	897	863
407	511	383	122	455	877
408	135	180	362	38	271
409	964	755	343	833	776
410	901	7	494	803	118
411	366	37	534	222	804
412	270	372	828	798	505
413	967	130	596	80	197
414	411	506	577	700	530
415	607	662	401	609	908
416	852	283	30	60	912
417	596	858	172	641	876
418	677	276	41	13	385
419	781	940	571	959	753
420	125	511	895	921	836
421	268	708	621	121	615
422	482	751	774	383	119
423	858	693	638	169	518
424	11	848	0	298	230
425	146	753	98	442	950
426	655	646	525	427	168
427	755	96	989	958	828
428	734	536	618	852	633
429	777	947	600	693	988
430	246	691	975	431	218
431	502	208	146	94	614
432	27	162	298	289	664
433	402	867	208	825	356
434	850	769	205	231	10
435	33	268	672	654	461
436	763	808	865	285	154
437	397	909	906	336	717
438	914	363	881	120	735
439	494	528	831	969	827
