	Strategy	Query	Class	Value
0	Random	q0	musical	3
1	Random	q0	crime	0
2	Random	q0	action	1
3	Random	q0	mystery	0
4	Random	q0	film noir	2
5	Random	q0	adventure	4
6	Random	q0	horror	2
7	Random	q0	thriller	7
8	Random	q0	unknown	28
9	Random	q0	crime drama	0
10	Random	q0	romance	1
11	Random	q0	drama	26
12	Random	q0	western	5
13	Random	q0	comedy	21
14	Random	q1	musical	3
15	Random	q1	crime	3
16	Random	q1	action	1
17	Random	q1	mystery	3
18	Random	q1	film noir	1
19	Random	q1	adventure	3
20	Random	q1	horror	4
21	Random	q1	thriller	2
22	Random	q1	unknown	36
23	Random	q1	crime drama	1
24	Random	q1	romance	4
25	Random	q1	drama	25
26	Random	q1	western	3
27	Random	q1	comedy	11
28	Random	q2	musical	1
29	Random	q2	crime	5
30	Random	q2	action	5
31	Random	q2	mystery	2
32	Random	q2	film noir	1
33	Random	q2	adventure	1
34	Random	q2	horror	0
35	Random	q2	thriller	2
36	Random	q2	unknown	24
37	Random	q2	crime drama	0
38	Random	q2	romance	0
39	Random	q2	drama	30
40	Random	q2	western	7
41	Random	q2	comedy	22
42	Random	q3	musical	5
43	Random	q3	crime	4
44	Random	q3	action	5
45	Random	q3	mystery	0
46	Random	q3	film noir	0
47	Random	q3	adventure	2
48	Random	q3	horror	4
49	Random	q3	thriller	5
50	Random	q3	unknown	21
51	Random	q3	crime drama	1
52	Random	q3	romance	5
53	Random	q3	drama	24
54	Random	q3	western	5
55	Random	q3	comedy	19
56	Random	q4	musical	0
57	Random	q4	crime	6
58	Random	q4	action	6
59	Random	q4	mystery	1
60	Random	q4	film noir	3
61	Random	q4	adventure	3
62	Random	q4	horror	3
63	Random	q4	thriller	3
64	Random	q4	unknown	24
65	Random	q4	crime drama	1
66	Random	q4	romance	3
67	Random	q4	drama	21
68	Random	q4	western	6
69	Random	q4	comedy	20
70	Random	q5	musical	1
71	Random	q5	crime	1
72	Random	q5	action	2
73	Random	q5	mystery	3
74	Random	q5	film noir	3
75	Random	q5	adventure	3
76	Random	q5	horror	3
77	Random	q5	thriller	0
78	Random	q5	unknown	32
79	Random	q5	crime drama	0
80	Random	q5	romance	6
81	Random	q5	drama	23
82	Random	q5	western	3
83	Random	q5	comedy	20
84	Random	q6	musical	4
85	Random	q6	crime	6
86	Random	q6	action	7
87	Random	q6	mystery	2
88	Random	q6	film noir	0
89	Random	q6	adventure	1
90	Random	q6	horror	1
