	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	458	227	258	434	156
101	674	67	120	400	558
102	609	530	23	780	622
103	845	284	844	226	562
104	227	61	779	114	636
105	596	422	131	703	427
106	522	383	422	760	512
107	617	136	368	981	530
108	710	106	262	421	404
109	722	439	315	856	528
110	387	13	454	482	650
111	494	262	556	671	176
112	380	91	930	624	386
113	103	484	868	239	809
114	849	402	959	481	961
115	164	189	910	783	541
116	850	487	734	930	80
117	369	7	585	901	431
118	97	275	172	966	753
119	298	496	733	982	680
120	345	184	579	294	870
121	676	213	716	863	552
122	662	437	689	693	884
123	158	151	53	819	448
124	874	20	26	524	359
125	435	472	746	425	230
126	505	27	624	676	521
127	291	128	768	740	63
128	552	470	696	447	425
129	815	56	727	128	378
130	818	94	924	375	338
131	206	567	372	265	671
132	535	210	356	605	634
133	309	739	933	632	429
134	70	534	269	52	171
135	891	55	510	908	196
136	101	574	875	409	533
137	38	529	799	531	639
138	288	219	917	880	863
139	798	527	366	654	743
140	656	414	523	694	461
141	847	505	595	391	61
142	461	118	775	828	480
143	195	482	623	487	693
144	439	618	923	432	0
145	856	481	157	942	345
146	906	465	909	768	703
147	742	144	239	80	505
148	582	309	683	984	705
149	661	393	935	726	627
150	398	357	402	728	290
151	566	411	697	530	463
152	169	100	758	672	770
153	253	171	584	591	635
154	176	498	641	817	454
155	320	557	636	877	115
156	823	392	843	674	302
157	941	398	916	256	712
158	244	605	807	791	826
159	496	223	841	117	814
160	204	62	672	273	420
161	364	192	723	784	504
162	884	234	872	983	114
163	246	458	31	584	496
164	813	488	365	738	4
165	562	286	684	316	618
166	99	324	232	601	296
167	109	301	754	215	603
168	406	419	686	257	507
169	871	427	620	277	867
170	846	595	203	229	397
171	365	119	429	785	28
172	837	681	12	160	82
173	107	961	925	712	125
174	440	305	327	774	262
175	724	672	467	836	163
176	918	685	698	10	616
177	873	579	529	255	439
178	682	311	759	340	506
179	598	195	715	297	42
180	540	387	797	307	177
181	574	252	234	334	145
182	292	308	74	754	137
183	22	643	344	379	168
184	880	193	960	505	844
185	124	226	404	536	629
186	471	29	18	355	527
187	46	355	599	333	455
188	95	760	115	951	11
189	174	972	273	549	50
190	383	968	710	198	592
191	817	36	214	607	422
192	254	173	576	606	466
193	114	270	277	123	981
194	752	307	676	826	857
195	725	521	796	339	337
196	870	356	918	961	436
197	659	650	863	449	369
198	263	268	358	244	355
199	342	141	744	725	821
200	700	201	398	162	923
201	524	142	512	976	295
202	368	65	530	155	604
203	642	267	367	701	495
204	970	385	699	759	786
205	585	582	533	43	868
206	974	240	608	573	978
207	737	430	525	39	966
208	407	279	384	78	326
209	180	970	45	369	791
210	660	167	558	797	610
211	165	514	309	634	544
212	396	11	649	349	875
213	430	198	35	8	26
214	240	288	593	686	282
215	716	593	753	274	254
216	442	408	9	664	816
217	304	543	535	26	441
218	677	73	242	708	317
219	678	583	300	830	381
220	92	678	483	285	384
221	273	202	282	49	804
222	123	49	532	367	683
223	721	199	837	717	524
224	816	75	161	329	60
225	44	501	788	5	718
226	636	283	747	614	954
227	827	310	642	789	702
228	785	166	205	212	876
229	490	573	479	706	536
230	593	258	654	599	446
231	779	524	470	281	257
232	105	562	777	351	874
233	612	619	492	804	709
234	375	464	621	816	591
235	903	533	769	354	561
236	73	50	598	157	722
237	146	736	555	381	442
238	506	3	342	112	57
239	703	70	183	973	970
240	258	600	176	415	416
241	353	155	396	452	673
242	640	135	160	594	633
243	892	273	499	241	304
244	159	725	202	814	462
245	577	519	373	286	944
246	839	388	292	566	160
247	620	229	990	376	67
248	672	176	783	992	735
249	182	803	289	779	849
250	586	565	526	929	987
251	544	372	412	995	398
252	911	693	867	65	554
253	777	449	540	958	773
254	783	466	597	793	556
255	739	287	351	971	977
256	117	607	662	576	908
257	316	942	605	208	259
258	957	346	577	42	667
259	707	377	457	501	307
260	135	326	878	675	763
261	687	526	261	185	983
262	527	350	673	630	643
263	404	596	817	427	356
264	497	405	581	879	543
265	690	165	158	772	687
266	267	48	793	667	568
267	748	379	290	525	853
268	623	660	448	786	828
269	646	14	312	978	862
270	323	266	854	4	330
271	168	721	359	441	973
272	570	709	952	261	15
273	704	51	961	62	240
274	560	499	304	460	430
275	181	332	385	67	376
276	663	200	589	6	623
277	814	757	128	653	211
278	362	24	847	564	990
279	657	601	362	247	848
280	200	742	420	313	157
281	645	57	735	22	630
282	295	196	439	306	318
283	2	276	291	691	764
284	857	535	812	97	717
285	420	503	124	644	456
286	480	132	22	905	998
287	517	325	617	788	385
288	318	649	774	543	292
289	18	667	105	183	653
290	66	404	565	986	164
291	372	40	94	223	571
292	266	611	656	778	185
293	760	755	229	305	682
294	317	616	177	267	260
295	729	852	998	184	362
296	589	932	178	510	797
297	191	140	853	581	310
298	972	648	728	350	909
299	782	547	811	253	545
300	311	74	350	132	419
301	579	890	146	186	472
302	438	686	104	839	887
303	257	908	619	915	724
304	57	915	508	312	531
305	551	989	737	200	329
306	971	737	974	620	924
307	702	959	236	407	476
308	445	687	167	271	39
309	139	741	507	514	674
310	134	761	5	412	126
311	76	504	625	866	572
312	942	421	827	847	525
313	795	705	572	764	457
314	475	695	633	478	121
315	705	260	212	885	563
316	592	765	301	410	574
317	91	912	24	18	503
318	238	917	82	82	513
319	220	371	750	373	322
320	633	779	485	533	278
321	764	982	592	952	935
322	584	919	343	353	719
323	503	768	92	577	327
324	940	881	967	392	523
325	602	711	610	558	758
326	539	603	996	688	625
327	683	418	184	872	801
328	88	924	791	852	210
329	634	197	466	855	756
330	67	12	976	61	593
331	665	734	217	916	110
332	977	698	644	508	585
333	271	35	497	948	162
334	910	708	904	650	755
335	985	335	628	869	660
336	446	321	63	156	899
337	31	329	8	659	595
338	772	508	250	723	641
339	811	998	657	809	483
340	511	209	766	120	16
341	978	302	984	715	447
342	189	551	712	217	489
343	459	80	534	383	675
344	86	980	44	617	757
345	334	887	381	450	236
346	40	28	820	962	228
347	897	691	580	214	491
348	148	510	432	442	2
349	966	179	352	700	658
350	730	800	711	310	445
351	93	984	380	71	751
352	840	773	995	394	353
353	984	183	536	583	486
354	969	623	220	682	670
355	335	345	244	423	7
356	937	134	346	480	46
357	962	78	210	681	535
358	929	563	822	938	824
359	556	701	653	870	695
360	900	838	240	611	624
361	308	872	430	821	691
362	221	910	296	295	13
363	467	640	76	338	219
364	692	786	348	56	588
365	822	4	36	763	549
366	456	905	979	641	40
367	590	777	668	744	340
368	405	222	965	832	620
369	186	723	433	921	393
370	568	257	169	500	795
371	68	72	391	537	139
372	611	869	165	656	444
373	205	916	280	403	997
374	259	368	326	563	320
375	699	25	288	293	907
376	774	927	413	387	167
377	844	493	614	60	963
378	152	689	147	419	666
379	651	862	681	108	151
380	781	767	615	131	33
381	882	975	994	529	1
382	230	720	679	17	285
383	719	2	143	798	578
384	712	102	670	94	685
385	133	735	842	859	36
386	202	318	504	748	790
387	979	676	142	147	836
388	239	889	337	458	850
389	647	295	650	643	77
390	990	853	249	733	449
391	999	578	316	598	148
392	391	936	409	191	926
393	153	727	465	289	241
394	231	10	631	568	191
395	541	542	703	547	980
396	187	806	140	957	62
397	484	31	195	697	396
398	740	646	726	944	227
399	688	847	208	974	311
400	709	987	640	520	49
401	285	653	339	35	626
402	852	928	106	702	827
403	763	652	260	418	24
404	520	614	785	328	892
405	235	477	308	892	141
406	794	696	86	695	438
407	62	103	72	801	44
408	142	589	611	704	271
409	862	837	77	202	305
410	548	728	476	48	10
411	350	867	170	871	84
412	573	724	704	515	38
413	658	205	334	578	267
414	502	658	191	234	75
415	632	6	513	459	264
416	792	638	852	588	245
417	495	511	730	245	945
418	549	634	596	555	856
419	734	604	2	532	201
420	276	824	658	203	9
421	715	130	574	562	664
422	973	808	438	954	275
423	864	918	46	757	377
424	538	608	702	739	617
425	626	656	29	462	76
426	417	39	377	796	105
427	768	441	606	86	657
428	655	875	794	997	893
429	854	805	108	393	119
430	385	896	655	314	107
431	336	221	781	735	690
432	550	997	186	964	845
433	474	294	198	803	411
434	248	991	21	560	106
435	8	810	770	222	812
436	868	438	79	612	992
437	376	979	456	935	361
438	555	891	50	93	408
439	330	440	951	92	418
