	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	570	328	301	259	271
101	161	893	387	422	446
102	191	858	26	804	909
103	654	176	873	452	862
104	116	951	924	779	512
105	308	185	843	80	791
106	977	804	681	511	878
107	642	1	772	657	816
108	113	484	360	352	647
109	396	918	656	166	693
110	4	862	163	588	868
111	149	132	523	672	435
112	859	68	150	3	586
113	759	458	277	706	132
114	299	230	71	149	518
115	857	318	404	983	244
116	882	826	191	294	162
117	974	153	683	559	485
118	327	777	732	971	498
119	849	293	854	329	634
120	636	223	744	939	146
121	730	227	415	270	770
122	847	310	171	922	82
123	721	406	187	447	552
124	440	843	961	214	906
125	998	142	605	814	781
126	331	585	212	112	758
127	202	787	795	500	302
128	805	200	863	638	618
129	706	463	347	101	590
130	889	326	952	764	636
131	547	286	228	600	553
132	953	371	838	412	335
133	880	189	679	139	914
134	724	760	593	350	191
135	34	3	251	156	592
136	962	413	996	970	364
137	915	690	922	644	178
138	597	87	580	271	127
139	918	184	623	431	941
140	388	603	870	39	328
141	194	414	877	809	292
142	57	894	777	676	820
143	999	770	48	88	148
144	64	472	592	455	954
145	610	667	82	399	135
146	246	550	538	934	633
147	535	505	499	194	566
148	858	776	598	580	361
149	666	980	362	725	749
150	701	742	494	800	438
151	712	372	646	981	107
152	618	638	827	518	424
153	326	853	474	513	425
154	482	141	923	41	195
155	520	23	824	621	59
156	694	526	86	224	93
157	624	838	478	480	245
158	174	619	765	530	722
159	46	583	950	209	460
160	784	565	526	424	686
161	41	267	373	825	753
162	280	42	625	601	375
163	780	296	19	98	64
164	652	658	541	624	390
165	945	913	170	426	454
166	484	270	783	510	769
167	941	806	289	905	114
168	602	149	114	53	423
169	118	695	913	340	595
170	501	56	642	267	738
171	985	890	310	698	842
172	573	956	750	576	894
173	112	803	30	549	397
174	182	668	344	273	629
175	114	919	214	547	982
176	109	911	936	211	504
177	107	53	947	466	325
178	749	689	668	6	650
179	213	824	72	917	845
180	891	308	59	450	154
181	275	600	46	241	887
182	723	817	396	612	272
183	639	342	976	738	655
184	510	156	796	351	531
185	565	44	47	208	439
186	350	159	158	10	277
187	548	887	374	584	399
188	954	97	960	606	386
189	276	675	769	323	469
190	126	514	21	778	917
191	454	643	643	482	525
192	387	136	358	730	385
193	59	733	58	132	930
194	607	543	425	759	573
195	934	48	176	885	838
196	317	953	452	120	284
197	471	258	515	73	990
198	185	377	253	432	818
199	216	618	186	514	280
200	408	459	868	643	702
201	842	943	560	428	608
202	902	88	201	867	115
203	988	360	865	495	495
204	483	508	657	583	966
205	783	989	2	225	585
206	785	752	140	839	9
207	54	335	45	52	1
208	312	757	943	570	338
209	192	531	160	383	329
210	521	284	852	297	218
211	503	92	953	892	168
212	152	946	906	541	74
213	599	651	147	911	247
214	117	182	109	109	891
215	102	640	919	831	800
216	270	79	498	632	44
217	467	793	785	902	301
218	549	606	677	843	298
219	841	411	12	648	307
220	827	301	949	637	389
221	690	161	367	640	662
222	479	502	38	54	213
223	767	4	336	532	534
224	729	404	859	572	345
225	626	670	967	434	464
226	53	50	959	515	774
227	181	124	229	392	985
228	595	255	366	812	626
229	455	482	737	853	75
230	341	73	207	324	942
231	247	904	161	410	716
232	502	635	920	264	673
233	862	356	880	826	255
234	157	290	611	359	466
235	980	359	177	740	429
236	233	60	165	560	658
237	843	63	416	957	561
238	217	869	189	233	315
239	66	481	167	543	837
240	461	98	631	978	359
241	415	834	469	874	646
242	807	714	525	471	55
243	490	576	535	418	527
244	311	17	510	524	625
245	325	294	268	311	376
246	183	395	839	503	384
247	707	885	577	9	259
248	768	519	342	228	210
249	772	340	964	801	326
250	395	263	148	901	785
251	641	608	143	28	703
252	283	302	92	478	680
253	229	819	211	688	690
254	486	646	377	949	521
255	955	677	933	441	863
256	708	75	662	737	819
257	292	865	782	396	282
258	777	912	702	186	463
259	990	950	370	625	719
260	529	988	149	573	622
261	537	928	36	344	363
262	764	503	120	244	196
263	829	685	50	733	61
264	637	948	246	218	556
265	349	886	741	947	10
266	491	510	111	847	732
267	725	499	326	179	856
268	205	847	508	277	939
269	127	165	759	414	433
270	798	932	439	223	974
271	2	265	244	693	263
272	55	36	436	499	928
273	150	106	519	67	418
274	136	906	604	568	715
275	963	33	44	93	830
276	73	730	561	848	318
277	577	498	658	417	876
278	420	422	930	987	249
279	274	32	298	522	421
280	269	828	761	937	67
281	633	475	861	381	477
282	992	830	808	656	841
283	997	676	564	613	731
284	899	564	974	498	368
285	190	279	432	198	501
286	24	535	23	659	312
287	318	649	708	598	344
288	168	449	35	56	105
289	409	909	312	184	468
290	932	400	216	682	160
291	677	875	466	700	761
292	966	515	980	943	225
293	975	385	321	527	76
294	351	492	788	686	825
295	911	927	892	126	372
296	727	513	300	758	26
297	622	501	0	460	49
298	218	288	895	473	729
299	75	206	834	425	499
300	300	800	982	27	639
301	665	987	983	55	220
302	813	921	417	285	682
303	928	575	995	49	42
304	333	435	703	602	456
305	563	965	449	765	515
306	281	370	234	119	806
307	971	809	401	319	970
308	462	22	684	275	653
309	704	343	712	673	503
310	660	799	587	742	394
311	635	341	757	578	489
312	105	708	667	553	321
313	625	100	323	910	339
314	559	309	426	760	303
315	254	958	674	889	190
316	524	311	596	566	411
317	888	939	422	921	799
318	716	20	540	293	507
319	232	924	420	436	620
320	871	940	230	393	946
321	922	190	414	358	927
322	282	201	173	691	621
323	737	855	537	306	857
324	12	679	792	242	685
325	354	744	368	170	614
326	251	590	581	215	955
327	154	465	483	147	46
328	991	275	40	57	496
329	803	102	844	945	536
330	937	567	105	265	945
331	679	769	279	966	151
332	910	741	699	23	612
333	851	552	758	206	317
334	435	178	101	944	949
335	187	384	730	931	997
336	169	271	584	925	201
337	574	985	210	509	582
338	195	722	837	785	888
339	480	273	390	363	57
340	522	410	883	226	175
341	806	947	794	833	204
342	766	315	308	803	874
343	20	281	894	824	562
344	369	790	802	915	978
345	821	506	477	863	320
346	103	665	491	708	400
347	938	629	363	956	734
348	495	130	348	374	111
349	367	452	620	697	120
350	439	152	397	995	889
351	801	474	812	262	256
352	832	934	847	620	447
353	263	470	224	331	322
354	211	11	848	79	239
355	532	593	572	336	159
356	231	455	686	338	976
357	895	196	217	745	461
358	901	999	208	4	691
359	204	163	116	726	462
360	878	880	195	615	478
361	9	487	595	875	308
362	375	607	555	982	36
363	27	961	249	12	701
364	206	131	492	617	185
365	180	916	932	542	963
366	874	737	128	754	163
367	249	393	550	43	142
368	402	268	862	748	506
369	399	995	178	536	422
370	172	291	733	183	844
371	838	848	576	110	145
372	287	860	261	253	104
373	658	905	820	772	812
374	649	959	359	777	884
375	307	867	327	245	11
376	746	278	339	169	604
377	947	881	106	13	895
378	978	570	306	475	981
379	330	807	242	581	295
380	384	477	951	629	177
381	970	398	16	47	156
382	348	652	457	394	896
383	353	801	258	106	192
384	298	719	407	685	593
385	253	569	926	37	570
386	89	981	825	567	505
387	814	143	461	108	851
388	80	551	652	739	23
389	781	378	402	222	373
390	215	439	799	768	944
391	973	329	1	61	35
392	925	119	122	531	755
393	259	682	263	813	665
394	617	445	968	918	398
395	68	144	290	456	98
396	469	166	917	94	810
397	417	761	27	46	360
398	852	210	616	493	696
399	691	968	125	236	15
400	209	59	31	175	814
401	13	464	791	664	759
402	446	70	879	927	483
403	323	170	454	459	50
404	512	16	380	391	473
405	782	277	771	376	187
406	558	493	665	162	873
407	787	895	291	90	309
408	70	524	153	816	860
409	774	418	145	305	991
410	485	115	471	485	756
411	593	555	391	123	787
412	165	728	118	154	395
413	920	55	697	458	484
414	560	254	651	702	773
415	458	917	181	453	141
416	640	195	614	667	455
417	850	662	341	339	535
418	972	193	479	849	972
419	155	365	989	508	2
420	122	548	79	373	809
421	719	735	900	704	140
422	33	256	768	212	786
423	285	589	343	735	77
424	401	90	104	257	129
425	584	231	857	675	782
426	18	494	875	872	85
427	620	198	817	936	402
428	142	137	309	855	801
429	176	579	514	968	197
430	924	976	559	435	795
431	289	128	419	178	436
432	393	431	775	791	859
433	497	773	488	811	492
434	366	62	675	20	444
435	740	408	937	880	448
436	913	388	705	650	457
437	861	91	438	437	950
438	579	297	304	773	327
439	567	822	14	763	959
