	kfold1	kfold2	kfold3	kfold4	kfold5
0	1	0	49	15	3
1	3	15	51	25	5
2	5	21	66	36	6
3	10	26	69	45	8
4	15	34	70	51	18
5	21	43	83	68	29
6	28	54	84	75	45
7	30	99	85	76	52
8	39	110	88	84	54
9	63	111	89	99	56
10	69	116	97	100	66
11	74	117	102	105	70
12	82	120	107	115	71
13	83	145	113	129	81
14	90	148	119	137	89
15	131	172	123	159	109
16	145	181	127	171	112
17	160	207	130	174	113
18	166	233	139	181	117
19	175	237	156	190	123
20	184	238	164	192	133
21	196	242	175	205	143
22	199	243	188	248	144
23	207	245	199	249	158
24	208	246	200	250	172
25	219	250	215	254	174
26	224	259	237	266	179
27	225	274	238	269	180
28	228	300	245	280	189
29	241	306	270	290	193
30	243	323	284	300	206
31	250	327	293	302	221
32	256	331	297	315	222
33	264	338	319	321	226
34	265	362	322	335	248
35	302	380	329	345	258
36	305	382	376	370	265
37	313	389	378	371	268
38	314	403	388	386	274
39	324	417	389	406	276
40	346	420	399	411	281
41	360	446	405	443	299
42	370	453	418	451	313
43	373	454	444	467	314
44	382	468	445	468	348
45	386	476	468	484	349
46	390	512	473	489	354
47	392	516	480	492	366
48	410	532	516	494	379
49	423	538	518	502	428
50	444	560	547	506	432
51	447	592	549	519	437
52	450	609	551	521	440
53	452	610	554	526	481
54	457	613	557	548	487
55	464	615	566	571	488
56	472	632	588	582	493
57	477	637	594	586	508
58	481	654	609	589	511
59	487	663	639	608	526
60	509	666	645	622	538
61	516	683	647	626	539
62	523	684	659	627	540
63	528	700	664	633	542
64	564	707	678	636	580
65	572	717	687	642	594
66	587	729	695	645	632
67	591	731	700	647	637
68	594	743	709	652	642
69	605	746	713	661	644
70	673	747	720	668	648
71	684	756	722	677	692
72	689	766	725	680	694
73	697	772	729	692	713
74	726	775	731	699	714
75	732	792	736	713	736
76	744	798	738	736	741
77	762	811	740	743	747
78	773	815	742	746	748
79	790	829	748	750	760
80	796	832	749	769	767
81	797	841	752	776	778
82	799	851	780	792	780
83	831	863	790	795	783
84	834	871	800	818	788
85	866	876	804	820	793
86	886	882	815	827	822
87	894	897	829	834	869
88	904	900	850	840	871
89	905	901	864	844	879
90	933	937	866	881	886
91	935	938	884	882	900
92	939	944	903	893	905
93	946	955	908	896	911
94	949	963	938	899	922
95	958	967	941	912	931
96	965	971	954	923	932
97	987	973	978	928	934
98	993	977	985	950	996
99	994	990	993	972	999
100	651	275	636	869	665
101	836	847	620	664	38
102	352	839	50	479	302
103	942	199	36	52	912
104	335	90	660	939	111
105	807	896	739	588	326
106	589	760	448	908	355
107	700	216	27	64	333
108	827	629	507	241	499
109	984	56	673	730	939
110	646	202	447	328	504
111	189	732	289	396	588
112	559	135	210	555	171
113	705	402	386	694	98
114	821	255	930	564	583
115	151	545	7	29	35
116	13	159	793	487	670
117	617	596	483	378	507
118	318	656	950	619	754
119	420	97	564	354	709
120	565	499	415	377	290
121	590	482	852	781	495
122	654	64	626	628	408
123	527	670	148	800	162
124	267	234	211	414	997
125	912	853	474	688	673
126	725	150	40	5	275
127	521	179	404	762	191
128	623	926	525	849	168
129	969	621	372	816	556
130	701	62	163	865	505
131	529	891	181	987	422
132	857	490	410	149	766
133	281	646	712	38	512
134	802	190	755	325	530
135	544	72	452	375	907
136	778	598	129	721	998
137	294	146	153	733	544
138	165	733	616	715	400
139	734	315	298	336	968
140	612	102	279	480	360
141	350	290	191	41	740
142	861	225	314	788	926
143	73	203	86	573	49
144	372	723	513	31	567
145	955	933	359	708	924
146	391	151	530	821	712
147	123	443	512	19	718
148	41	360	422	606	375
149	304	883	22	701	466
150	584	714	250	224	674
151	56	584	173	826	981
152	660	649	385	783	443
153	138	171	218	10	774
154	76	661	182	748	705
155	932	585	233	449	178
156	641	669	262	147	329
157	502	137	292	797	664
158	102	131	337	312	404
159	571	777	402	576	82
160	497	372	277	603	954
161	746	248	109	559	581
162	344	662	449	229	966
163	443	136	831	532	368
164	791	168	216	986	447
165	785	153	121	685	988
166	238	734	439	169	420
167	34	757	273	814	896
168	737	694	236	447	262
169	974	693	681	846	650
170	173	650	558	35	770
171	655	822	355	436	476
172	970	653	24	583	254
173	542	725	816	144	685
174	100	352	438	971	639
175	772	195	579	201	160
176	428	942	230	976	427
177	934	509	745	462	203
178	257	138	126	611	515
179	685	567	426	399	195
180	788	477	350	456	246
181	482	217	597	178	957
182	453	502	533	774	396
183	442	589	320	307	328
184	54	488	414	802	423
185	739	165	601	463	137
186	183	422	339	379	103
187	983	605	401	281	382
188	659	410	301	47	353
189	692	201	61	578	715
190	663	295	217	425	151
191	910	100	541	739	42
192	903	226	417	286	559
193	353	524	72	624	721
194	248	809	161	791	138
195	611	736	498	983	77
196	540	770	618	409	425
197	674	614	244	235	755
198	330	665	555	634	451
199	333	334	214	828	386
200	24	449	375	917	625
201	990	50	391	453	908
202	300	690	643	700	941
203	148	840	668	311	812
204	549	326	821	911	711
205	270	4	98	423	845
206	411	28	901	635	520
207	155	825	623	793	13
208	71	180	349	641	145
209	724	638	619	279	541
210	888	310	340	49	624
211	388	552	879	339	150
212	583	658	48	466	497
213	280	575	772	98	480
214	451	143	203	757	877
215	285	122	157	355	448
216	596	752	778	9	686
217	11	492	803	997	860
218	48	379	420	789	398
219	783	728	777	131	62
220	840	36	371	817	636
221	972	667	461	226	785
222	842	640	590	364	521
223	658	442	463	867	50
224	598	14	581	173	775
225	46	664	136	531	339
226	822	407	633	8	399
227	811	87	653	974	159
228	479	33	466	737	699
229	636	147	584	945	688
230	33	824	133	153	944
231	234	392	332	202	985
232	719	272	428	305	606
233	609	278	762	745	762
234	795	801	330	691	844
235	691	474	149	65	280
236	941	852	35	274	283
237	142	35	589	676	67
238	953	961	917	966	385
239	348	561	467	400	135
240	64	529	779	482	853
241	610	848	853	495	60
242	275	727	16	930	16
243	911	831	213	572	441
244	548	230	550	367	568
245	484	465	883	901	693
246	624	25	968	785	324
247	519	554	612	455	384
248	258	311	368	261	421
249	150	504	377	543	500
250	884	370	315	294	516
251	432	581	666	138	663
252	316	222	508	206	970
253	186	400	37	669	614
254	141	335	920	408	285
255	460	721	837	523	864
256	230	88	757	674	928
257	779	591	741	605	982
258	817	583	926	596	502
259	567	957	824	217	776
260	672	273	212	504	305
261	767	722	432	353	64
262	185	236	537	432	10
263	512	119	326	267	0
264	592	660	667	541	449
265	368	113	383	239	653
266	77	708	827	493	418
267	427	681	796	50	914
268	2	321	543	673	156
269	180	23	316	238	626
270	495	318	353	726	753
271	467	309	18	348	633
272	745	675	360	421	579
273	334	671	150	892	991
274	406	739	672	508	438
275	694	304	998	262	655
276	112	421	536	352	164
277	226	354	538	968	377
278	666	52	197	319	592
279	665	2	462	499	756
280	845	170	983	503	726
281	647	471	437	287	758
282	893	16	317	329	786
283	906	618	610	255	2
284	164	377	599	994	893
285	574	307	628	162	573
286	729	678	2	511	170
287	997	828	606	527	445
288	626	676	817	638	536
289	375	142	981	754	186
290	307	574	482	601	743
291	62	429	842	434	710
292	18	569	31	223	874
293	748	526	41	905	891
294	97	498	165	981	615
295	136	932	400	485	917
296	407	687	932	563	703
297	308	103	240	349	239
298	801	29	430	801	884
299	399	10	625	712	969
300	579	269	313	333	543
301	240	858	674	654	492
302	430	418	870	625	454
303	808	411	714	948	255
304	237	850	504	798	558
305	471	631	698	935	414
306	814	527	707	422	477
307	214	257	661	672	620
308	92	472	387	678	429
309	849	651	784	18	574
310	191	776	160	475	513
311	249	695	953	515	842
312	53	388	131	410	801
313	588	539	304	549	188
314	838	440	703	926	849
315	291	297	168	752	942
316	855	576	861	80	649
317	518	970	255	542	750
318	687	495	392	536	282
319	182	368	771	684	800
320	661	484	787	460	666
321	618	371	183	936	356
322	116	184	768	392	773
323	139	768	280	852	634
324	434	57	900	297	865
325	172	459	976	560	782
326	678	118	493	165	873
327	387	405	456	620	697
328	99	70	904	524	867
329	459	742	795	539	498
330	135	864	137	612	257
331	569	121	227	522	362
332	213	979	172	427	388
333	662	705	205	358	960
334	27	68	758	667	442
335	211	543	184	609	294
336	776	223	366	639	850
337	522	79	894	594	764
338	850	503	834	753	307
339	244	845	556	819	690
340	287	178	53	650	531
341	20	305	379	768	486
342	503	427	290	316	727
343	622	834	221	599	696
344	585	730	336	374	120
345	276	627	718	695	391
346	268	187	310	723	635
347	649	162	669	160	450
348	715	604	234	731	687
349	282	819	585	958	809
350	620	20	770	442	643
351	126	603	382	760	848
352	852	724	79	643	122
353	708	324	613	740	904
354	642	258	849	33	483
355	550	41	475	407	472
356	215	767	977	415	578
357	633	595	178	659	599
358	202	101	964	271	468
359	601	437	979	702	271
360	67	404	693	779	638
361	408	415	952	728	431
362	628	551	615	565	660
363	506	398	984	735	787
364	424	435	429	170	235
365	242	387	614	458	295
366	520	294	451	653	669
367	86	948	523	244	260
368	273	210	151	334	964
369	475	672	26	681	462
370	311	385	788	26	39
371	740	63	0	72	720
372	702	486	733	530	523
373	676	384	783	544	838
374	384	508	532	21	210
375	577	911	848	86	456
376	721	968	638	804	230
377	511	643	690	951	1
378	539	467	708	957	316
379	233	22	592	655	826
380	699	134	646	340	610
381	192	611	990	186	990
382	954	994	906	839	765
383	485	80	568	853	875
384	558	65	526	615	647
385	810	106	946	824	572
386	385	494	650	773	955
387	404	677	937	191	411
388	682	92	308	481	724
389	358	448	106	369	23
390	755	536	450	164	330
391	114	158	629	767	549
392	239	966	844	836	795
393	480	267	595	617	706
394	354	161	727	471	641
395	445	735	726	621	745
396	671	466	611	391	733
397	743	425	756	285	534
398	269	176	851	136	321
399	396	590	662	693	781
400	266	48	885	759	436
401	402	619	423	394	473
402	197	972	535	242	259
403	582	436	171	253	597
404	227	510	454	832	336
405	254	227	865	498	148
406	157	750	799	942	630
407	413	284	935	975	603
408	79	600	569	313	369
409	163	535	715	670	590
410	973	279	605	465	311
411	320	771	476	225	394
412	858	355	747	446	503
413	283	47	77	488	623
414	66	285	652	28	662
415	438	711	751	640	214
416	722	112	684	558	668
417	78	206	522	944	799
418	859	817	820	725	381
419	575	744	419	856	827
420	299	540	352	887	552
421	879	358	384	277	241
422	220	262	246	314	256
423	517	11	108	780	17
424	552	189	458	342	141
425	613	513	593	251	950
426	474	648	878	724	14
427	0	787	655	452	378
428	924	293	407	120	836
429	84	691	362	962	73
430	412	412	617	156	372
431	599	582	358	412	925
432	874	332	367	424	496
433	65	497	328	717	830
434	843	534	143	918	80
435	607	252	544	534	107
436	44	83	641	108	478
437	882	141	608	320	108
438	940	185	186	580	979
439	774	754	145	212	951
