	Strategy	Query	Class	Value
0	Random	q0	thriller	7
1	Random	q0	crime drama	0
2	Random	q0	unknown	28
3	Random	q0	crime	0
4	Random	q0	horror	2
5	Random	q0	drama	26
6	Random	q0	musical	3
7	Random	q0	romance	1
8	Random	q0	adventure	4
9	Random	q0	western	5
10	Random	q0	film noir	2
11	Random	q0	action	1
12	Random	q0	mystery	0
13	Random	q0	comedy	21
14	Random	q1	thriller	4
15	Random	q1	crime drama	3
16	Random	q1	unknown	30
17	Random	q1	crime	4
18	Random	q1	horror	1
19	Random	q1	drama	30
20	Random	q1	musical	0
21	Random	q1	romance	4
22	Random	q1	adventure	0
23	Random	q1	western	6
24	Random	q1	film noir	0
25	Random	q1	action	2
26	Random	q1	mystery	0
27	Random	q1	comedy	16
28	Random	q2	thriller	4
29	Random	q2	crime drama	1
30	Random	q2	unknown	27
31	Random	q2	crime	0
32	Random	q2	horror	4
33	Random	q2	drama	22
34	Random	q2	musical	2
35	Random	q2	romance	5
36	Random	q2	adventure	4
37	Random	q2	western	5
38	Random	q2	film noir	1
39	Random	q2	action	3
40	Random	q2	mystery	1
41	Random	q2	comedy	21
42	Random	q3	thriller	3
43	Random	q3	crime drama	0
44	Random	q3	unknown	30
45	Random	q3	crime	4
46	Random	q3	horror	4
47	Random	q3	drama	25
48	Random	q3	musical	2
49	Random	q3	romance	3
50	Random	q3	adventure	2
51	Random	q3	western	2
52	Random	q3	film noir	0
53	Random	q3	action	2
54	Random	q3	mystery	2
55	Random	q3	comedy	21
56	Random	q4	thriller	4
57	Random	q4	crime drama	0
58	Random	q4	unknown	20
59	Random	q4	crime	6
60	Random	q4	horror	2
61	Random	q4	drama	31
62	Random	q4	musical	1
63	Random	q4	romance	6
64	Random	q4	adventure	0
65	Random	q4	western	6
66	Random	q4	film noir	2
67	Random	q4	action	4
68	Random	q4	mystery	3
69	Random	q4	comedy	15
70	Random	q5	thriller	4
71	Random	q5	crime drama	2
72	Random	q5	unknown	28
73	Random	q5	crime	5
74	Random	q5	horror	2
75	Random	q5	drama	23
76	Random	q5	musical	4
77	Random	q5	romance	1
78	Random	q5	adventure	3
79	Random	q5	western	5
80	Random	q5	film noir	1
81	Random	q5	action	7
82	Random	q5	mystery	0
83	Random	q5	comedy	15
84	Random	q6	thriller	1
85	Random	q6	crime drama	0
86	Random	q6	unknown	27
87	Random	q6	crime	10
88	Random	q6	horror	1
89	Random	q6	drama	22
90	Random	q6	musical	1
91	Random	q6	romance	2
92	Random	q6	adventure	2
93	Random	q6	western	2
94	Random	q6	film noir	3
95	Random	q6	action	4
96	Random	q6	mystery	6
97	Random	q6	comedy	19
98	Random	q7	thriller	1
99	Random	q7	crime drama	2
100	Random	q7	unknown	22
101	Random	q7	crime	3
102	Random	q7	horror	2
103	Random	q7	drama	24
104	Random	q7	musical	4
105	Random	q7	romance	2
106	Random	q7	adventure	3
107	Random	q7	western	4
108	Random	q7	film noir	1
109	Random	q7	action	5
110	Random	q7	mystery	3
111	Random	q7	comedy	24
112	Uncertainty	q0	thriller	7
113	Uncertainty	q0	crime drama	0
114	Uncertainty	q0	unknown	28
115	Uncertainty	q0	crime	0
116	Uncertainty	q0	horror	2
117	Uncertainty	q0	drama	26
118	Uncertainty	q0	musical	3
119	Uncertainty	q0	romance	1
120	Uncertainty	q0	adventure	4
121	Uncertainty	q0	western	5
122	Uncertainty	q0	film noir	2
123	Uncertainty	q0	action	1
124	Uncertainty	q0	mystery	0
125	Uncertainty	q0	comedy	21
126	Uncertainty	q1	thriller	4
127	Uncertainty	q1	crime drama	3
128	Uncertainty	q1	unknown	29
129	Uncertainty	q1	crime	6
130	Uncertainty	q1	horror	4
131	Uncertainty	q1	drama	19
132	Uncertainty	q1	musical	2
133	Uncertainty	q1	romance	3
134	Uncertainty	q1	adventure	3
135	Uncertainty	q1	western	5
136	Uncertainty	q1	film noir	0
137	Uncertainty	q1	action	7
138	Uncertainty	q1	mystery	3
139	Uncertainty	q1	comedy	12
140	Uncertainty	q2	thriller	3
141	Uncertainty	q2	crime drama	1
142	Uncertainty	q2	unknown	24
143	Uncertainty	q2	crime	12
144	Uncertainty	q2	horror	1
145	Uncertainty	q2	drama	22
146	Uncertainty	q2	musical	1
147	Uncertainty	q2	romance	1
148	Uncertainty	q2	adventure	2
149	Uncertainty	q2	western	18
150	Uncertainty	q2	film noir	3
151	Uncertainty	q2	action	4
152	Uncertainty	q2	mystery	3
153	Uncertainty	q2	comedy	5
154	Uncertainty	q3	thriller	3
155	Uncertainty	q3	crime drama	2
156	Uncertainty	q3	unknown	15
157	Uncertainty	q3	crime	6
158	Uncertainty	q3	horror	4
159	Uncertainty	q3	drama	32
160	Uncertainty	q3	musical	2
161	Uncertainty	q3	romance	1
162	Uncertainty	q3	adventure	3
163	Uncertainty	q3	western	4
164	Uncertainty	q3	film noir	1
165	Uncertainty	q3	action	3
166	Uncertainty	q3	mystery	1
167	Uncertainty	q3	comedy	23
168	Uncertainty	q4	thriller	2
169	Uncertainty	q4	crime drama	1
170	Uncertainty	q4	unknown	23
171	Uncertainty	q4	crime	5
172	Uncertainty	q4	horror	2
173	Uncertainty	q4	drama	32
174	Uncertainty	q4	musical	0
175	Uncertainty	q4	romance	4
176	Uncertainty	q4	adventure	1
177	Uncertainty	q4	western	0
178	Uncertainty	q4	film noir	4
179	Uncertainty	q4	action	8
180	Uncertainty	q4	mystery	4
181	Uncertainty	q4	comedy	14
182	Uncertainty	q5	thriller	4
183	Uncertainty	q5	crime drama	1
184	Uncertainty	q5	unknown	25
185	Uncertainty	q5	crime	2
186	Uncertainty	q5	horror	2
187	Uncertainty	q5	drama	23
188	Uncertainty	q5	musical	4
189	Uncertainty	q5	romance	7
190	Uncertainty	q5	adventure	4
191	Uncertainty	q5	western	2
192	Uncertainty	q5	film noir	0
193	Uncertainty	q5	action	1
194	Uncertainty	q5	mystery	2
195	Uncertainty	q5	comedy	23
196	Uncertainty	q6	thriller	3
197	Uncertainty	q6	crime drama	0
198	Uncertainty	q6	unknown	28
199	Uncertainty	q6	crime	0
200	Uncertainty	q6	horror	1
201	Uncertainty	q6	drama	22
202	Uncertainty	q6	musical	3
203	Uncertainty	q6	romance	3
204	Uncertainty	q6	adventure	0
205	Uncertainty	q6	western	0
206	Uncertainty	q6	film noir	0
207	Uncertainty	q6	action	3
208	Uncertainty	q6	mystery	0
209	Uncertainty	q6	comedy	37
210	Uncertainty	q7	thriller	2
211	Uncertainty	q7	crime drama	0
212	Uncertainty	q7	unknown	40
213	Uncertainty	q7	crime	1
214	Uncertainty	q7	horror	2
215	Uncertainty	q7	drama	27
216	Uncertainty	q7	musical	2
217	Uncertainty	q7	romance	4
218	Uncertainty	q7	adventure	1
219	Uncertainty	q7	western	1
220	Uncertainty	q7	film noir	0
221	Uncertainty	q7	action	1
222	Uncertainty	q7	mystery	2
223	Uncertainty	q7	comedy	17
224	QBC	q0	thriller	7
225	QBC	q0	crime drama	0
226	QBC	q0	unknown	28
227	QBC	q0	crime	0
228	QBC	q0	horror	2
229	QBC	q0	drama	26
230	QBC	q0	musical	3
231	QBC	q0	romance	1
232	QBC	q0	adventure	4
233	QBC	q0	western	5
234	QBC	q0	film noir	2
235	QBC	q0	action	1
236	QBC	q0	mystery	0
237	QBC	q0	comedy	21
238	QBC	q1	thriller	5
239	QBC	q1	crime drama	2
240	QBC	q1	unknown	6
241	QBC	q1	crime	16
242	QBC	q1	horror	9
243	QBC	q1	drama	33
244	QBC	q1	musical	2
245	QBC	q1	romance	3
246	QBC	q1	adventure	5
247	QBC	q1	western	0
248	QBC	q1	film noir	4
249	QBC	q1	action	3
250	QBC	q1	mystery	1
251	QBC	q1	comedy	11
252	QBC	q2	thriller	4
253	QBC	q2	crime drama	2
254	QBC	q2	unknown	14
255	QBC	q2	crime	7
256	QBC	q2	horror	4
257	QBC	q2	drama	28
258	QBC	q2	musical	4
259	QBC	q2	romance	1
260	QBC	q2	adventure	4
261	QBC	q2	western	5
262	QBC	q2	film noir	2
263	QBC	q2	action	5
264	QBC	q2	mystery	2
265	QBC	q2	comedy	18
266	QBC	q3	thriller	0
267	QBC	q3	crime drama	1
268	QBC	q3	unknown	10
269	QBC	q3	crime	4
270	QBC	q3	horror	0
271	QBC	q3	drama	27
272	QBC	q3	musical	1
273	QBC	q3	romance	4
274	QBC	q3	adventure	1
275	QBC	q3	western	6
276	QBC	q3	film noir	1
277	QBC	q3	action	3
278	QBC	q3	mystery	4
279	QBC	q3	comedy	38
280	QBC	q4	thriller	6
281	QBC	q4	crime drama	1
282	QBC	q4	unknown	25
283	QBC	q4	crime	2
284	QBC	q4	horror	2
285	QBC	q4	drama	15
286	QBC	q4	musical	2
287	QBC	q4	romance	4
288	QBC	q4	adventure	2
289	QBC	q4	western	5
290	QBC	q4	film noir	0
291	QBC	q4	action	13
292	QBC	q4	mystery	4
293	QBC	q4	comedy	19
294	QBC	q5	thriller	3
295	QBC	q5	crime drama	0
296	QBC	q5	unknown	37
297	QBC	q5	crime	2
298	QBC	q5	horror	1
299	QBC	q5	drama	20
300	QBC	q5	musical	3
301	QBC	q5	romance	2
302	QBC	q5	adventure	1
